"REGN,N,4,0","CODE,C,5","ITOGO,N,16,0","DT,D"
103,01000,215544,07/01/17
103,02000,0,07/01/17
103,03000,68162,07/01/17
103,04000,0,07/01/17
103,10001,875705,07/01/17
103,10002,3063377,07/01/17
103,10003,399958,07/01/17
103,10004,3323580,07/01/17
103,11000,583661,07/01/17
103,11100,495578,07/01/17
103,11101,0,07/01/17
103,11102,0,07/01/17
103,11103,0,07/01/17
103,11104,0,07/01/17
103,11105,0,07/01/17
103,11106,0,07/01/17
103,11107,0,07/01/17
103,11108,0,07/01/17
103,11109,4149,07/01/17
103,11110,0,07/01/17
103,11111,0,07/01/17
103,11112,372845,07/01/17
103,11113,0,07/01/17
103,11114,0,07/01/17
103,11115,26563,07/01/17
103,11116,0,07/01/17
103,11117,1600,07/01/17
103,11118,90421,07/01/17
103,11119,0,07/01/17
103,11120,0,07/01/17
103,11200,0,07/01/17
103,11201,0,07/01/17
103,11202,0,07/01/17
103,11203,0,07/01/17
103,11204,0,07/01/17
103,11205,0,07/01/17
103,11206,0,07/01/17
103,11207,0,07/01/17
103,11208,0,07/01/17
103,11209,0,07/01/17
103,11210,0,07/01/17
103,11211,0,07/01/17
103,11212,0,07/01/17
103,11213,0,07/01/17
103,11214,0,07/01/17
103,11215,0,07/01/17
103,11216,0,07/01/17
103,11217,0,07/01/17
103,11218,0,07/01/17
103,11219,0,07/01/17
103,11220,0,07/01/17
103,11300,1065,07/01/17
103,11301,0,07/01/17
103,11302,1065,07/01/17
103,11303,0,07/01/17
103,11400,0,07/01/17
103,11401,0,07/01/17
103,11402,0,07/01/17
103,11403,0,07/01/17
103,11500,0,07/01/17
103,11501,0,07/01/17
103,11502,0,07/01/17
103,11503,0,07/01/17
103,11504,0,07/01/17
103,11505,0,07/01/17
103,11506,0,07/01/17
103,11507,0,07/01/17
103,11508,0,07/01/17
103,11600,0,07/01/17
103,11601,0,07/01/17
103,11602,0,07/01/17
103,11603,0,07/01/17
103,11604,0,07/01/17
103,11605,0,07/01/17
103,11606,0,07/01/17
103,11607,0,07/01/17
103,11608,0,07/01/17
103,11700,0,07/01/17
103,11701,0,07/01/17
103,11702,0,07/01/17
103,11703,0,07/01/17
103,11704,0,07/01/17
103,11705,0,07/01/17
103,11706,0,07/01/17
103,11707,0,07/01/17
103,11708,0,07/01/17
103,11800,87018,07/01/17
103,11801,0,07/01/17
103,11802,0,07/01/17
103,11803,87018,07/01/17
103,11804,0,07/01/17
103,11805,0,07/01/17
103,11806,0,07/01/17
103,11807,0,07/01/17
103,11808,0,07/01/17
103,12000,0,07/01/17
103,12100,0,07/01/17
103,12101,0,07/01/17
103,12102,0,07/01/17
103,12103,0,07/01/17
103,12104,0,07/01/17
103,12105,0,07/01/17
103,12106,0,07/01/17
103,12107,0,07/01/17
103,12108,0,07/01/17
103,12109,0,07/01/17
103,12110,0,07/01/17
103,12111,0,07/01/17
103,12112,0,07/01/17
103,12113,0,07/01/17
103,12114,0,07/01/17
