"REGN,N,4,0","CODE,C,5","ITOGO,N,16,0"
2,10000,334338
2,10001,105614
2,10002,228682
2,10003,42
2,11000,77693
2,11100,77504
2,11101,0
2,11102,0
2,11103,0
2,11104,0
2,11105,0
2,11106,0
2,11107,0
2,11108,0
2,11109,0
2,11110,0
2,11111,0
2,11112,76750
2,11113,0
2,11114,0
2,11115,458
2,11116,0
2,11117,0
2,11118,296
2,11119,0
2,11200,17
2,11201,0
2,11202,0
2,11203,0
2,11204,0
2,11205,0
2,11206,0
2,11207,0
2,11208,0
2,11209,0
2,11210,0
2,11211,17
2,11212,0
2,11213,0
2,11214,0
2,11215,0
2,11216,0
2,11217,0
2,11300,31
2,11301,0
2,11302,26
2,11303,5
2,11400,141
2,11401,0
2,11402,141
2,11403,0
2,11500,0
2,11501,0
2,11502,0
2,11503,0
2,11504,0
2,11505,0
2,11506,0
2,11507,0
2,11508,0
2,11600,0
2,11601,0
2,11602,0
2,11603,0
2,11604,0
2,11605,0
2,11606,0
2,11607,0
2,11608,0
2,12000,27921
2,12100,22628
2,12101,1732
2,12102,20896
2,12200,4916
2,12201,4916
2,12300,234
2,12301,234
2,12400,143
2,12401,0
2,12402,0
2,12403,0
2,12404,128
2,12405,0
2,12406,15
2,13000,0
2,13100,0
2,13101,0
2,13104,0
2,13105,0
2,13106,0
2,13107,0
2,13108,0
2,13200,0
2,13201,0
2,14000,0
2,14100,0
2,14101,0
2,14102,0
2,14103,0
2,14104,0
2,14200,0
2,14201,0
2,14202,0
2,14203,0
2,14204,0
2,14300,0
2,14301,0
2,14302,0
2,14303,0
2,14304,0
2,14400,0
2,14401,0
2,14402,0
2,14403,0
2,14404,0
2,15000,21683
2,15100,21683
2,15101,0
2,15102,21683
2,15103,0
2,15200,0
2,15201,0
2,15202,0
2,15203,0
2,15204,0
2,16000,206999
2,16100,0
2,16101,0
2,16102,0
2,16103,0
2,16104,0
2,16105,0
2,16200,240
2,16201,0
2,16202,0
2,16203,240
2,16300,206759
2,16301,837
2,16302,0
2,16303,0
2,16304,0
2,16305,205922
2,16306,0
2,17000,42
2,17100,19
2,17101,0
2,17103,19
2,17200,11
2,17201,11
2,17202,0
2,17203,0
2,17300,12
2,17301,0
2,17302,0
2,17303,0
2,17304,2
2,17305,0
2,17306,10
2,20000,314156
2,20001,13922
2,20002,299521
2,20003,713
2,21000,13621
2,21100,373
2,21101,0
2,21102,373
2,21103,0
2,21104,0
2,21200,0
2,21201,0
2,21202,0
2,21203,0
2,21204,0
2,21205,0
2,21206,0
2,21207,0
2,21208,0
2,21209,0
2,21210,0
2,21211,0
2,21212,0
2,21213,0
2,21214,0
2,21300,3819
2,21301,0
2,21302,0
2,21303,0
2,21304,0
2,21305,0
2,21306,0
2,21307,0
2,21308,0
2,21309,0
2,21310,0
2,21311,0
2,21312,3524
2,21313,295
2,21314,0
2,21315,0
2,21316,0
2,21317,0
2,21400,0
2,21401,0
2,21402,0
2,21403,0
2,21404,0
2,21405,0
2,21406,0
2,21407,0
2,21408,0
2,21409,0
2,21410,0
2,21411,0
2,21412,0
2,21413,0
2,21414,0
2,21415,0
2,21416,0
2,21417,0
2,21500,0
