"REGN,N,4,0","PLAN,C,1","NUM_SC,C,5","ITOGO,N,33,4","A_P,C,1","DT,D"
101,А,60404,3000.0000,1,04/01/12
101,А,60405,8670.0000,2,04/01/12
101,А,60408,9598.0000,1,04/01/12
101,А,60409,68186.0000,1,04/01/12
101,А,60601,54344.0000,2,04/01/12
101,А,60602,1112.0000,2,04/01/12
101,А,60603,9134.0000,2,04/01/12
101,А,60701,7923.0000,1,04/01/12
101,А,61008,2013.0000,1,04/01/12
101,А,61009,0.0000,1,04/01/12
101,А,61010,0.0000,1,04/01/12
101,А,61210,0.0000,1,04/01/12
101,А,61301,0.0000,2,04/01/12
101,А,61403,96004.0000,1,04/01/12
101,А,61601,0.0000,1,04/01/12
101,А,70601,3596639.0000,2,04/01/12
101,А,70602,73981.0000,2,04/01/12
101,А,70603,678970.0000,2,04/01/12
101,А,70606,3481122.0000,1,04/01/12
101,А,70607,10713.0000,1,04/01/12
101,А,70608,755084.0000,1,04/01/12
101,А,70611,16047.0000,1,04/01/12
101,А,70613,811.0000,2,04/01/12
101,А,70614,1917.0000,1,04/01/12
101,А,70801,136973.0000,2,04/01/12
101,В,90701,23.0000,1,04/01/12
101,В,90705,0.0000,1,04/01/12
101,В,90901,131179.0000,1,04/01/12
101,В,90902,49344.0000,1,04/01/12
101,В,91003,0.0000,2,04/01/12
101,В,91004,0.0000,2,04/01/12
101,В,91202,1.0000,1,04/01/12
101,В,91203,1.0000,1,04/01/12
101,В,91312,94589.0000,2,04/01/12
101,В,91314,232470.0000,2,04/01/12
101,В,91317,0.0000,2,04/01/12
101,В,91414,372382.0000,1,04/01/12
101,В,91417,1077686.0000,1,04/01/12
101,В,91501,1596.0000,1,04/01/12
101,В,91507,3910.0000,2,04/01/12
101,В,91604,8321.0000,1,04/01/12
101,В,91803,9.0000,1,04/01/12
101,Г,93001,4132962.0000,1,04/01/12
101,Г,93002,5253190.0000,1,04/01/12
101,Г,93202,0.0000,1,04/01/12
101,Г,93304,76179.0000,1,04/01/12
101,Г,93305,0.0000,1,04/01/12
101,Г,93306,0.0000,1,04/01/12
101,Г,93307,13553.0000,1,04/01/12
101,Г,93504,152085.0000,1,04/01/12
101,Г,93505,0.0000,1,04/01/12
101,Г,93506,0.0000,1,04/01/12
101,Г,93507,2783.0000,1,04/01/12
101,Г,93801,2324.0000,1,04/01/12
101,Г,93803,651.0000,1,04/01/12
101,Г,96001,4110697.0000,2,04/01/12
101,Г,96002,3828674.0000,2,04/01/12
101,Г,96202,1442918.0000,2,04/01/12
101,Г,96304,152250.0000,2,04/01/12
101,Г,96305,0.0000,2,04/01/12
101,Г,96306,0.0000,2,04/01/12
101,Г,96307,2931.0000,2,04/01/12
101,Г,96504,76389.0000,2,04/01/12
101,Г,96505,0.0000,2,04/01/12
101,Г,96506,0.0000,2,04/01/12
101,Г,96507,13684.0000,2,04/01/12
101,Г,96801,325.0000,2,04/01/12
