"NOM,N,4,0","PRSTR,N,1,0","CODE,C,5","NAME,C,254"
1,0,,ДОХОДЫ
2,0,,"1. Проценты, полученные по предоставленным кредитам, депозитам и иным размещенным средствам (балансовый счет второго порядка)"
3,0,,"1. Проценты, полученные по предоставленным кредитам (срочным)"
4,1,11101, Минфину  России
5,1,11102, Финансовым органам субъектов РФ и органов местного самоуправления
6,1,11103, Государственным внебюджетным фондам РФ
7,1,11104, Внебюджетным фондам субъектов Рф и органов местного самоуправления
8,1,11105," Финансовым организациям, находящимся в федеральной собственности"
9,1,11106," Коммерческим организациям, находящимся в федеральной собственности"
10,1,11107," Некоммерческим организациям, находящимся в федеральной собственности"
11,1,11108, Финансовым организациям находящимся в государственной (кроме федеральной) собственности
12,1,11109," Коммерческим организациям, находящимся в государственной (кроме федеральной) собственности"
13,1,11110," Некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности"
14,1,11111, Негосударственным финансовым организациям
15,1,11112, Негосударственным коммерческим организациям
16,1,11113, Негосударственным некомерческим организациям
17,1,11114, Индивидуальным предпринимателям
18,1,11115, Гражданам (физическим лицам)
19,1,11116, Юридическим лицам-нерезидентам
20,1,11117, Физическим лицам-нерезидентам
21,1,11118, Кредитным организациям
22,1,11119, Банкам-нерезидентам
23,0,,"2. Проценты, полученные за кредиты, не уплаченные в срок  (за просроченные)"
24,1,11201, Минфином  России
25,1,11202, Финансовыми органами субъектов РФ и органов местного самоуправления
26,1,11203, Государственными внебюджетными фондами РФ
27,1,11204, Внебюджетными фондами субъектов Рф и органов местного самоуправления
28,1,11205," Финансовыми организациями, находящимися в федеральной собственности"
29,1,11206," Коммерческими организациями, находящимися в федеральной собственности"
30,1,11207," Некомерческими организациями, находящимися в федеральной собственности"
31,1,11208," Финансовыми организациями, находящимися в государственной (кроме федеральной) собственности"
32,1,11209," Коммерческими организациями, находящимися в государственной (кроме федеральной) собственности"
33,1,11210," Некоммерческими организациями, находящимися в государственной (кроме федеральной) собственности"
34,1,11211, Негосударственными финансовыми организациями
35,1,11212, Негосударственными коммерческими организациями
36,1,11213, Негосударственными некомерческими организациями
37,1,11214, Индивидуальными предпринимателями
38,1,11215, Гражданами (физическими лицами)
39,1,11216, Юридическими лицами-нерезидентами
40,1,11217, Физическими лицами-нерезидентами
41,1,11218, Кредитными организациями
42,1,11219, Банками-нерезидентами
43,0,,3. Полученные просроченные проценты от:
44,1,11301, Минфина России
45,1,11302, Финансовых органов субъектов РФ и органов местного самоуправления
46,1,11303, Государственных внебюджетных фондов РФ
47,1,11304, Внебюджетных фондов субъектов Рф и органов местного самоуправления
48,1,11305," Финансовых организаций, находящихся в федеральной собственности"
49,1,11306," Коммерческих организаций, находящихся в федеральной собственности"
50,1,11307," Некоммерческих организаций, находящихся в федеральной собственности"
51,1,11308," Финансовых организаций, находящихся в государственной (кроме федеральной) собственности"
52,1,11309," Коммерческих организаций, находящихся в государственной (кроме федеральной) собственности"
53,1,11310," Некоммерческих организаций, находящихся в государственной (кроме федеральной) собственности"
54,1,11311, Негосударственных финансовых организаций
55,1,11312, Негосударственных коммерческих организаций
56,1,11313, Негосударственных некоммерческих организаций
57,1,11314, Индивидуальных предпринимателей
58,1,11315, Граждан (физических лиц)
59,1,11316, Юридических лиц-нерезидентов
60,1,11317, Физических лиц-нерезидентов
61,1,11318, Кредитных организаций
62,1,11319, Банков-нерезидентов
63,0,,"4. Проценты, полученные от прочих размещенных средств"
64,1,11401, Минфина  России
65,1,11402, Финансовых органов субъектов РФ и органов местного самоуправления
66,1,11403, Государственных внебюджетных фондов РФ
67,1,11404,  Внебюджетных фондов субъектов РФ и органов местного самоуправления
68,1,11405," Финансовых организаций, находящихся в федеральной собственности"
69,1,11406," Коммерческих организаций, находящихся в федеральной собственности"
70,1,11407," Некоммерческих организаций, находящихся в федеральной собственности"
71,1,11408," Финансовых организаций, находящихся в государственной (кроме федеральной) собственности"
72,1,11409," Коммерческих организаций, находящихся в государственной (кроме федеральной) собственности"
73,1,11410," Некоммерческих организаций, находящихся в государственной (кроме федеральной) собственности"
74,1,11411, Негосударственных финансовых организаций
75,1,11412, Негосударственных коммерческих организаций
76,1,11413, Негосударственных некоммерческих организаций
77,1,11414, Юридических лиц-нерезидентов
78,1,11415, Кредитных организаций
79,1,11416, Банков-нерезидентов
80,0,,"5. Проценты, полученные по открытым счетам"
81,1,11501, В Банке России
82,1,11502, В кредитных организациях
83,1,11503, В банках-нерезидентах
84,0,,"6. Проценты, полученные по депозитам, включая депозиты ""овернайт"", и иным размещенным средствам"
85,1,11601, В Банке России
86,1,11602, В кредитных организациях
87,1,11603, В банках-нерезидентах
88,1,11000,Итого по подразделу
89,0,,"2. Доходы, полученные от операций с ценными бумагами (балансовый счет второго порядка)"
90,0,,1. Процентный доход от вложений в долговые обязательства
91,1,12101, Российской Федерации
92,1,12102, Субъектов РФ и органов местного самоуправления
93,1,12103, Кредитных организаций
94,1,12104, Прочие долговые обязательства
95,1,12105, Иностранных государств
96,1,12106, Иностранных государств
97,1,12107, Прочие долговые обязательства нерезидентов
98,0,,2. Процентный доход по векселям
99,1,12201, Органов федеральной власти
100,1,12202, Органы власти субъектов РФ и органов местного самоуправления
101,1,12203, Кредитных организаций
102,1,12204, Прочим векселям
103,1,12205, Органов государственной власти иностранных государств
104,1,12206, Органов местной  власти иностранных государств
105,1,12207, Банков-нерезидентов
106,1,12208, Прочим векселям нерезидентов
107,0,,3. Дисконтный доход по векселям
108,1,12301, Органов федеральной власти
109,1,12302, Органов власти субъектов РФ и органов местного самоуправления
110,1,12303, Кредитных организаций
