"REGN,N,4,0","CODE,C,5","ITOGO,N,16,0"
2,01000,9729
2,02000,0
2,10000,374040
2,10001,67012
2,10002,307003
2,10003,25
2,11000,48677
2,11100,48556
2,11101,0
2,11102,0
2,11103,0
2,11104,0
2,11105,0
2,11106,0
2,11107,0
2,11108,0
2,11109,0
2,11110,0
2,11111,0
2,11112,48173
2,11113,0
2,11114,0
2,11115,27
2,11116,0
2,11117,0
2,11118,324
2,11119,32
2,11200,0
2,11201,0
2,11202,0
2,11203,0
2,11204,0
2,11205,0
2,11206,0
2,11207,0
2,11208,0
2,11209,0
2,11210,0
2,11211,0
2,11212,0
2,11213,0
2,11214,0
2,11215,0
2,11216,0
2,11217,0
2,11300,8
2,11301,0
2,11302,8
2,11303,0
2,11400,113
2,11401,0
2,11402,113
2,11403,0
2,11500,0
2,11501,0
2,11502,0
2,11503,0
2,11504,0
2,11505,0
2,11506,0
2,11507,0
2,11508,0
2,11600,0
2,11601,0
2,11602,0
2,11603,0
2,11604,0
2,11605,0
2,11606,0
2,11607,0
2,11608,0
2,12000,18335
2,12100,10500
2,12101,1487
2,12102,9013
2,12200,7665
2,12201,7665
2,12300,110
2,12301,110
2,12400,60
2,12401,0
2,12402,0
2,12403,0
2,12404,57
2,12405,0
2,12406,3
2,13000,0
2,13100,0
2,13101,0
2,13102,0
2,13103,0
2,13104,0
2,13105,0
2,13106,0
2,13107,0
2,13108,0
2,13200,0
2,13201,0
2,14000,0
2,14100,0
2,14101,0
2,14102,0
2,14103,0
2,14104,0
2,14200,0
2,14201,0
2,14202,0
2,14203,0
2,14204,0
2,14300,0
2,14301,0
2,14302,0
2,14303,0
2,14304,0
2,14400,0
2,14401,0
2,14402,0
2,14403,0
2,14404,0
2,15000,202121
2,15100,202103
2,15101,0
2,15102,202103
2,15103,0
2,15200,18
2,15201,0
2,15202,18
2,15203,0
2,15204,0
2,16000,104882
2,16100,0
2,16101,0
2,16102,0
2,16103,0
2,16104,0
2,16105,0
2,16200,202
2,16201,0
2,16202,0
2,16203,202
2,16300,104680
2,16301,438
2,16302,0
2,16303,0
2,16304,0
2,16305,104242
2,16306,0
2,17000,25
2,17100,15
2,17101,0
2,17102,0
2,17103,15
2,17200,5
2,17201,5
2,17202,0
2,17203,0
2,17300,5
2,17301,0
2,17302,0
2,17303,0
2,17304,0
2,17305,0
2,17306,5
2,20000,365561
2,20001,11122
2,20002,352974
2,20003,215
2,20100,364311
2,21000,9390
2,21100,190
2,21101,0
2,21102,190
2,21103,0
2,21104,0
2,21200,0
2,21201,0
2,21202,0
2,21203,0
2,21204,0
2,21205,0
2,21206,0
2,21207,0
2,21208,0
2,21209,0
2,21210,0
2,21211,0
2,21212,0
2,21213,0
2,21214,0
2,21300,459
2,21301,0
2,21302,0
2,21303,0
2,21304,0
2,21305,0
2,21306,0
2,21307,0
2,21308,0
2,21309,0
2,21310,0
2,21311,0
2,21312,320
2,21313,139
2,21314,0
2,21315,0
2,21316,0
2,21317,0
2,21400,0
2,21401,0
2,21402,0
2,21403,0
2,21404,0
2,21405,0
2,21406,0
2,21407,0
2,21408,0
2,21409,0
2,21410,0
2,21411,0
2,21412,0
2,21413,0
2,21414,0
2,21415,0
2,21416,0
2,21417,0
2,21500,0
2,21501,0
2,21502,0
2,21600,8153
2,21601,8153
2,21602,0
2,21700,0
2,21701,0
2,21702,0
2,21800,588
2,21801,244
2,21802,0
2,21803,0
2,21804,344
2,22000,1732
2,22100,1732
2,22101,1732
2,22200,0
2,22201,0
2,22202,0
2,22203,0
2,23000,0
2,23100,0
2,23101,0
2,23102,0
2,23103,0
2,23104,0
2,23105,0
2,23106,0
2,23107,0
2,23108,0
2,23109,0
2,23200,0
2,23201,0
2,24000,202980
2,24100,202977
2,24101,0
2,24102,202977
2,24103,0
2,24200,3
2,24201,0
2,24202,3
2,24203,0
2,24204,0
2,25000,110577
2,25100,0
2,25101,0
2,25102,0
2,25103,0
2,25104,0
2,25105,0
2,25200,3657
2,25201,6
2,25202,1635
2,25203,1999
2,25204,0
2,25205,0
2,25206,17
2,25300,106920
2,25301,0
2,25302,106912
2,25303,8
2,26000,39417
2,26100,17078
2,26101,13559
2,26102,3499
2,26103,0
2,26104,20
2,26200,182
2,26201,182
2,26202,0
2,26203,0
2,26300,9510
2,26301,20
2,26302,547
2,26303,8213
2,26304,428
2,26305,298
2,26306,0
2,26307,4
2,26400,12647
2,26401,25
2,26402,10
2,26403,2875
2,26404,408
2,26405,7
2,26406,632
2,26407,0
