"REGN,N,4,0","CODE,C,5","SIM_R,N,16,0","SIM_V,N,16,0","SIM_ITOGO,N,16,0","DT,D"
2065,11000,,,144370,04/01/25
256,11000,,,436563,04/01/25
3396,11000,,,1394457,04/01/25
705,11000,,,5639792,04/01/25
2499,11000,,,64192,04/01/25
2374,11000,,,127917,04/01/25
3523,11000,,,139207,04/01/25
2551,11000,,,2651647,04/01/25
1659,11000,,,106215,04/01/25
2673,11000,,,211657434,04/01/25
3543,11000,,,331133,04/01/25
2609,11000,,,40093,04/01/25
3161,11000,,,402318,04/01/25
574,11000,,,87412,04/01/25
3540,11000,,,318881,04/01/25
1143,11000,,,947798,04/01/25
2170,11000,,,14260130,04/01/25
3202,11000,,,386701,04/01/25
492,11000,,,140302,04/01/25
2707,11000,,,10332490,04/01/25
842,11000,,,273086,04/01/25
1896,11000,,,274974,04/01/25
3518,11000,,,9274,04/01/25
1281,11000,,,100900,04/01/25
2766,11000,,,30405743,04/01/25
903,11000,,,396353,04/01/25
2304,11000,,,2031660,04/01/25
3124,11000,,,698076,04/01/25
3465,11000,,,2330311,04/01/25
2574,11000,,,111922,04/01/25
963,11000,,,146215326,04/01/25
3452,11000,,,10576,04/01/25
3446,11000,,,4788175,04/01/25
3436,11000,,,201954,04/01/25
2252,11000,,,246939,04/01/25
2881,11000,,,343468,04/01/25
3077,11000,,,186948,04/01/25
3279,11000,,,1490132,04/01/25
1745,11000,,,2226038,04/01/25
2590,11000,,,31384597,04/01/25
3532,11000,,,9001,01/01/25
1557,11000,,,1380741,04/01/25
708,11000,,,766810,04/01/25
817,11000,,,75746,04/01/25
933,11000,,,43100,04/01/25
1581,11000,,,1881680,04/01/25
843,11000,,,2180403,04/01/25
3547,11000,,,25333,04/01/25
236,11000,,,40074,04/01/25
3099,11000,,,946686,04/01/25
3500,11000,,,1125266,04/01/25
1,11000,,,22142913,04/01/25
2245,11000,,,42899,04/01/25
254,11000,,,1898260,04/01/25
3545,11000,,,16132254,04/01/25
3173,11000,,,11147,04/01/25
3194,11000,,,214601,04/01/25
965,11000,,,583126,04/01/25
2557,11000,,,5925077,04/01/25
170,11000,,,8620153,04/01/25
567,11000,,,1070947,04/01/25
2611,11000,,,2116824,04/01/25
2119,11000,,,771547,04/01/25
3296,11000,,,164866,04/01/25
1049,11000,,,391315,04/01/25
3390,11000,,,514576,04/01/25
1680,11000,,,525511,04/01/25
841,11000,,,2487076,04/01/25
3257,11000,,,92109,04/01/25
3095,11000,,,74910,04/01/25
1352,11000,,,348099,04/01/25
3027,11000,,,7357242,04/01/25
3293,11000,,,655201,04/01/25
3017,11000,,,113581,04/01/25
77,11000,,,980161,04/01/25
3548,11000,,,99453,04/01/25
481,11000,,,1134580,04/01/25
101,11000,,,4575619,04/01/25
1326,11000,,,473884260,04/01/25
1747,11000,,,49634,04/01/25
1144,11000,,,180511,04/01/25
212,11000,,,1336536,04/01/25
804,11000,,,88551,04/01/25
