"REGN,N,4,0","CODE,C,5","ITOGO,N,16,0"
2,10000,338349
2,11000,65465
2,11112,59703
2,11115,979
2,11118,66
2,11119,134
2,11212,6
2,11312,4433
2,11315,1
2,11411,18
2,11502,28
2,11503,17
2,11602,80
2,12000,700
2,12404,700
2,13000,19402
2,13101,5629
2,13201,13773
2,14000,0
2,16000,20
2,16101,18
2,16105,2
2,17000,252762
2,17101,229351
2,17201,3909
2,17202,1847
2,17203,11457
2,17204,11
2,17205,4980
2,17307,1025
2,17317,15
2,17318,167
2,20000,320960
2,21000,679
2,21102,679
2,22000,2492
2,22212,2166
2,22213,326
2,23000,10613
2,23101,10483
2,23103,130
2,24000,1262
2,24101,638
2,24203,29
2,24205,501
2,24206,94
2,25000,15795
2,25101,824
2,25201,14971
2,26000,22392
2,26101,17713
2,26103,4544
2,26105,93
2,26106,27
2,26109,15
2,28000,26
2,28107,26
2,29000,267701
2,29101,219329
2,29202,134
2,29203,3634
2,29205,2860
2,29301,13316
2,29302,287
2,29303,61
2,29304,387
2,29306,1763
2,29307,333
2,29315,59
2,29316,381
2,29317,110
2,29318,5462
2,29320,304
2,29321,18
2,29322,11
2,29323,82
2,29324,4
2,29325,58
2,29327,11
2,29328,44
2,29329,2282
2,29401,2
2,29406,13641
2,29416,1852
2,29417,2
2,29421,50
2,29423,1226
2,31003,1
2,31004,332
2,31005,17057
2,33001,17389
5,10000,547081
5,11000,74759
5,11101,0
5,11102,221
5,11103,0
5,11104,0
5,11105,0
5,11106,0
5,11107,0
5,11108,0
5,11109,0
5,11110,0
5,11111,806
5,11112,58467
5,11113,13
5,11114,2023
5,11115,8085
5,11116,0
5,11117,0
5,11118,1078
5,11119,0
5,11201,0
5,11202,0
5,11203,0
5,11204,0
5,11205,0
5,11206,0
5,11207,0
5,11208,0
5,11209,0
5,11210,0
5,11211,0
5,11212,868
5,11213,0
5,11214,0
5,11215,0
5,11216,0
5,11217,0
5,11218,0
5,11219,0
5,11301,0
5,11302,0
5,11303,0
5,11304,0
5,11305,0
5,11306,0
5,11307,0
5,11308,0
5,11309,0
5,11310,0
5,11311,0
5,11312,1129
5,11313,0
5,11314,213
5,11315,0
5,11316,0
5,11317,0
5,11318,0
5,11319,0
5,11401,0
5,11402,0
5,11403,0
5,11404,0
5,11405,0
5,11406,0
5,11407,0
5,11408,0
5,11409,0
5,11410,0
5,11411,18
5,11412,0
5,11413,0
5,11414,0
5,11415,0
5,11416,0
5,11501,0
5,11502,51
5,11503,1787
5,11601,0
5,11602,0
5,11603,0
5,12000,73702
5,12101,9417
5,12102,5245
5,12103,3304
5,12104,299
5,12105,0
5,12106,0
5,12107,0
5,12201,0
5,12202,0
5,12203,0
5,12204,0
5,12205,0
5,12206,0
5,12207,0
5,12208,0
5,12301,0
5,12302,0
5,12303,15867
5,12304,0
5,12305,0
5,12306,0
5,12307,0
5,12308,0
5,12401,45
5,12402,0
5,12403,26329
5,12404,11094
5,12405,0
5,12406,0
5,12407,0
5,12501,0
5,12502,72
5,12503,0
5,12504,0
5,12601,2030
5,12605,0
5,12606,0
5,13000,71821
5,13101,23877
5,13201,47944
5,14000,0
5,14101,0
5,14102,0
5,14103,0
5,14104,0
5,14201,0
5,14202,0
5,14203,0
5,14204,0
5,14205,0
5,16000,326
5,16101,326
5,16104,0
5,16105,0
5,17000,326473
5,17101,283321
5,17103,0
5,17201,8626
5,17202,1249
5,17203,29233
5,17204,182
5,17205,807
