"REGN,N,4,0","PLAN,C,1","NUM_SC,C,5","ITOGO,N,33,4","A_P,C,1","DT,D"
101,А,10207,1558500.0000,2,01/01/11
101,А,10602,60200.0000,2,01/01/11
101,А,10701,17953.0000,2,01/01/11
101,А,10801,253510.0000,2,01/01/11
101,А,20202,201362.0000,1,01/01/11
101,А,20208,1268.0000,1,01/01/11
101,А,20209,0.0000,1,01/01/11
101,А,30102,430463.0000,1,01/01/11
101,А,30110,55363.0000,1,01/01/11
101,А,30114,42588.0000,1,01/01/11
101,А,30202,40986.0000,1,01/01/11
101,А,30204,3074.0000,1,01/01/11
101,А,30210,0.0000,1,01/01/11
101,А,30213,87.0000,1,01/01/11
101,А,30221,0.0000,1,01/01/11
101,А,30232,0.0000,2,01/01/11
101,А,30233,0.0000,1,01/01/11
101,А,30301,1188940.0000,2,01/01/11
101,А,30302,1188940.0000,1,01/01/11
101,А,30402,228438.0000,1,01/01/11
101,А,30601,0.0000,2,01/01/11
101,А,30602,70940.0000,1,01/01/11
101,А,30607,0.0000,2,01/01/11
101,А,31302,0.0000,2,01/01/11
101,А,31901,0.0000,1,01/01/11
101,А,31902,0.0000,1,01/01/11
101,А,31903,0.0000,1,01/01/11
101,А,31904,2000000.0000,1,01/01/11
101,А,32002,0.0000,1,01/01/11
101,А,32003,0.0000,1,01/01/11
101,А,32004,646000.0000,1,01/01/11
101,А,32005,0.0000,1,01/01/11
101,А,40503,0.0000,2,01/01/11
101,А,40602,2.0000,2,01/01/11
101,А,40701,3583625.0000,2,01/01/11
101,А,40702,916422.0000,2,01/01/11
101,А,40703,1352.0000,2,01/01/11
101,А,40802,3184.0000,2,01/01/11
101,А,40807,392612.0000,2,01/01/11
101,А,40817,51308.0000,2,01/01/11
101,А,40820,13.0000,2,01/01/11
101,А,40911,20.0000,2,01/01/11
101,А,42005,215000.0000,2,01/01/11
101,А,42006,56000.0000,2,01/01/11
101,А,42104,16000.0000,2,01/01/11
101,А,42105,10000.0000,2,01/01/11
101,А,42106,300.0000,2,01/01/11
101,А,42301,17174.0000,2,01/01/11
101,А,42304,15785.0000,2,01/01/11
101,А,42305,161552.0000,2,01/01/11
101,А,42306,74459.0000,2,01/01/11
101,А,45201,0.0000,1,01/01/11
101,А,45206,73800.0000,1,01/01/11
101,А,45207,11740.0000,1,01/01/11
101,А,45215,14053.0000,2,01/01/11
101,А,45506,59100.0000,1,01/01/11
101,А,45507,5317.0000,1,01/01/11
101,А,45509,0.0000,1,01/01/11
101,А,45515,4975.0000,2,01/01/11
101,А,45812,7999.0000,1,01/01/11
101,А,45815,177.0000,1,01/01/11
101,А,45818,8170.0000,2,01/01/11
101,А,45915,0.0000,1,01/01/11
101,А,47002,0.0000,1,01/01/11
101,А,47302,137732.0000,1,01/01/11
101,А,47308,1377.0000,2,01/01/11
101,А,47403,0.0000,2,01/01/11
101,А,47404,44643.0000,1,01/01/11
101,А,47407,0.0000,2,01/01/11
101,А,47408,0.0000,1,01/01/11
101,А,47411,10564.0000,2,01/01/11
101,А,47416,149.0000,2,01/01/11
101,А,47422,34.0000,2,01/01/11
101,А,47423,1583.0000,1,01/01/11
101,А,47425,10419.0000,2,01/01/11
101,А,47426,4064.0000,2,01/01/11
101,А,47427,872.0000,1,01/01/11
101,А,50105,530499.0000,1,01/01/11
101,А,50106,787106.0000,1,01/01/11
101,А,50107,768833.0000,1,01/01/11
101,А,50108,0.0000,1,01/01/11
