"REGN,N,4,0","CODE,C,5","SIM_R,N,16,0","SIM_V,N,16,0","SIM_ITOGO,N,16,0","DT,D"
3546,11000,,,34088,10/01/24
503,11000,,,28375,10/01/24
2629,11000,,,3866535,10/01/24
3508,11000,,,89613,10/01/24
3407,11000,,,3896076,10/01/24
1115,11000,,,338290,10/01/24
1949,11000,,,346675,10/01/24
600,11000,,,6948558,10/01/24
3138,11000,,,2042561,10/01/24
3523,11000,,,144406,10/01/24
3482,11000,,,7366385,10/01/24
2876,11000,,,78423,10/01/24
2638,11000,,,1056824,10/01/24
3318,11000,,,12297,10/01/24
2208,11000,,,1070555,10/01/24
2312,11000,,,214050234,10/01/24
2574,11000,,,269063,10/01/24
1809,11000,,,196194,10/01/24
2879,11000,,,10916668,10/01/24
3099,11000,,,2504659,10/01/24
2048,11000,,,921358,10/01/24
2868,11000,,,226567,10/01/24
2209,11000,,,204800625,10/01/24
804,11000,,,197725,10/01/24
3525,11000,,,4124670,10/01/24
2065,11000,,,356131,10/01/24
1948,11000,,,541471,10/01/24
3512,11000,,,212671,10/01/24
444,11000,,,104687,10/01/24
963,11000,,,341683886,10/01/24
705,11000,,,12950858,10/01/24
1114,11000,,,101190,10/01/24
604,11000,,,566156,10/01/24
256,11000,,,1030476,10/01/24
2880,11000,,,2403118,10/01/24
3324,11000,,,152917,10/01/24
3242,11000,,,40884,10/01/24
3518,11000,,,20139,10/01/24
1966,11000,,,3876735,10/01/24
3544,11000,,,34633,10/01/24
2304,11000,,,5274719,10/01/24
2518,11000,,,19255871,10/01/24
2830,11000,,,216871,10/01/24
3470,11000,,,6620034,10/01/24
3298,11000,,,104246,10/01/24
3013,11000,,,2094262,10/01/24
2085,11000,,,28999,10/01/24
857,11000,,,1010192,10/01/24
2995,11000,,,652390,10/01/24
2306,11000,,,23648986,10/01/24
3328,11000,,,7943596,10/01/24
3185,11000,,,2862332,10/01/24
588,11000,,,8813488,10/01/24
2557,11000,,,24163846,10/01/24
2877,11000,,,298017,10/01/24
2997,11000,,,838377,10/01/24
1144,11000,,,419862,10/01/24
3017,11000,,,248166,10/01/24
2390,11000,,,1255129,10/01/24
1885,11000,,,9092699,10/01/24
1376,11000,,,1101080,10/01/24
1720,11000,,,966105,10/01/24
933,11000,,,114998,10/01/24
2170,11000,,,14334453,10/01/24
902,11000,,,1921100,10/01/24
2914,11000,,,5189228,10/01/24
3510,11000,,,1698432,10/01/24
3548,11000,,,30388,10/01/24
2682,11000,,,542442,10/01/24
567,11000,,,2394241,10/01/24
2766,11000,,,51057780,10/01/24
3279,11000,,,6349536,10/01/24
2534,11000,,,2127870,10/01/24
481,11000,,,1964774,10/01/24
3517,11000,,,0,07/01/24
2881,11000,,,592208,10/01/24
2846,11000,,,220956,10/01/24
3235,11000,,,1820298,10/01/24
3515,11000,,,7764426,10/01/24
1307,11000,,,2946588,10/01/24
1281,11000,,,241472,10/01/24
1326,11000,,,940848586,10/01/24
2807,11000,,,884235,10/01/24
3465,11000,,,5306906,10/01/24
1927,11000,,,5927111,10/01/24
330,11000,,,238028,10/01/24
2790,11000,,,28769477,10/01/24
3527,11000,,,860122,10/01/24
575,11000,,,207188,10/01/24
2216,11000,,,11931145,10/01/24
429,11000,,,28831152,10/01/24
3300,11000,,,2040003,10/01/24
3349,11000,,,318377891,10/01/24
1352,11000,,,862414,10/01/24
2559,11000,,,2330019,10/01/24
3500,11000,,,2567811,10/01/24
1745,11000,,,3797308,10/01/24
236,11000,,,103250,10/01/24
3466,11000,,,849533423,10/01/24
1399,11000,,,351285,10/01/24
1151,11000,,,121926,10/01/24
1788,11000,,,117517,10/01/24
1973,11000,,,351233,10/01/24
2490,11000,,,5513465,10/01/24
3490,11000,,,438912,10/01/24
3001,11000,,,5893861,10/01/24
3379,11000,,,165479,10/01/24
3176,11000,,,269436,10/01/24
3507,11000,,,30123,10/01/24
2289,11000,,,21859127,10/01/24
85,11000,,,144458,10/01/24
356,11000,,,893243,10/01/24
1,11000,,,78561570,10/01/24
2860,11000,,,1026507,10/01/24
2103,11000,,,494366,10/01/24
2407,11000,,,50239,10/01/24
2368,11000,,,1109406,10/01/24
2015,11000,,,736562,10/01/24
2307,11000,,,14251806,10/01/24
436,11000,,,105918670,10/01/24
316,11000,,,36204271,10/01/24
3542,11000,,,11412590,10/01/24
1312,11000,,,189074,10/01/24
842,11000,,,566412,10/01/24
170,11000,,,16065786,10/01/24
2,11000,,,184158,10/01/24
2506,11000,,,2650000,10/01/24
2867,11000,,,3444723,10/01/24
106,11000,,,292171,10/01/24
3166,11000,,,4239306,10/01/24
1557,11000,,,5401800,10/01/24
3306,11000,,,72988,10/01/24
1067,11000,,,4950996,10/01/24
2587,11000,,,2240357,10/01/24
21,11000,,,406266,10/01/24
2225,11000,,,8524764,10/01/24
2507,11000,,,2930564,10/01/24
843,11000,,,3951189,10/01/24
415,11000,,,17245870,10/01/24
2684,11000,,,463349,10/01/24
2761,11000,,,18688,10/01/24
3354,11000,,,17779025,10/01/24
2838,11000,,,761785,10/01/24
2789,11000,,,4408879,10/01/24
650,11000,,,69226265,10/01/24
3416,11000,,,586023,10/01/24
3413,11000,,,306553,10/01/24
354,11000,,,1444674195,10/01/24
3252,11000,,,11979742,10/01/24
903,11000,,,716263,10/01/24
3269,11000,,,1641037,10/01/24
3231,11000,,,168035,10/01/24
77,11000,,,2740126,10/01/24
3543,11000,,,155494,10/01/24
478,11000,,,552816,10/01/24
2664,11000,,,1154069,10/01/24
3294,11000,,,26394380,10/01/24
3223,11000,,,1465813,10/01/24
2776,11000,,,1450771,10/01/24
3340,11000,,,12080817,10/01/24
2268,11000,,,53098698,10/01/24
3173,11000,,,36844,10/01/24
990,11000,,,173676,10/01/24
3479,11000,,,1503872,10/01/24
1637,11000,,,7943846,10/01/24
2611,11000,,,5442937,10/01/24
480,11000,,,2586324,10/01/24
2374,11000,,,190842,10/01/24
67,11000,,,2655518,10/01/24
2402,11000,,,4095287,10/01/24
2964,11000,,,362046,10/01/24
2883,11000,,,423856,10/01/24
702,11000,,,1194905,10/01/24
574,11000,,,158132,10/01/24
3396,11000,,,3671898,10/01/24
1158,11000,,,1170254,10/01/24
2568,11000,,,145961,10/01/24
2998,11000,,,24603089,10/01/24
2748,11000,,,49446084,10/01/24
3467,11000,,,228969,10/01/24
609,11000,,,870606,10/01/24
438,11000,,,871544,10/01/24
3494,11000,,,8605408,10/01/24
3473,11000,,,1778815,10/01/24
435,11000,,,1162401,10/01/24
3505,11000,,,62203,10/01/24
2275,11000,,,67257064,10/01/24
3522,11000,,,4327526,10/01/24
3436,11000,,,413708,10/01/24
3395,11000,,,2135688,10/01/24
2618,11000,,,3673476,10/01/24
817,11000,,,184672,10/01/24
1143,11000,,,1654059,10/01/24
3027,11000,,,5960617,10/01/24
3452,11000,,,15436,10/01/24
3524,11000,,,865232,10/01/24
2726,11000,,,3732,10/01/24
493,11000,,,8903366,10/01/24
1680,11000,,,1270692,10/01/24
2802,11000,,,242874,10/01/24
2900,11000,,,846898,10/01/24
3303,11000,,,2917723,10/01/24
2609,11000,,,145356,10/01/24
3468,11000,,,458852,10/01/24
2673,11000,,,350156361,10/01/24
3077,11000,,,467742,10/01/24
2763,11000,,,14845575,10/01/24
3290,11000,,,2776387,10/01/24
841,11000,,,1623521,10/01/24
3184,11000,,,44815,10/01/24
3116,11000,,,47262,10/01/24
3533,11000,,,43393,10/01/24
1781,11000,,,140834,10/01/24
3224,11000,,,1385315,10/01/24
2168,11000,,,40361272,10/01/24
2659,11000,,,457822,10/01/24
2707,11000,,,17689121,10/01/24
3415,11000,,,136172,10/01/24
328,11000,,,125321233,10/01/24
3511,11000,,,256550,10/01/24
2650,11000,,,434534,10/01/24
3337,11000,,,3178049,10/01/24
2799,11000,,,1675929,10/01/24
3161,11000,,,875589,10/01/24
1581,11000,,,4586925,10/01/24
1049,11000,,,1003150,10/01/24
254,11000,,,3967130,10/01/24
1481,11000,,,4360259646,10/01/24
3388,11000,,,11253375,10/01/24
3532,11000,,,4212,07/01/24
1732,11000,,,97144,10/01/24
3202,11000,,,794867,10/01/24
2551,11000,,,5496605,10/01/24
685,11000,,,144784,10/01/24
2210,11000,,,35642564,10/01/24
3450,11000,,,2618945,10/01/24
2576,11000,,,1061180,10/01/24
538,11000,,,274216,10/01/24
3463,11000,,,437510,10/01/24
537,11000,,,226425,10/01/24
3403,11000,,,1831772,10/01/24
2495,11000,,,7523406,10/01/24
598,11000,,,201958,10/01/24
2996,11000,,,184201,10/01/24
1052,11000,,,719003,10/01/24
1747,11000,,,126308,10/01/24
2853,11000,,,241557,10/01/24
1920,11000,,,2478210,10/01/24
2440,11000,,,18993411,10/01/24
2584,11000,,,4135960,10/01/24
3421,11000,,,4239200,10/01/24
101,11000,,,11631138,10/01/24
2772,11000,,,1670615,10/01/24
3292,11000,,,113700569,10/01/24
2070,11000,,,235497,10/01/24
3293,11000,,,1357863,10/01/24
1319,11000,,,1976062,10/01/24
2443,11000,,,8785641,10/01/24
53,11000,,,1840685,10/01/24
2929,11000,,,20355562,10/01/24
1818,11000,,,75848,10/01/24
875,11000,,,314878,10/01/24
3194,11000,,,663335,10/01/24
783,11000,,,286742,10/01/24
1288,11000,,,851168,10/01/24
646,11000,,,1794284,10/01/24
2546,11000,,,92671840,10/01/24
