"REGN,N,4,0","PLAN,C,1","NUM_SC,C,5","ITOGO,N,33,4","A_P,C,1","DT,D"
2726,А,47407,0.0000,2,07/01/14
2726,А,47416,1427.0000,2,07/01/14
2726,А,60312,2201.0000,1,07/01/14
2726,А,60313,0.0000,2,07/01/14
2726,А,60323,125.0000,1,07/01/14
2726,А,70606,893664.0000,1,07/01/14
2726,В,91004,0.0000,2,07/01/14
1326,А,20309,224459.0000,2,07/01/14
1326,А,30122,4.0000,2,07/01/14
1326,А,30220,532179.0000,2,07/01/14
1326,А,30221,70413.0000,1,07/01/14
1326,А,30236,741200.0000,2,07/01/14
1326,А,30413,223361.0000,1,07/01/14
1326,А,30424,1106668.0000,1,07/01/14
1326,А,31305,5072612.0000,2,07/01/14
1326,А,31402,2751000.0000,2,07/01/14
1326,А,32006,0.0000,1,07/01/14
1326,А,32104,0.0000,1,07/01/14
1326,А,32105,2690448.0000,1,07/01/14
1326,А,32106,367261.0000,1,07/01/14
1326,А,32109,5822604.0000,1,07/01/14
1326,А,32204,0.0000,1,07/01/14
1326,А,32308,1362118.0000,1,07/01/14
1326,А,40503,219760.0000,2,07/01/14
1326,А,40701,14099052.0000,2,07/01/14
1326,А,40818,2.0000,2,07/01/14
1326,А,40903,58804.0000,2,07/01/14
1326,А,41402,0.0000,2,07/01/14
1326,А,42002,311252.0000,2,07/01/14
1326,А,42007,3386822.0000,2,07/01/14
1326,А,42102,11486653.0000,2,07/01/14
1326,А,42104,8444905.0000,2,07/01/14
1326,А,42106,9607331.0000,2,07/01/14
1326,А,42304,6993362.0000,2,07/01/14
1326,А,42305,94623542.0000,2,07/01/14
1326,А,42315,10552.0000,2,07/01/14
1326,А,43701,3703602.0000,2,07/01/14
1326,А,43703,0.0000,2,07/01/14
1326,А,44003,8865557.0000,2,07/01/14
1326,А,45105,3000000.0000,1,07/01/14
1326,А,45106,9253011.0000,1,07/01/14
1326,А,45201,4699363.0000,1,07/01/14
1326,А,45502,28706.0000,1,07/01/14
1326,А,45504,635272.0000,1,07/01/14
1326,А,45509,15965101.0000,1,07/01/14
1326,А,45615,14555125.0000,2,07/01/14
1326,А,45707,4434.0000,1,07/01/14
1326,А,45715,219.0000,2,07/01/14
1326,А,47801,28361.0000,1,07/01/14
1326,А,50105,9856.0000,1,07/01/14
1326,А,50905,0.0000,1,07/01/14
1326,А,51405,377418.0000,1,07/01/14
1326,А,52303,86897.0000,2,07/01/14
1326,А,52305,23194206.0000,2,07/01/14
1326,А,52602,9987319.0000,2,07/01/14
1326,А,60202,375687.0000,1,07/01/14
1326,А,60306,10957.0000,1,07/01/14
1326,А,60307,425.0000,2,07/01/14
1326,А,61002,619.0000,1,07/01/14
1326,А,61210,0.0000,1,07/01/14
1326,А,61212,0.0000,1,07/01/14
1326,В,90702,6.0000,1,07/01/14
1326,В,91203,1656.0000,1,07/01/14
1326,В,91316,37410795.0000,2,07/01/14
1326,В,91412,27191397.0000,1,07/01/14
1326,Г,93301,896180.0000,1,07/01/14
1326,Г,93411,426685.0000,1,07/01/14
1326,Г,93502,248356.0000,1,07/01/14
1326,Г,93704,64063.0000,1,07/01/14
1326,Г,96302,1087117.0000,2,07/01/14
1326,Г,96507,395348.0000,2,07/01/14
1326,Д,98020,8.0000,1,07/01/14
1326,Д,98040,968586262.0000,2,07/01/14
1326,Д,98053,0.0000,2,07/01/14
2249,А,30110,29190.0000,1,07/01/14
2249,А,30118,0.0000,1,07/01/14
2249,А,32003,200000.0000,1,07/01/14
2249,А,40817,57092.0000,2,07/01/14
2249,А,40911,0.0000,2,07/01/14
2249,А,45208,1825.0000,1,07/01/14
2249,А,45415,485.0000,2,07/01/14
2249,А,45812,11500.0000,1,07/01/14
2249,А,45915,1.0000,1,07/01/14
2249,А,60312,620.0000,1,07/01/14
2249,А,70609,351.0000,1,07/01/14
2249,В,91317,1953.0000,2,07/01/14
2249,В,91508,1141.0000,2,07/01/14
2726,А,30221,0.0000,1,07/01/14
2726,А,47427,1024.0000,1,07/01/14
2726,А,60901,4781.0000,1,07/01/14
2726,А,61403,23403.0000,1,07/01/14
1326,А,20208,28207753.0000,1,07/01/14
1326,А,30110,1316770.0000,1,07/01/14
1326,А,30204,4845382.0000,1,07/01/14
1326,А,30232,7399471.0000,2,07/01/14
1326,А,30233,4131884.0000,1,07/01/14
1326,А,30306,630634177.0000,1,07/01/14
1326,А,31303,2920000.0000,2,07/01/14
1326,А,31403,772377.0000,2,07/01/14
1326,А,31501,3821534.0000,2,07/01/14
1326,А,31503,593976.0000,2,07/01/14
1326,А,32005,6600000.0000,1,07/01/14
1326,А,32901,66233930.0000,2,07/01/14
1326,А,40602,36573.0000,2,07/01/14
1326,А,40805,1458.0000,2,07/01/14
1326,А,40901,2449151.0000,2,07/01/14
1326,А,41005,15000000.0000,2,07/01/14
1326,А,41502,102500.0000,2,07/01/14
1326,А,41503,51904.0000,2,07/01/14
1326,А,41702,22800.0000,2,07/01/14
1326,А,42107,2293320.0000,2,07/01/14
1326,А,42307,199822.0000,2,07/01/14
1326,А,42504,336306.0000,2,07/01/14
1326,А,42601,100328.0000,2,07/01/14
1326,А,44005,0.0000,2,07/01/14
1326,А,45101,70.0000,1,07/01/14
1326,А,45205,41188209.0000,1,07/01/14
1326,А,47001,662040.0000,1,07/01/14
