"REGN,N,4,0","PLAN,C,1","NUM_SC,C,5","ITOGO,N,33,4","A_P,C,1","DT,D"
1326,А,20309,787773.0000,2,07/01/17
1326,А,30220,2261355.0000,2,07/01/17
1326,А,30221,452939.0000,1,07/01/17
1326,А,30236,783084.0000,2,07/01/17
1326,А,30413,717297.0000,1,07/01/17
1326,А,30424,2641987.0000,1,07/01/17
1326,А,31305,2200000.0000,2,07/01/17
1326,А,31402,0.0000,2,07/01/17
1326,А,31505,2360648.0000,2,07/01/17
1326,А,32006,0.0000,1,07/01/17
1326,А,32204,18517856.0000,1,07/01/17
1326,А,32308,1007830.0000,1,07/01/17
1326,А,408.2,416316314.0000,2,07/01/17
1326,А,40903,21432.0000,2,07/01/17
1326,А,41402,0.0000,2,07/01/17
1326,А,42002,3178230.0000,2,07/01/17
1326,А,42007,6440011.0000,2,07/01/17
1326,А,42102,79934635.0000,2,07/01/17
1326,А,42104,52551635.0000,2,07/01/17
1326,А,42106,22100653.0000,2,07/01/17
1326,А,42108,120449.0000,2,07/01/17
1326,А,42304,14205239.0000,2,07/01/17
1326,А,42305,231281757.0000,2,07/01/17
1326,А,42315,9420.0000,2,07/01/17
1326,А,43701,24250.0000,2,07/01/17
1326,А,44907,72000.0000,1,07/01/17
1326,А,45105,1002208.0000,1,07/01/17
1326,А,45106,5862622.0000,1,07/01/17
1326,А,45201,7107675.0000,1,07/01/17
1326,А,45502,22600.0000,1,07/01/17
1326,А,45504,83059.0000,1,07/01/17
1326,А,45509,9957208.0000,1,07/01/17
1326,А,45615,14651102.0000,2,07/01/17
1326,А,45707,11191.0000,1,07/01/17
1326,А,45715,3645.0000,2,07/01/17
1326,А,45906,0.0000,1,07/01/17
1326,А,45916,0.0000,1,07/01/17
1326,А,47801,876.0000,1,07/01/17
1326,А,50105,0.0000,1,07/01/17
1326,А,50308,61912079.0000,1,07/01/17
1326,А,50905,0.0000,1,07/01/17
1326,А,52303,657384.0000,2,07/01/17
1326,А,52305,4931694.0000,2,07/01/17
1326,А,52602,43519575.0000,2,07/01/17
1326,А,60202,2859170.0000,1,07/01/17
1326,А,60306,86532.0000,1,07/01/17
1326,А,60307,265.0000,2,07/01/17
1326,А,61002,1045.0000,1,07/01/17
1326,А,61210,0.0000,1,07/01/17
1326,А,61212,0.0000,1,07/01/17
1326,В,90702,42.0000,1,07/01/17
1326,В,91203,5706.0000,1,07/01/17
1326,В,91316,77151188.0000,2,07/01/17
1326,В,91318,2024979.0000,2,07/01/17
1326,В,91412,4051826.0000,1,07/01/17
1326,Г,93301,0.0000,1,07/01/17
1326,Г,93403,0.0000,1,07/01/17
1326,Г,93502,1406.0000,1,07/01/17
1326,Г,96302,31614910.0000,2,07/01/17
1326,Г,96312,370272096.0000,2,07/01/17
1326,Г,96408,0.0000,2,07/01/17
1326,Г,96507,323492.0000,2,07/01/17
2249,А,30110,84923.0000,1,07/01/17
2249,А,30118,152.0000,1,07/01/17
2249,А,30126,57.0000,2,07/01/17
2249,А,31902,0.0000,1,07/01/17
2249,А,407,185174.0000,2,07/01/17
2249,А,40911,0.0000,2,07/01/17
2249,А,43805,19821.0000,2,07/01/17
2249,А,45208,43066.0000,1,07/01/17
2249,А,45415,844.0000,2,07/01/17
2249,А,45812,18093.0000,1,07/01/17
2249,А,45914,5.0000,1,07/01/17
2249,А,45915,0.0000,1,07/01/17
2249,А,60312,1190.0000,1,07/01/17
2249,А,60336,203.0000,1,07/01/17
2249,А,60415,102.0000,1,07/01/17
2249,А,60903,2869.0000,2,07/01/17
2249,А,61209,0.0000,1,07/01/17
2249,А,61907,11192.0000,1,07/01/17
2249,А,70609,3572.0000,1,07/01/17
2249,В,91317,1057.0000,2,07/01/17
2249,В,91508,806.0000,2,07/01/17
2726,А,30213,22338.0000,1,07/01/17
2726,А,47407,0.0000,2,07/01/17
2726,А,47416,0.0000,2,07/01/17
2726,А,60312,3155.0000,1,07/01/17
2726,А,60313,0.0000,2,07/01/17
2726,А,60323,123.0000,1,07/01/17
2726,А,60414,203414.0000,2,07/01/17
2726,А,70606,1204110.0000,1,07/01/17
1326,А,20208,38365901.0000,1,07/01/17
1326,А,30110,11229149.0000,1,07/01/17
1326,А,30204,8983608.0000,1,07/01/17
1326,А,30232,14795439.0000,2,07/01/17
1326,А,30233,8054186.0000,1,07/01/17
1326,А,30306,3702271214.0000,1,07/01/17
1326,А,31206,3500.0000,2,07/01/17
1326,А,31207,3882209.0000,2,07/01/17
1326,А,31303,38149086.0000,2,07/01/17
1326,А,31403,6454000.0000,2,07/01/17
1326,А,31501,773102.0000,2,07/01/17
1326,А,31503,2257928.0000,2,07/01/17
1326,А,32005,18150000.0000,1,07/01/17
1326,А,32311,0.0000,2,07/01/17
1326,А,32901,32006601.0000,2,07/01/17
1326,А,40901,4115319.0000,2,07/01/17
1326,А,41502,2245949.0000,2,07/01/17
1326,А,41503,53177.0000,2,07/01/17
1326,А,41804,4000.0000,2,07/01/17
1326,А,42107,819979.0000,2,07/01/17
1326,А,42504,11406.0000,2,07/01/17
1326,А,42505,3836.0000,2,07/01/17
1326,А,42601,182734.0000,2,07/01/17
1326,А,44005,0.0000,2,07/01/17
1326,А,44607,5021832.0000,1,07/01/17
1326,А,45101,1024.0000,1,07/01/17
1326,А,45205,13559700.0000,1,07/01/17
1326,А,45704,462.0000,1,07/01/17
1326,А,45911,10784.0000,1,07/01/17
1326,А,47001,2151394.0000,1,07/01/17
1326,А,47008,363941.0000,2,07/01/17
1326,А,47103,4999795.0000,1,07/01/17
1326,А,47423,29389403.0000,1,07/01/17
1326,А,47425,36446723.0000,2,07/01/17
1326,А,47427,4146948.0000,1,07/01/17
1326,А,47431,2439063.0000,1,07/01/17
1326,А,50207,0.0000,1,07/01/17
1326,А,50208,21369739.0000,1,07/01/17
1326,А,50209,29645362.0000,1,07/01/17
1326,А,50211,59002468.0000,1,07/01/17
1326,А,50218,0.0000,1,07/01/17
1326,А,50606,108482.0000,1,07/01/17
1326,А,50620,536343.0000,2,07/01/17
1326,А,50719,141.0000,2,07/01/17
1326,А,50720,0.0000,2,07/01/17
1326,А,52304,2090994.0000,2,07/01/17
1326,А,60103,15466034.0000,1,07/01/17
1326,А,60106,447000.0000,1,07/01/17
1326,А,60312,3430668.0000,1,07/01/17
1326,А,60414,15093486.0000,2,07/01/17
1326,А,61008,14026.0000,1,07/01/17
1326,А,61209,0.0000,1,07/01/17
1326,А,61213,0.0000,1,07/01/17
1326,А,61601,0.0000,1,07/01/17
1326,А,62103,2118.0000,2,07/01/17
1326,А,70603,951871550.0000,2,07/01/17
1326,В,90701,2.0000,1,07/01/17
1326,В,91202,61647.0000,1,07/01/17
1326,В,91501,619430.0000,1,07/01/17
1326,В,91508,1814.0000,2,07/01/17
1326,В,91803,1196507.0000,1,07/01/17
1326,В,99999,5012563219.0000,2,07/01/17
1326,Г,93302,31495832.0000,1,07/01/17
1326,Г,93404,0.0000,1,07/01/17
1326,Г,93710,8622524.0000,1,07/01/17
1326,Г,99996,1796770877.0000,1,07/01/17
1326,Г,99997,1792845007.0000,2,07/01/17
2249,А,10614,40000.0000,2,07/01/17
2249,А,10701,14100.0000,2,07/01/17
2249,А,20209,0.0000,1,07/01/17
2249,А,30305,874778.0000,2,07/01/17
2249,А,408.1,26300.0000,2,07/01/17
2249,А,40910,0.0000,2,07/01/17
2249,А,45815,5481.0000,1,07/01/17
2249,А,45918,0.0000,2,07/01/17
2249,А,47407,0.0000,2,07/01/17
2249,А,47411,570.0000,2,07/01/17
2249,А,47415,7980.0000,1,07/01/17
2249,А,47422,1235.0000,2,07/01/17
2249,А,47425,277574.0000,2,07/01/17
2249,А,47427,0.0000,1,07/01/17
2249,А,51405,14746.0000,1,07/01/17
2249,А,60301,996.0000,2,07/01/17
2249,А,60306,0.0000,1,07/01/17
2249,А,60314,0.0000,1,07/01/17
2249,А,60401,59731.0000,1,07/01/17
2249,А,70606,795045.0000,1,07/01/17
2249,А,70615,10683.0000,2,07/01/17
2249,В,90901,24223.0000,1,07/01/17
2726,А,30220,0.0000,2,07/01/17
2726,А,30221,0.0000,1,07/01/17
2726,А,47427,259.0000,1,07/01/17
2726,А,60901,113493.0000,1,07/01/17
2726,А,61403,47293.0000,1,07/01/17
1326,А,10605,124440.0000,1,07/01/17
1326,А,31409,216545.0000,2,07/01/17
1326,А,32102,10591934.0000,1,07/01/17
1326,А,32211,3671274.0000,2,07/01/17
1326,А,408.1,58113604.0000,2,07/01/17
1326,А,40902,1437812.0000,2,07/01/17
1326,А,41102,0.0000,2,07/01/17
1326,А,42001,11606.0000,2,07/01/17
1326,А,42004,3018800.0000,2,07/01/17
1326,А,42105,40252503.0000,2,07/01/17
1326,А,42301,4599896.0000,2,07/01/17
1326,А,42309,116107.0000,2,07/01/17
1326,А,42314,17725.0000,2,07/01/17
1326,А,42604,279402.0000,2,07/01/17
1326,А,42612,48.0000,2,07/01/17
1326,А,42613,924.0000,2,07/01/17
1326,А,44001,488175.0000,2,07/01/17
1326,А,44908,2000000.0000,1,07/01/17
1326,А,45204,12307907.0000,1,07/01/17
1326,А,45207,239609238.0000,1,07/01/17
