"REGN,N,4,0","CODE,C,5","ITOGO,N,16,0"
101,01000,171385
101,02000,0
101,10000,2740566
101,10001,1254158
101,10002,1483961
101,10003,2447
101,11000,310939
101,11100,50000
101,11101,0
101,11102,0
101,11103,0
101,11104,0
101,11105,0
101,11106,0
101,11107,0
101,11108,0
101,11109,1159
101,11110,0
101,11111,0
101,11112,35836
101,11113,0
101,11114,48
101,11115,3050
101,11116,0
101,11117,0
101,11118,9907
101,11119,0
101,11200,913
101,11201,0
101,11202,0
101,11203,0
101,11204,0
101,11205,0
101,11206,0
101,11207,0
101,11208,0
101,11209,0
101,11210,0
101,11211,678
101,11212,0
101,11213,0
101,11214,235
101,11215,0
101,11216,0
101,11217,0
101,11300,405
101,11301,0
101,11302,405
101,11303,0
101,11400,28140
101,11401,28140
101,11402,0
101,11403,0
101,11500,212395
101,11501,0
101,11502,25884
101,11503,0
101,11504,94342
101,11505,47776
101,11506,1750
101,11507,0
101,11508,42643
101,11600,19086
101,11601,0
101,11602,0
101,11603,10820
101,11604,8266
101,11605,0
101,11606,0
101,11607,0
101,11608,0
101,12000,943219
101,12100,28553
101,12101,21191
101,12102,7362
101,12200,914666
101,12201,914666
101,12300,0
101,12301,0
101,12400,0
101,12401,0
101,12402,0
101,12403,0
101,12404,0
101,12405,0
101,12406,0
101,13000,115622
101,13100,115622
101,13101,0
101,13102,5606
101,13103,86
101,13104,8518
101,13105,52396
101,13106,9281
101,13107,0
101,13108,39735
101,13200,0
101,13201,0
101,14000,2
101,14100,2
101,14101,2
101,14102,0
101,14103,0
101,14104,0
101,14200,0
101,14201,0
101,14202,0
101,14203,0
101,14204,0
101,14300,0
101,14301,0
101,14302,0
101,14303,0
101,14304,0
101,14400,0
101,14401,0
101,14402,0
101,14403,0
101,14404,0
101,15000,1147472
101,15100,1147472
101,15101,31825
101,15102,1115647
101,15103,0
101,15200,0
101,15201,0
101,15202,0
101,15203,0
101,15204,0
101,16000,220865
101,16100,87829
101,16101,0
101,16102,0
101,16103,87829
101,16104,0
101,16105,0
101,16200,35
101,16201,0
101,16202,0
101,16203,35
101,16300,133001
101,16301,5071
101,16302,0
101,16303,0
101,16304,0
101,16305,127613
101,16306,317
101,17000,2447
101,17100,432
101,17101,432
101,17102,0
101,17103,0
101,17200,1980
101,17201,0
101,17202,1979
101,17203,1
101,17300,35
101,17301,0
101,17302,0
101,17303,0
101,17304,2
101,17305,0
101,17306,33
101,20000,2610940
101,20001,1034845
101,20002,1528341
101,20003,5995
101,20100,2569181
101,21000,54016
101,21100,312
101,21101,53
101,21102,259
101,21103,0
101,21104,0
101,21200,33
101,21201,0
101,21202,0
101,21203,0
101,21204,0
101,21205,0
101,21206,0
101,21207,33
101,21208,0
101,21209,0
101,21210,0
101,21211,0
101,21212,0
101,21213,0
101,21214,0
101,21300,24034
101,21301,0
101,21302,0
101,21303,0
101,21304,0
101,21305,0
101,21306,0
101,21307,0
101,21308,0
101,21309,0
101,21310,0
101,21311,23997
101,21312,37
101,21313,0
101,21314,0
101,21315,0
101,21316,0
101,21317,0
101,21400,6
101,21401,0
101,21402,0
101,21403,0
101,21404,0
101,21405,0
101,21406,0
101,21407,0
101,21408,0
101,21409,0
101,21410,0
101,21411,0
101,21412,0
101,21413,0
101,21414,6
101,21415,0
101,21416,0
101,21417,0
101,21500,0
101,21501,0
101,21502,0
101,21600,29628
101,21601,29602
101,21602,26
101,21700,0
101,21701,0
101,21702,0
101,21800,3
101,21801,0
101,21802,0
101,21803,0
101,21804,3
101,22000,980829
101,22100,980829
101,22101,980829
101,22200,0
101,22201,0
101,22202,0
101,22203,0
101,23000,87567
101,23100,87567
101,23101,0
101,23102,11731
101,23103,0
101,23104,16646
101,23105,9866
101,23106,2083
101,23107,0
