"REGN,N,4,0","CODE,C,5","ITOGO,N,16,0"
2,01000,24795
2,02000,0
2,10000,304751
2,10001,102193
2,10002,202540
2,10003,18
2,11000,65130
2,11100,65014
2,11101,0
2,11102,0
2,11103,0
2,11104,0
2,11105,0
2,11106,0
2,11107,0
2,11108,0
2,11109,0
2,11110,0
2,11111,0
2,11112,64852
2,11113,0
2,11114,0
2,11115,128
2,11116,0
2,11117,0
2,11118,34
2,11119,0
2,11200,0
2,11201,0
2,11202,0
2,11203,0
2,11204,0
2,11205,0
2,11206,0
2,11207,0
2,11208,0
2,11209,0
2,11210,0
2,11211,0
2,11212,0
2,11213,0
2,11214,0
2,11215,0
2,11216,0
2,11217,0
2,11300,34
2,11301,0
2,11302,34
2,11303,0
2,11400,82
2,11401,0
2,11402,82
2,11403,0
2,11500,0
2,11501,0
2,11502,0
2,11503,0
2,11504,0
2,11505,0
2,11506,0
2,11507,0
2,11508,0
2,11600,0
2,11601,0
2,11602,0
2,11603,0
2,11604,0
2,11605,0
2,11606,0
2,11607,0
2,11608,0
2,12000,37063
2,12100,17537
2,12101,2776
2,12102,14761
2,12200,18991
2,12201,18991
2,12300,393
2,12301,393
2,12400,142
2,12401,0
2,12402,0
2,12403,0
2,12404,112
2,12405,0
2,12406,30
2,13000,0
2,13100,0
2,13101,0
2,13102,0
2,13103,0
2,13104,0
2,13105,0
2,13106,0
2,13107,0
2,13108,0
2,13200,0
2,13201,0
2,14000,21098
2,14100,21098
2,14101,0
2,14102,21098
2,14103,0
2,14104,0
2,14200,0
2,14201,0
2,14202,0
2,14203,0
2,14204,0
2,14300,0
2,14301,0
2,14302,0
2,14303,0
2,14304,0
2,14400,0
2,14401,0
2,14402,0
2,14403,0
2,14404,0
2,15000,101293
2,15100,101293
2,15101,0
2,15102,101293
2,15103,0
2,15200,0
2,15201,0
2,15202,0
2,15203,0
2,15204,0
2,16000,80149
2,16100,0
2,16101,0
2,16102,0
2,16103,0
2,16104,0
2,16105,0
2,16200,768
2,16201,0
2,16202,0
2,16203,768
2,16300,79381
2,16301,485
2,16302,0
2,16303,0
2,16304,0
2,16305,78891
2,16306,5
2,17000,18
2,17100,13
2,17101,0
2,17102,1
2,17103,12
2,17200,1
2,17201,1
2,17202,0
2,17203,0
2,17300,4
2,17301,0
2,17302,0
2,17303,0
2,17304,1
2,17305,2
2,17306,1
2,20000,286896
2,20001,14431
2,20002,264944
2,20003,581
2,20100,279956
2,21000,3814
2,21100,58
2,21101,0
2,21102,58
2,21103,0
2,21104,0
2,21200,0
2,21201,0
2,21202,0
2,21203,0
2,21204,0
2,21205,0
2,21206,0
2,21207,0
2,21208,0
2,21209,0
2,21210,0
2,21211,0
2,21212,0
2,21213,0
2,21214,0
2,21300,125
2,21301,0
2,21302,0
2,21303,0
2,21304,0
2,21305,0
2,21306,0
2,21307,0
2,21308,0
2,21309,0
2,21310,0
2,21311,0
2,21312,125
2,21313,0
2,21314,0
2,21315,0
2,21316,0
2,21317,0
2,21400,0
2,21401,0
2,21402,0
2,21403,0
2,21404,0
2,21405,0
2,21406,0
2,21407,0
2,21408,0
2,21409,0
2,21410,0
2,21411,0
2,21412,0
2,21413,0
2,21414,0
2,21415,0
2,21416,0
2,21417,0
2,21500,0
2,21501,0
2,21502,0
2,21600,3178
2,21601,3178
2,21602,0
2,21700,0
2,21701,0
2,21702,0
2,21800,453
2,21801,83
2,21802,0
2,21803,0
2,21804,370
2,22000,10617
2,22100,10617
2,22101,10617
2,22200,0
2,22201,0
2,22202,0
2,22203,0
2,23000,1876
2,23100,1876
2,23101,0
2,23102,0
2,23103,0
2,23104,0
2,23105,0
2,23106,0
2,23107,0
2,23108,0
2,23109,1876
2,23200,0
2,23201,0
2,24000,102022
2,24100,102022
2,24101,0
2,24102,102022
2,24103,0
2,24200,0
2,24201,0
2,24202,0
2,24203,0
2,24204,0
2,25000,94694
2,25100,0
2,25101,0
2,25102,0
2,25103,0
2,25104,0
2,25105,0
2,25200,6290
2,25201,17
2,25202,2208
2,25203,3988
2,25204,0
2,25205,0
2,25206,77
2,25300,88404
2,25301,0
2,25302,88400
2,25303,4
2,26000,66352
2,26100,28072
2,26101,22449
2,26102,5584
2,26103,0
2,26104,39
2,26200,297
2,26201,297
2,26202,0
2,26203,0
2,26300,10701
2,26301,56
2,26302,741
2,26303,8375
2,26304,1037
2,26305,492
2,26306,0
2,26307,0
2,26400,27282
2,26401,27
2,26402,132
2,26403,6571
2,26404,98
2,26405,110
2,26406,1028
2,26407,0
2,26408,120
2,26409,0
2,26410,392
2,26411,2754
2,26412,16050
2,27000,581
2,27100,1
2,27101,0
2,27102,1
2,27103,0
2,27200,0
2,27201,0
2,27202,0
2,27203,0
2,27300,580
2,27301,0
2,27302,0
2,27303,0
2,27304,0
2,27305,546
2,27306,34
2,27307,0
2,27308,0
2,28000,6940
2,28101,6940
2,31001,17855
2,31002,0
2,32001,0
2,32002,0
2,32101,0
2,33001,17855
2,33002,0
101,01000,117384
101,02000,0
101,10000,1450243
101,10001,700119
101,10002,748410
101,10003,1714
101,11000,133456
101,11100,24226
101,11101,0
101,11102,0
101,11103,0
101,11104,0
101,11105,0
101,11106,0
101,11107,0
101,11108,0
101,11109,1159
101,11110,0
101,11111,0
101,11112,19733
101,11113,0
101,11114,25
101,11115,1290
101,11116,0
101,11117,0
101,11118,2019
101,11119,0
101,11200,0
101,11201,0
101,11202,0
101,11203,0
101,11204,0
101,11205,0
101,11206,0
101,11207,0
101,11208,0
101,11209,0
101,11210,0
101,11211,0
101,11212,0
101,11213,0
101,11214,0
101,11215,0
101,11216,0
101,11217,0
101,11300,185
101,11301,0
101,11302,185
101,11303,0
101,11400,4973
101,11401,4973
101,11402,0
101,11403,0
101,11500,85241
101,11501,0
101,11502,11412
101,11503,0
101,11504,51535
101,11505,21889
101,11506,0
101,11507,0
101,11508,405
101,11600,18831
101,11601,0
101,11602,0
101,11603,10565
101,11604,8266
101,11605,0
101,11606,0
101,11607,0
101,11608,0
101,12000,566663
101,12100,14956
101,12101,11335
101,12102,3621
101,12200,551707
101,12201,551707
101,12300,0
101,12301,0
101,12400,0
101,12401,0
101,12402,0
101,12403,0
101,12404,0
101,12405,0
101,12406,0
101,13000,52070
101,13100,52070
101,13101,0
101,13102,4606
101,13103,86
101,13104,8190
101,13105,38110
101,13106,0
101,13107,0
101,13108,1078
101,13200,0
101,13201,0
101,14000,0
101,14100,0
101,14101,0
101,14102,0
101,14103,0
101,14104,0
101,14200,0
101,14201,0
101,14202,0
101,14203,0
101,14204,0
101,14300,0
101,14301,0
101,14302,0
101,14303,0
101,14304,0
101,14400,0
101,14401,0
101,14402,0
101,14403,0
101,14404,0
101,15000,650734
101,15100,650734
101,15101,52091
101,15102,598643
101,15103,0
101,15200,0
101,15201,0
101,15202,0
101,15203,0
101,15204,0
101,16000,45606
101,16100,3537
101,16101,0
101,16102,0
101,16103,3537
101,16104,0
101,16105,0
101,16200,35
101,16201,0
101,16202,0
101,16203,35
101,16300,42034
101,16301,2517
101,16302,0
101,16303,0
101,16304,0
101,16305,39159
101,16306,358
101,17000,1714
101,17100,125
101,17101,125
101,17102,0
101,17103,0
101,17200,1571
101,17201,0
101,17202,1570
101,17203,1
101,17300,18
101,17301,0
101,17302,0
101,17303,0
101,17304,1
101,17305,0
101,17306,17
101,20000,1356178
101,20001,676979
101,20002,650310
101,20003,5570
101,20100,1332859
101,21000,30931
101,21100,220
101,21101,6
101,21102,214
101,21103,0
101,21104,0
101,21200,33
101,21201,0
101,21202,0
101,21203,0
101,21204,0
101,21205,0
101,21206,0
101,21207,33
101,21208,0
101,21209,0
101,21210,0
101,21211,0
101,21212,0
101,21213,0
101,21214,0
101,21300,14174
101,21301,0
101,21302,0
101,21303,0
101,21304,0
101,21305,0
101,21306,0
101,21307,0
101,21308,0
101,21309,0
101,21310,0
101,21311,14156
101,21312,18
101,21313,0
101,21314,0
101,21315,0
101,21316,0
101,21317,0
101,21400,0
101,21401,0
101,21402,0
101,21403,0
101,21404,0
101,21405,0
101,21406,0
101,21407,0
101,21408,0
101,21409,0
101,21410,0
101,21411,0
101,21412,0
101,21413,0
101,21414,0
101,21415,0
101,21416,0
101,21417,0
101,21500,0
101,21501,0
101,21502,0
101,21600,16504
101,21601,16486
101,21602,18
101,21700,0
101,21701,0
101,21702,0
101,21800,0
101,21801,0
101,21802,0
101,21803,0
101,21804,0
101,22000,646048
101,22100,646048
101,22101,646048
101,22200,0
101,22201,0
101,22202,0
101,22203,0
101,23000,28075
101,23100,28075
101,23101,0
101,23102,11729
101,23103,0
101,23104,15004
101,23105,1342
101,23106,0
101,23107,0
101,23108,0
101,23109,0
101,23200,0
101,23201,0
101,24000,485993
101,24100,485993
101,24101,0
101,24102,485993
101,24103,0
101,24200,0
101,24201,0
101,24202,0
101,24203,0
101,24204,0
101,25000,48719
101,25100,4580
101,25101,0
101,25102,0
101,25103,4580
101,25104,0
101,25105,0
101,25200,2974
101,25201,0
101,25202,12
101,25203,1177
101,25204,0
101,25205,844
101,25206,941
101,25300,41165
101,25301,0
101,25302,40708
101,25303,457
101,26000,87523
101,26100,49069
101,26101,40448
101,26102,8111
101,26103,0
101,26104,510
101,26200,6139
101,26201,6139
101,26202,0
101,26203,0
101,26300,10153
101,26301,64
101,26302,1022
101,26303,6262
101,26304,1391
101,26305,1414
101,26306,0
101,26307,0
101,26400,22162
101,26401,117
101,26402,1708
101,26403,962
101,26404,414
101,26405,0
101,26406,6487
101,26407,0
101,26408,550
