"REGN,N,4,0","CODE,C,5","SIM_R,N,16,0","SIM_V,N,16,0","SIM_ITOGO,N,16,0"
1,10000,41302517,5464174,46766691
1,10001,7521272,2839005,10360277
1,10002,33756333,2621460,36377793
1,10003,24912,3709,28621
1,11000,4466897,2744396,7211293
1,11100,3458487,2456778,5915265
1,11101,0,0,0
1,11102,3259,0,3259
1,11103,0,0,0
1,11104,0,0,0
1,11105,0,0,0
1,11106,3589,415,4004
1,11107,0,0,0
1,11108,0,0,0
1,11109,3482,0,3482
1,11110,0,0,0
1,11111,6778,2172,8950
1,11112,2705898,1490893,4196791
1,11113,4364,0,4364
1,11114,16464,1276,17740
1,11115,631550,728297,1359847
1,11116,7107,142213,149320
1,11117,312,6390,6702
1,11118,56194,32271,88465
1,11119,19490,52851,72341
1,11200,441266,2938,444204
1,11201,0,0,0
1,11202,0,0,0
1,11203,0,0,0
1,11204,0,0,0
1,11205,0,0,0
1,11206,0,0,0
1,11207,0,0,0
1,11208,0,0,0
1,11209,0,0,0
1,11210,0,0,0
1,11211,9742,0,9742
1,11212,273803,0,273803
1,11213,0,0,0
1,11214,35,2579,2614
1,11215,157663,0,157663
1,11216,23,359,382
1,11217,0,0,0
1,11300,1842,25852,27694
1,11301,0,0,0
1,11302,1842,0,1842
1,11303,0,25852,25852
1,11400,17255,209710,226965
1,11401,0,0,0
1,11402,491,0,491
1,11403,16764,209710,226474
1,11500,548047,49118,597165
1,11501,2100,2199,4299
1,11502,26382,0,26382
1,11503,0,0,0
1,11504,77194,0,77194
1,11505,375939,0,375939
1,11506,0,0,0
1,11507,66432,5220,71652
1,11508,0,41699,41699
1,11600,0,0,0
1,11601,0,0,0
1,11602,0,0,0
1,11603,0,0,0
1,11604,0,0,0
1,11605,0,0,0
1,11606,0,0,0
1,11607,0,0,0
1,11608,0,0,0
1,12000,3054375,94609,3148984
1,12100,344739,80046,424785
1,12101,23258,6513,29771
1,12102,321481,73533,395014
1,12200,2636458,,2636458
1,12201,2636458,,2636458
1,12300,64928,14557,79485
1,12301,64928,14557,79485
1,12400,8250,6,8256
1,12401,866,,866
1,12402,0,6,6
1,12403,0,,0
1,12404,7384,0,7384
1,12405,0,0,0
1,12406,0,0,0
1,13000,14226,0,14226
1,13100,14226,,14226
1,13101,6079,,6079
1,13102,667,,667
1,13103,616,,616
1,13104,483,,483
1,13105,6380,,6380
1,13106,0,,0
1,13107,1,,1
1,13108,0,,0
1,13200,0,0,0
1,13201,0,0,0
1,14000,0,0,0
1,14100,0,0,0
1,14101,0,0,0
1,14102,0,0,0
1,14103,0,0,0
1,14104,0,0,0
1,14200,0,0,0
1,14201,0,0,0
1,14202,0,0,0
1,14203,0,0,0
1,14204,0,0,0
1,14300,0,0,0
1,14301,0,0,0
1,14302,0,0,0
1,14303,0,0,0
1,14304,0,0,0
1,14400,0,0,0
1,14401,0,0,0
1,14402,0,0,0
1,14403,0,0,0
1,14404,0,0,0
1,15000,27470607,,27470607
1,15100,27470598,,27470598
1,15101,28652,,28652
1,15102,27441946,,27441946
1,15103,0,,0
1,15200,9,,9
1,15201,0,,0
1,15202,9,,9
1,15203,0,,0
1,15204,0,,0
1,16000,6271500,2621460,8892960
1,16100,1861179,2474912,4336091
1,16101,422246,0,422246
1,16102,0,0,0
1,16103,1438933,2474912,3913845
1,16104,0,0,0
1,16105,0,0,0
1,16200,444948,146548,591496
1,16201,43,62,105
1,16202,21216,15419,36635
1,16203,423689,131067,554756
1,16300,3965373,0,3965373
1,16301,0,0,0
1,16302,245,,245
1,16303,0,,0
1,16304,0,0,0
1,16305,3965128,,3965128
1,16306,0,0,0
1,17000,24912,3709,28621
1,17100,12733,2896,15629
1,17101,8894,2834,11728
1,17102,3839,62,3901
1,17103,0,0,0
1,17200,7482,642,8124
1,17201,346,177,523
1,17202,6824,423,7247
1,17203,312,42,354
1,17300,4697,171,4868
1,17301,0,0,0
1,17302,701,0,701
1,17303,0,0,0
1,17304,8,0,8
1,17305,0,0,0
1,17306,3988,171,4159
1,20000,39530961,4103230,43634191
1,20001,3647407,1753322,5400729
1,20002,35790788,2345944,38136732
1,20003,92766,3964,96730
1,21000,2034576,1753322,3787898
1,21100,259887,552211,812098
1,21101,732,0,732
1,21102,251192,7272,258464
1,21103,7963,540010,547973
1,21104,0,4929,4929
1,21200,7948,2098,10046
1,21201,0,0,0
1,21202,7,5,12
1,21203,0,8,8
1,21204,0,0,0
1,21205,0,0,0
1,21206,0,0,0
1,21207,46,245,291
1,21208,7290,1370,8660
1,21209,122,2,124
1,21210,0,318,318
1,21211,11,24,35
1,21212,34,2,36
1,21213,0,0,0
1,21214,438,124,562
1,21300,1554038,1034374,2588412
1,21301,0,0,0
1,21302,0,0,0
1,21303,0,0,0
1,21304,0,0,0
1,21305,0,0,0
1,21306,105,2634,2739
1,21307,0,0,0
1,21308,0,0,0
1,21309,0,0,0
1,21310,0,0,0
1,21311,18915,638,19553
1,21312,762909,984307,1747216
1,21313,1801,279,2080
1,21314,12930,898,13828
1,21315,10,0,10
1,21316,757368,45618,802986
1,21317,0,0,0
1,21400,12154,119662,131816
1,21401,0,0,0
1,21402,0,0,0
1,21403,0,0,0
1,21404,0,0,0
1,21405,0,0,0
1,21406,0,2,2
1,21407,0,0,0
1,21408,0,0,0
1,21409,0,0,0
1,21410,0,0,0
1,21411,0,0,0
1,21412,9123,99111,108234
1,21413,0,0,0
1,21414,82,19971,20053
1,21415,45,5,50
1,21416,0,573,573
1,21417,2904,0,2904
1,21500,11759,1224,12983
1,21501,11008,1003,12011
1,21502,751,221,972
1,21600,159907,43639,203546
1,21601,156910,41784,198694
1,21602,2997,1855,4852
1,21700,0,0,0
1,21701,0,0,0
1,21702,0,0,0
1,21800,28883,114,28997
1,21801,27033,0,27033
1,21802,0,0,0
1,21803,0,0,0
1,21804,1850,114,1964
1,22000,1612831,0,1612831
1,22100,1612118,,1612118
1,22101,1612118,,1612118
1,22200,713,0,713
