"REGN,N,4,0","CODE,C,5","ITOGO,N,16,0"
2,10000,202425
2,10001,56113
2,10002,146282
2,10003,30
2,11000,43504
2,11100,43428
2,11101,0
2,11102,0
2,11103,0
2,11104,0
2,11105,0
2,11106,0
2,11107,0
2,11108,0
2,11109,0
2,11110,0
2,11111,0
2,11112,42883
2,11113,0
2,11114,0
2,11115,384
2,11116,0
2,11117,0
2,11118,161
2,11119,0
2,11200,0
2,11201,0
2,11202,0
2,11203,0
2,11204,0
2,11205,0
2,11206,0
2,11207,0
2,11208,0
2,11209,0
2,11210,0
2,11211,0
2,11212,0
2,11213,0
2,11214,0
2,11215,0
2,11216,0
2,11217,0
2,11300,8
2,11301,0
2,11302,8
2,11303,0
2,11400,68
2,11401,0
2,11402,68
2,11403,0
2,11500,0
2,11501,0
2,11502,0
2,11503,0
2,11504,0
2,11505,0
2,11506,0
2,11507,0
2,11508,0
2,11600,0
2,11601,0
2,11602,0
2,11603,0
2,11604,0
2,11605,0
2,11606,0
2,11607,0
2,11608,0
2,12000,12609
2,12100,10250
2,12101,843
2,12102,9407
2,12200,2168
2,12201,2168
2,12300,117
2,12301,117
2,12400,74
2,12401,0
2,12402,0
2,12403,0
2,12404,67
2,12405,0
2,12406,7
2,13000,0
2,13100,0
2,13101,0
2,13104,0
2,13105,0
2,13106,0
2,13107,0
2,13108,0
2,13200,0
2,13201,0
2,14000,0
2,14100,0
2,14101,0
2,14102,0
2,14103,0
2,14104,0
2,14200,0
2,14201,0
2,14202,0
2,14203,0
2,14204,0
2,14300,0
2,14301,0
2,14302,0
2,14303,0
2,14304,0
2,14400,0
2,14401,0
2,14402,0
2,14403,0
2,14404,0
2,15000,13550
2,15100,13550
2,15101,0
2,15102,13550
2,15103,0
2,15200,0
2,15201,0
2,15202,0
2,15203,0
2,15204,0
2,16000,132732
2,16100,0
2,16101,0
2,16102,0
2,16103,0
2,16104,0
2,16105,0
2,16200,142
2,16201,0
2,16202,0
2,16203,142
2,16300,132590
2,16301,393
2,16302,0
2,16303,0
2,16304,0
2,16305,132197
2,16306,0
2,17000,30
2,17100,9
2,17101,0
2,17103,9
2,17200,10
2,17201,10
2,17202,0
2,17203,0
2,17300,11
2,17301,0
2,17302,0
2,17303,0
2,17304,1
2,17305,0
2,17306,10
2,20000,192751
2,20001,6600
2,20002,185663
2,20003,488
2,21000,6466
2,21100,353
2,21101,0
2,21102,353
2,21103,0
2,21104,0
2,21200,0
2,21201,0
2,21202,0
2,21203,0
2,21204,0
2,21205,0
2,21206,0
2,21207,0
2,21208,0
2,21209,0
2,21210,0
2,21211,0
2,21212,0
2,21213,0
2,21214,0
2,21300,1988
2,21301,0
2,21302,0
2,21303,0
2,21304,0
2,21305,0
2,21306,0
2,21307,0
2,21308,0
2,21309,0
2,21310,0
2,21311,0
2,21312,1842
2,21313,146
2,21314,0
2,21315,0
2,21316,0
2,21317,0
2,21400,0
2,21401,0
2,21402,0
2,21403,0
2,21404,0
2,21405,0
2,21406,0
2,21407,0
2,21408,0
2,21409,0
2,21410,0
2,21411,0
2,21412,0
2,21413,0
2,21414,0
2,21415,0
2,21416,0
2,21417,0
2,21500,0
2,21501,0
2,21502,0
2,21600,3824
2,21601,3824
2,21602,0
2,21700,0
2,21701,0
2,21702,0
2,21800,301
2,21801,301
2,21802,0
2,21803,0
2,21804,0
2,22000,134
2,22100,134
2,22101,134
2,22200,0
2,22201,0
2,22202,0
2,22203,0
2,23000,0
2,23100,0
2,23101,0
2,23102,0
2,23103,0
2,23104,0
2,23105,0
2,23106,0
2,23107,0
2,23108,0
2,23109,0
2,23200,0
2,23201,0
2,24000,15426
2,24100,15426
2,24101,0
2,24102,15426
2,24103,0
2,24200,0
2,24201,0
2,24202,0
2,24203,0
2,24204,0
2,25000,136918
2,25100,0
2,25101,0
2,25104,0
2,25105,0
2,25200,3969
2,25201,0
2,25202,1748
2,25203,2209
2,25204,0
2,25205,0
2,25206,12
2,25300,132949
2,25301,0
2,25302,132939
2,25303,10
2,26000,33319
2,26100,14096
2,26101,11186
2,26102,2892
2,26103,0
2,26104,18
2,26200,186
2,26201,186
2,26202,0
2,26203,0
2,26300,8320
2,26301,13
2,26302,1751
2,26303,6041
2,26304,109
2,26305,406
2,26306,0
2,26307,0
2,26400,10717
2,26401,89
2,26402,34
2,26403,2886
2,26404,301
2,26405,87
2,26406,595
2,26407,0
2,26408,0
2,26409,0
2,26410,333
2,26411,439
2,26412,5953
2,27000,488
2,27100,0
2,27101,0
2,27102,0
2,27103,0
2,27200,10
2,27201,0
2,27202,0
2,27203,10
2,27300,478
2,27301,0
2,27302,0
2,27303,0
2,27304,0
2,27305,413
2,27306,60
2,27307,0
2,27308,5
2,28000,0
2,28100,0
2,28101,0
2,31003,1
2,31004,346
2,31005,9328
2,33001,9674
2,33002,0
5,10000,218460
5,10001,116887
5,10002,100495
5,10003,1078
5,11000,75530
5,11100,49973
5,11101,0
5,11102,0
5,11103,0
5,11104,0
5,11105,0
5,11106,36
5,11107,0
5,11108,0
5,11109,0
5,11110,0
5,11111,0
5,11112,42529
5,11113,39
5,11114,3474
5,11115,3858
5,11116,0
5,11117,1
5,11118,36
5,11119,0
5,11200,3784
5,11201,0
5,11202,0
5,11203,0
5,11204,0
5,11205,0
5,11206,0
5,11207,0
5,11208,0
5,11209,0
5,11210,0
5,11211,2198
5,11212,608
5,11213,215
5,11214,0
5,11215,763
5,11216,0
5,11217,0
5,11300,1185
5,11301,0
5,11302,0
5,11303,1185
5,11400,0
5,11401,0
5,11402,0
5,11403,0
5,11500,18001
5,11501,6675
5,11502,5369
5,11503,0
5,11504,0
5,11505,5957
5,11506,0
5,11507,0
5,11508,0
5,11600,2587
5,11601,0
5,11602,0
5,11603,2587
5,11604,0
5,11605,0
5,11606,0
5,11607,0
5,11608,0
5,12000,41357
5,12100,17719
5,12101,1516
5,12102,16203
5,12200,22766
5,12201,22766
5,12300,122
5,12301,122
5,12400,750
5,12401,0
5,12402,0
5,12403,0
5,12404,519
5,12405,0
5,12406,231
5,13000,18
5,13100,18
5,13101,0
5,13102,0
5,13103,0
5,13104,18
5,13105,0
5,13106,0
5,13107,0
5,13108,0
5,13200,0
5,13201,0
5,14000,277
5,14100,277
5,14101,0
5,14102,277
5,14103,0
5,14104,0
5,14200,0
5,14201,0
5,14202,0
5,14203,0
5,14204,0
5,14300,0
5,14301,0
5,14302,0
5,14303,0
5,14304,0
5,14400,0
5,14401,0
5,14402,0
5,14403,0
5,14404,0
5,15000,56177
5,15100,56177
5,15101,910
5,15102,55267
5,15103,0
5,15200,0
5,15201,0
5,15202,0
5,15203,0
5,15204,0
5,16000,44023
5,16100,0
5,16101,0
5,16102,0
5,16103,0
5,16104,0
5,16105,0
5,16200,9178
5,16201,5190
5,16202,258
5,16203,3730
5,16300,34845
5,16301,31
5,16302,0
5,16303,0
5,16304,0
5,16305,34811
5,16306,3
5,17000,1078
5,17100,781
5,17101,777
5,17102,4
5,17103,0
5,17200,197
5,17201,197
5,17202,0
5,17203,0
5,17300,100
5,17301,100
5,17302,0
5,17303,0
5,17304,0
5,17305,0
5,17306,0
5,20000,204767
5,20001,37308
5,20002,167416
5,20003,43
5,21000,25428
5,21100,507
5,21101,21
5,21102,486
5,21103,0
5,21104,0
5,21200,1239
