"REGN,N,4,0","CODE,C,5","ITOGO,N,16,0"
2,10000,468345
2,11000,96052
2,11112,87766
2,11115,1337
2,11117,55
2,11118,116
2,11119,134
2,11212,6
2,11312,6414
2,11315,1
2,11411,18
2,11502,45
2,11503,18
2,11602,142
2,12000,766
2,12404,766
2,13000,31064
2,13101,8741
2,13201,22323
2,14000,0
2,16000,32
2,16101,30
2,16105,2
2,17000,340431
2,17101,303910
2,17201,5692
2,17202,2817
2,17203,18407
2,17204,11
2,17205,7921
2,17307,1404
2,17317,25
2,17318,244
2,20000,442088
2,21000,680
2,21102,680
2,22000,3716
2,22212,3239
2,22213,477
2,23000,12796
2,23101,12639
2,23103,157
2,24000,1628
2,24101,946
2,24203,41
2,24205,539
2,24206,102
2,25000,25508
2,25101,995
2,25201,24513
2,26000,34241
2,26101,27072
2,26103,6860
2,26105,255
2,26106,27
2,26109,27
2,28000,26
2,28107,26
2,29000,363493
2,29101,291008
2,29202,154
2,29203,6120
2,29205,4743
2,29301,20019
2,29302,421
2,29303,78
2,29304,564
2,29306,2534
2,29307,545
2,29315,86
2,29316,394
2,29317,169
2,29318,8170
2,29320,500
2,29321,18
2,29322,19
2,29323,97
2,29324,13
2,29325,58
2,29327,46
2,29328,88
2,29329,3225
2,29401,2
2,29406,19944
2,29416,2297
2,29417,2
2,29421,120
2,29423,2061
2,31003,1
2,31004,685
2,31005,25572
2,33001,26257
5,10000,866316
5,11000,120561
5,11101,0
5,11102,221
5,11103,0
5,11104,0
5,11105,0
5,11106,0
5,11107,0
5,11108,0
5,11109,0
5,11110,0
5,11111,948
5,11112,95593
5,11113,73
5,11114,3287
5,11115,12247
5,11116,0
5,11117,0
5,11118,1231
5,11119,0
5,11201,0
5,11202,0
5,11203,0
5,11204,0
5,11205,0
5,11206,0
5,11207,0
5,11208,0
5,11209,0
5,11210,0
5,11211,0
5,11212,1437
5,11213,0
5,11214,0
5,11215,0
5,11216,0
5,11217,0
5,11218,0
5,11219,0
5,11301,0
5,11302,0
5,11303,0
5,11304,0
5,11305,0
5,11306,0
5,11307,0
5,11308,0
5,11309,0
5,11310,0
5,11311,0
5,11312,1702
5,11313,0
5,11314,453
5,11315,0
5,11316,0
5,11317,0
5,11318,0
5,11319,0
5,11401,0
5,11402,0
5,11403,0
5,11404,0
5,11405,0
5,11406,0
5,11407,0
5,11408,0
5,11409,0
5,11410,0
5,11411,18
5,11412,0
5,11413,0
5,11414,0
5,11415,0
5,11416,0
5,11501,0
5,11502,51
5,11503,2767
5,11601,0
5,11602,0
5,11603,533
5,12000,113979
5,12101,17920
5,12102,7058
5,12103,4936
5,12104,476
5,12105,0
5,12106,0
5,12107,0
5,12201,0
5,12202,0
5,12203,0
5,12204,0
5,12205,0
5,12206,0
5,12207,0
5,12208,0
5,12301,0
5,12302,0
5,12303,20850
5,12304,0
5,12305,0
5,12306,0
5,12307,0
5,12308,0
5,12401,60
5,12402,0
5,12403,36392
5,12404,16056
5,12405,0
5,12406,0
5,12407,0
5,12501,0
5,12502,72
5,12503,0
5,12504,0
5,12601,10159
5,12605,0
5,12606,0
5,13000,154512
5,13101,67233
5,13201,87279
5,14000,0
5,14101,0
5,14102,0
5,14103,0
5,14104,0
5,14201,0
5,14202,0
5,14203,0
5,14204,0
5,14205,0
5,16000,504
5,16101,499
5,16104,0
5,16105,5
5,17000,476760
5,17101,407919
5,17103,0
5,17201,13401
5,17202,1974
5,17203,47675
5,17204,1040
5,17205,979
5,17301,2
5,17302,0
5,17303,0
5,17304,0
5,17305,0
5,17306,0
5,17307,1081
5,17308,0
5,17309,0
5,17310,1283
5,17311,0
5,17312,0
5,17313,0
5,17314,0
5,17315,0
5,17316,0
5,17317,883
5,17318,523
5,17323,0
5,20000,801578
5,21000,8286
5,21101,2
5,21102,8284
5,21103,0
5,21104,0
5,21201,0
5,21202,0
5,21203,0
5,21204,0
5,21301,0
5,21302,0
5,21303,0
5,21304,0
5,22000,11920
5,22101,0
5,22102,0
5,22103,0
5,22104,0
5,22105,0
5,22106,0
5,22107,0
5,22108,2880
5,22109,0
5,22110,0
5,22111,0
5,22112,0
5,22113,0
5,22114,0
5,22201,0
5,22202,0
5,22203,0
5,22204,0
5,22205,0
5,22206,0
5,22207,0
5,22208,0
5,22209,0
5,22210,0
5,22211,4634
5,22212,3065
5,22213,1035
5,22214,0
5,22215,306
5,22216,0
5,22301,0
5,22302,0
5,22303,0
5,22304,0
5,22305,0
5,22306,0
5,22307,0
5,22308,0
5,22309,0
5,22310,0
5,22311,0
5,22312,0
5,22313,0
5,22314,0
5,22315,0
5,22316,0
5,23000,19320
5,23101,19024
5,23103,296
5,24000,49301
5,24101,0
5,24102,0
5,24103,0
5,24104,1221
5,24105,16182
5,24107,0
5,24201,8622
5,24203,2
5,24205,23072
5,24206,202
5,24207,0
5,25000,105946
5,25101,18677
5,25201,87269
5,26000,108173
5,26101,89722
5,26102,0
5,26103,13773
5,26104,0
5,26105,254
5,26106,1554
5,26107,0
5,26108,900
5,26109,1970
5,26214,0
5,28000,44
5,28101,0
5,28102,0
5,28103,0
5,28104,0
5,28105,0
5,28106,0
5,28107,4
5,28108,0
5,28109,15
5,28110,0
5,28111,25
5,28112,17
5,29000,498588
5,29101,430043
5,29103,0
5,29201,348
5,29202,1531
5,29203,11083
5,29204,16
5,29205,456
5,29301,9454
5,29302,725
5,29303,0
5,29304,92
5,29306,3459
5,29307,6398
5,29312,0
5,29314,0
5,29315,1118
5,29316,145
5,29317,1724
5,29318,5220
5,29319,0
5,29320,3583
5,29321,907
5,29322,921
5,29323,0
5,29324,7
5,29325,0
5,29326,0
5,29327,806
5,29328,1
5,29329,784
5,29401,0
5,29402,0
5,29403,0
5,29404,0
5,29405,14
5,29406,2381
5,29407,0
5,29409,0
5,29410,0
5,29411,0
5,29412,0
5,29413,0
5,29414,0
5,29415,0
5,29416,8563
5,29417,0
5,29418,0
5,29419,0
5,29420,2080
5,29421,1068
5,29422,12
5,29423,5649
5,29425,0
5,31003,1
5,31004,12103
5,31005,52635
5,32003,0
5,32004,0
5,32005,0
5,33001,64738
5,33002,0
5,35001,0
98,10000,403907
98,11000,912
98,11101,0
98,11102,0
98,11103,0
98,11104,0
98,11105,0
98,11106,0
98,11107,0
98,11108,0
98,11109,0
98,11110,0
98,11111,0
98,11112,333
98,11113,0
98,11114,0
98,11115,565
98,11116,0
98,11117,0
98,11118,0
98,11119,0
98,11201,0
98,11202,0
98,11203,0
98,11204,0
98,11205,0
98,11206,0
98,11207,0
98,11208,0
98,11209,0
98,11210,0
98,11211,0
98,11212,0
98,11213,0
98,11214,0
98,11215,0
98,11216,0
98,11217,0
98,11218,0
98,11219,0
98,11301,0
98,11302,0
98,11303,0
98,11304,0
98,11305,0
98,11306,0
98,11307,0
98,11308,0
98,11309,0
98,11310,0
98,11311,0
98,11312,0
98,11313,0
98,11314,0
98,11315,1
98,11316,0
98,11317,0
98,11318,0
98,11319,0
98,11401,0
98,11402,0
98,11403,0
98,11404,0
98,11405,0
98,11406,0
98,11407,0
98,11408,0
98,11409,0
98,11410,0
98,11411,0
98,11412,0
98,11413,0
98,11414,0
98,11415,0
98,11416,0
98,11501,0
98,11502,13
98,11503,0
98,11601,0
98,11602,0
98,11603,0
98,12000,44038
98,12101,0
98,12102,1139
98,12103,45
98,12104,812
98,12105,0
98,12106,0
98,12107,0
98,12201,0
98,12202,0
98,12203,0
98,12204,0
98,12205,0
98,12206,0
98,12207,0
98,12208,0
98,12301,0
98,12302,0
98,12303,459
98,12304,47
98,12305,0
98,12306,0
98,12307,0
98,12308,0
98,12401,0
98,12402,474
98,12403,27304
98,12404,452
98,12405,0
98,12406,0
98,12407,0
98,12501,0
98,12502,224
98,12503,0
98,12504,0
98,12601,13082
98,12605,0
98,12606,0
98,13000,1114
98,13101,663
98,13201,451
98,14000,0
98,14101,0
98,14102,0
98,14103,0
98,14104,0
98,14201,0
98,14202,0
98,14203,0
98,14204,0
98,14205,0
98,16000,0
98,16101,0
98,16104,0
98,16105,0
98,17000,357843
98,17101,345032
98,17103,0
98,17201,56
98,17202,41
98,17203,7112
98,17204,0
98,17205,598
98,17301,0
98,17302,0
98,17303,0
98,17304,0
98,17305,0
98,17306,0
98,17307,18
98,17308,0
98,17309,0
98,17310,0
98,17311,0
98,17312,0
98,17313,4986
98,17314,0
98,17315,0
98,17316,0
98,17317,0
98,17318,0
98,17323,0
98,20000,375601
98,21000,5
98,21101,0
98,21102,5
98,21103,0
98,21104,0
98,21201,0
98,21202,0
98,21203,0
98,21204,0
98,21301,0
98,21302,0
98,21303,0
98,21304,0
98,22000,0
98,22101,0
98,22102,0
98,22103,0
98,22104,0
