"REGN,N,4,0","CODE,C,5","SIM_R,N,16,0","SIM_V,N,16,0","SIM_ITOGO,N,16,0","DT,D"
1732,11000,,,61360,07/01/24
3505,11000,,,33608,07/01/24
1307,11000,,,1666246,07/01/24
524,11000,,,544202,07/01/24
574,11000,,,100954,07/01/24
843,11000,,,2524078,07/01/24
3328,11000,,,4673076,07/01/24
212,11000,,,1771132,07/01/24
2755,11000,,,1694388,07/01/24
1481,11000,,,2741817059,07/01/24
783,11000,,,211037,07/01/24
1765,11000,,,74946,07/01/24
1067,11000,,,2704557,07/01/24
2289,11000,,,14251580,07/01/24
3330,11000,,,1865281,07/01/24
1581,11000,,,2940382,07/01/24
2065,11000,,,224635,07/01/24
236,11000,,,68166,07/01/24
3061,11000,,,1049135,07/01/24
3539,11000,,,446518,07/01/24
2407,11000,,,32935,07/01/24
21,11000,,,178194,07/01/24
2996,11000,,,108648,07/01/24
554,11000,,,4808146,07/01/24
1896,11000,,,417673,07/01/24
3013,11000,,,1286566,07/01/24
3202,11000,,,489197,07/01/24
3473,11000,,,1180408,07/01/24
1720,11000,,,643071,07/01/24
902,11000,,,1254680,07/01/24
3395,11000,,,1200281,07/01/24
1978,11000,,,284293132,07/01/24
2506,11000,,,1630869,07/01/24
2914,11000,,,3078152,07/01/24
3027,11000,,,3070224,07/01/24
1343,11000,,,7911709,07/01/24
3421,11000,,,2609264,07/01/24
3099,11000,,,1729613,07/01/24
990,11000,,,105237,07/01/24
85,11000,,,75404,07/01/24
2748,11000,,,32527357,07/01/24
354,11000,,,913465582,07/01/24
1326,11000,,,577983133,07/01/24
2664,11000,,,700557,07/01/24
2877,11000,,,195874,07/01/24
3077,11000,,,308882,07/01/24
3138,11000,,,1292367,07/01/24
760,11000,,,388560,07/01/24
1,11000,,,54695060,07/01/24
53,11000,,,1161394,07/01/24
438,11000,,,535280,07/01/24
1354,11000,,,28455801,07/01/24
3510,11000,,,1089485,07/01/24
3173,11000,,,22623,07/01/24
1399,11000,,,229233,07/01/24
965,11000,,,719234,07/01/24
3542,11000,,,5649556,07/01/24
3518,11000,,,11252,07/01/24
2307,11000,,,9262649,07/01/24
2932,11000,,,277563,07/01/24
2682,11000,,,352536,07/01/24
2374,11000,,,126203,07/01/24
3290,11000,,,1954390,07/01/24
3517,11000,,,0,07/01/24
2796,11000,,,52541,07/01/24
2402,11000,,,2640620,07/01/24
2252,11000,,,292145,07/01/24
3333,11000,,,3376703,07/01/24
708,11000,,,1201977,07/01/24
2210,11000,,,23053257,07/01/24
3508,11000,,,58604,07/01/24
3337,11000,,,2010900,07/01/24
3524,11000,,,611935,07/01/24
1052,11000,,,453836,07/01/24
1144,11000,,,270051,07/01/24
3525,11000,,,2659352,07/01/24
3279,11000,,,4442677,07/01/24
2867,11000,,,2116517,07/01/24
2997,11000,,,520603,07/01/24
356,11000,,,625439,07/01/24
2998,11000,,,14333962,07/01/24
3515,11000,,,4444369,07/01/24
330,11000,,,147793,07/01/24
1637,11000,,,5063118,07/01/24
254,11000,,,2488213,07/01/24
