"REGN,N,4,0","CODE,C,5","SIM_R,N,16,0","SIM_V,N,16,0","SIM_ITOGO,N,16,0"
1,01000,,,4545095
1,02000,,,0
1,10000,226282096,16562150,242844246
1,10001,17250323,4323417,21573740
1,10002,208970636,12223715,221194351
1,10003,61137,15018,76155
1,11000,10087441,4210388,14297829
1,11100,8198098,4049798,12247896
1,11101,0,0,0
1,11102,1950,0,1950
1,11103,0,0,0
1,11104,0,0,0
1,11105,0,0,0
1,11106,2628,782,3410
1,11107,0,0,0
1,11108,0,0,0
1,11109,1813,0,1813
1,11110,0,0,0
1,11111,12837,4047,16884
1,11112,6096339,2880252,8976591
1,11113,3742,0,3742
1,11114,16635,1080,17715
1,11115,1282557,959040,2241597
1,11116,19939,148645,168584
1,11117,1661,14119,15780
1,11118,741163,8049,749212
1,11119,16834,33784,50618
1,11200,4937,0,4937
1,11201,0,0,0
1,11202,0,0,0
1,11203,0,0,0
1,11204,0,0,0
1,11205,0,0,0
1,11206,0,0,0
1,11207,0,0,0
1,11208,0,0,0
1,11209,0,0,0
1,11210,0,0,0
1,11211,0,0,0
1,11212,2115,0,2115
1,11213,0,0,0
1,11214,0,0,0
1,11215,2822,0,2822
1,11216,0,0,0
1,11217,0,0,0
1,11300,3226,548,3774
1,11301,0,0,0
1,11302,3226,0,3226
1,11303,0,548,548
1,11400,1367311,122862,1490173
1,11401,48829,0,48829
1,11402,0,0,0
1,11403,1318482,122862,1441344
1,11500,513869,37180,551049
1,11501,0,2566,2566
1,11502,34339,0,34339
1,11503,0,0,0
1,11504,45904,0,45904
1,11505,193272,0,193272
1,11506,0,0,0
1,11507,214884,12958,227842
1,11508,25470,21656,47126
1,11600,0,0,0
1,11601,0,0,0
1,11602,0,0,0
1,11603,0,0,0
1,11604,0,0,0
1,11605,0,0,0
1,11606,0,0,0
1,11607,0,0,0
1,11608,0,0,0
1,12000,7162882,113029,7275911
1,12100,325197,92627,417824
1,12101,18188,7195,25383
1,12102,307009,85432,392441
1,12200,6761696,,6761696
1,12201,6761696,,6761696
1,12300,66346,20393,86739
1,12301,66346,20393,86739
1,12400,9643,9,9652
1,12401,798,,798
1,12402,0,9,9
1,12403,0,,0
1,12404,7997,0,7997
1,12405,0,0,0
1,12406,848,0,848
1,13000,288669,0,288669
1,13100,288669,,288669
1,13101,3765,,3765
1,13102,0,,0
1,13103,629,,629
1,13104,851,,851
1,13105,90910,,90910
1,13106,0,,0
1,13107,128354,,128354
1,13108,64160,,64160
1,13200,0,0,0
1,13201,0,0,0
1,14000,1,1,2
1,14100,1,1,2
1,14101,0,0,0
1,14102,0,0,0
1,14103,0,0,0
1,14104,1,1,2
1,14200,0,0,0
1,14201,0,0,0
1,14202,0,0,0
1,14203,0,0,0
1,14204,0,0,0
1,14300,0,0,0
1,14301,0,0,0
1,14302,0,0,0
1,14303,0,0,0
1,14304,0,0,0
1,14400,0,0,0
1,14401,0,0,0
1,14402,0,0,0
1,14403,0,0,0
1,14404,0,0,0
1,15000,186774468,,186774468
1,15100,186773941,,186773941
1,15101,1489199,,1489199
1,15102,185284742,,185284742
1,15103,0,,0
1,15200,527,,527
1,15201,0,,0
1,15202,527,,527
1,15203,0,,0
1,15204,0,,0
1,16000,21907498,12223714,34131212
1,16100,14961706,12031212,26992918
1,16101,9191255,1789232,10980487
1,16102,0,0,0
1,16103,5770451,10241980,16012431
1,16104,0,0,0
1,16105,0,0,0
1,16200,304499,192502,497001
1,16201,6,23,29
1,16202,8254,6804,15058
1,16203,296239,185675,481914
1,16300,6641293,0,6641293
1,16301,0,0,0
1,16302,468,,468
1,16303,0,,0
1,16304,0,0,0
1,16305,6640825,,6640825
1,16306,0,0,0
1,17000,61137,15018,76155
1,17100,33327,13611,46938
1,17101,24784,13603,38387
1,17102,8543,8,8551
1,17103,0,0,0
1,17200,25424,1380,26804
1,17201,17022,987,18009
1,17202,2026,393,2419
1,17203,6376,0,6376
1,17300,2386,27,2413
1,17301,0,0,0
1,17302,2061,0,2061
1,17303,0,0,0
1,17304,15,3,18
1,17305,0,0,0
1,17306,310,24,334
1,20000,226849338,12305433,239154771
1,20001,18348508,2968499,21317007
1,20002,207456786,9172892,216629678
1,20003,188424,164042,352466
1,20100,225993718,12305433,238299151
1,21000,7313233,2968499,10281732
1,21100,4146160,732127,4878287
1,21101,2275161,0,2275161
1,21102,233255,264,233519
1,21103,1637744,726889,2364633
1,21104,0,4974,4974
1,21200,7794,2898,10692
1,21201,0,0,0
1,21202,3,0,3
1,21203,0,5,5
1,21204,0,0,0
1,21205,1,0,1
1,21206,0,0,0
1,21207,16,1,17
1,21208,7418,2618,10036
1,21209,41,15,56
1,21210,0,0,0
1,21211,2,1,3
1,21212,8,3,11
1,21213,0,0,0
1,21214,305,255,560
1,21300,3026849,1952602,4979451
1,21301,0,0,0
1,21302,0,0,0
1,21303,0,0,0
1,21304,0,0,0
1,21305,0,0,0
1,21306,66,2167,2233
1,21307,0,0,0
1,21308,0,0,0
1,21309,0,0,0
1,21310,0,0,0
1,21311,21012,2614,23626
1,21312,774441,1882499,2656940
1,21313,953,477,1430
1,21314,1913,641,2554
1,21315,0,0,0
1,21316,2228464,64204,2292668
1,21317,0,0,0
1,21400,31627,130134,161761
1,21401,0,0,0
1,21402,0,0,0
1,21403,0,0,0
1,21404,0,0,0
1,21405,0,0,0
1,21406,0,0,0
1,21407,0,0,0
1,21408,0,0,0
1,21409,0,0,0
1,21410,0,0,0
1,21411,0,0,0
1,21412,2849,108130,110979
1,21413,0,0,0
1,21414,0,21965,21965
1,21415,7,28,35
1,21416,0,11,11
1,21417,28771,0,28771
1,21500,2294,230,2524
1,21501,2149,199,2348
1,21502,145,31,176
1,21600,95075,150508,245583
1,21601,93218,144789,238007
1,21602,1857,5719,7576
1,21700,0,0,0
1,21701,0,0,0
1,21702,0,0,0
1,21800,3434,0,3434
1,21801,443,0,443
1,21802,0,0,0
1,21803,0,0,0
1,21804,2991,0,2991
1,22000,11035275,0,11035275
1,22100,11034735,,11034735
1,22101,11034735,,11034735
1,22200,540,0,540
1,22201,540,,540
1,22202,0,0,0
1,22203,0,,0
1,23000,985953,0,985953
1,23100,985919,0,985919
1,23101,20182,,20182
1,23102,302144,,302144
1,23103,85,,85
1,23104,13000,,13000
1,23105,591549,,591549
1,23106,0,,0
1,23107,1333,,1333
1,23108,57626,,57626
1,23109,0,0,0
1,23200,34,0,34
1,23201,34,0,34
1,24000,178463807,,178463807
1,24100,178462190,,178462190
1,24101,406530,,406530
1,24102,178055660,,178055660
1,24103,0,,0
1,24200,1617,,1617
1,24201,0,,0
1,24202,1617,,1617
1,24203,0,,0
