"REGN,N,4,0","CODE,C,5","ITOGO,N,16,0"
2,01000,25286
2,02000,0
2,10000,457157
2,10001,156245
2,10002,300886
2,10003,26
2,11000,102843
2,11100,102669
2,11101,0
2,11102,0
2,11103,0
2,11104,0
2,11105,0
2,11106,0
2,11107,0
2,11108,0
2,11109,0
2,11110,0
2,11111,0
2,11112,102299
2,11113,0
2,11114,0
2,11115,336
2,11116,0
2,11117,0
2,11118,34
2,11119,0
2,11200,0
2,11201,0
2,11202,0
2,11203,0
2,11204,0
2,11205,0
2,11206,0
2,11207,0
2,11208,0
2,11209,0
2,11210,0
2,11211,0
2,11212,0
2,11213,0
2,11214,0
2,11215,0
2,11216,0
2,11217,0
2,11300,49
2,11301,0
2,11302,49
2,11303,0
2,11400,125
2,11401,0
2,11402,125
2,11403,0
2,11500,0
2,11501,0
2,11502,0
2,11503,0
2,11504,0
2,11505,0
2,11506,0
2,11507,0
2,11508,0
2,11600,0
2,11601,0
2,11602,0
2,11603,0
2,11604,0
2,11605,0
2,11606,0
2,11607,0
2,11608,0
2,12000,53402
2,12100,26677
2,12101,4091
2,12102,22586
2,12200,25922
2,12201,25922
2,12300,590
2,12301,590
2,12400,213
2,12401,0
2,12402,0
2,12403,0
2,12404,162
2,12405,0
2,12406,51
2,13000,0
2,13100,0
2,13101,0
2,13102,0
2,13103,0
2,13104,0
2,13105,0
2,13106,0
2,13107,0
2,13108,0
2,13200,0
2,13201,0
2,14000,21098
2,14100,21098
2,14101,0
2,14102,21098
2,14103,0
2,14104,0
2,14200,0
2,14201,0
2,14202,0
2,14203,0
2,14204,0
2,14300,0
2,14301,0
2,14302,0
2,14303,0
2,14304,0
2,14400,0
2,14401,0
2,14402,0
2,14403,0
2,14404,0
2,15000,141336
2,15100,141336
2,15101,0
2,15102,141336
2,15103,0
2,15200,0
2,15201,0
2,15202,0
2,15203,0
2,15204,0
2,16000,138452
2,16100,0
2,16101,0
2,16102,0
2,16103,0
2,16104,0
2,16105,0
2,16200,1144
2,16201,0
2,16202,0
2,16203,1144
2,16300,137308
2,16301,848
2,16302,0
2,16303,0
2,16304,0
2,16305,136452
2,16306,8
2,17000,26
2,17100,19
2,17101,0
2,17102,1
2,17103,18
2,17200,2
2,17201,2
2,17202,0
2,17203,0
2,17300,5
2,17301,0
2,17302,0
2,17303,0
2,17304,2
2,17305,2
2,17306,1
2,20000,433009
2,20001,23745
2,20002,407396
2,20003,730
2,20100,431871
2,21000,6162
2,21100,105
2,21101,0
2,21102,105
2,21103,0
2,21104,0
2,21200,0
2,21201,0
2,21202,0
2,21203,0
2,21204,0
2,21205,0
2,21206,0
2,21207,0
2,21208,0
2,21209,0
2,21210,0
2,21211,0
2,21212,0
2,21213,0
2,21214,0
2,21300,298
2,21301,0
2,21302,0
2,21303,0
2,21304,0
2,21305,0
2,21306,0
2,21307,0
2,21308,0
2,21309,0
2,21310,0
2,21311,0
2,21312,290
2,21313,8
2,21314,0
2,21315,0
2,21316,0
2,21317,0
2,21400,0
2,21401,0
2,21402,0
2,21403,0
2,21404,0
2,21405,0
2,21406,0
2,21407,0
2,21408,0
2,21409,0
2,21410,0
2,21411,0
2,21412,0
2,21413,0
2,21414,0
2,21415,0
2,21416,0
2,21417,0
2,21500,0
2,21501,0
2,21502,0
2,21600,5076
2,21601,5076
2,21602,0
2,21700,0
2,21701,0
2,21702,0
2,21800,683
2,21801,83
2,21802,0
2,21803,0
2,21804,600
2,22000,17583
2,22100,17583
2,22101,17583
2,22200,0
2,22201,0
2,22202,0
2,22203,0
2,23000,1876
2,23100,1876
2,23101,0
2,23102,0
2,23103,0
2,23104,0
2,23105,0
2,23106,0
2,23107,0
2,23108,0
2,23109,1876
2,23200,0
2,23201,0
2,24000,143023
2,24100,143023
2,24101,0
2,24102,143023
2,24103,0
2,24200,0
2,24201,0
2,24202,0
2,24203,0
2,24204,0
2,25000,162698
2,25100,0
2,25101,0
2,25102,0
2,25103,0
2,25104,0
2,25105,0
2,25200,9602
2,25201,27
2,25202,2737
2,25203,6721
2,25204,0
2,25205,0
2,25206,117
2,25300,153096
2,25301,0
2,25302,153092
2,25303,4
2,26000,99799
2,26100,40475
2,26101,32739
2,26102,7680
2,26103,0
2,26104,56
2,26200,438
2,26201,437
2,26202,0
2,26203,1
2,26300,18754
2,26301,63
2,26302,1212
2,26303,12626
2,26304,4045
2,26305,695
2,26306,0
2,26307,113
2,26400,40132
2,26401,27
2,26402,132
2,26403,9813
2,26404,117
2,26405,119
2,26406,1561
2,26407,0
2,26408,270
2,26409,0
2,26410,694
2,26411,3593
2,26412,23806
2,27000,730
2,27100,1
2,27101,0
2,27102,1
2,27103,0
2,27200,0
2,27201,0
2,27202,0
2,27203,0
2,27300,729
2,27301,0
2,27302,0
2,27303,0
2,27304,0
2,27305,674
2,27306,55
2,27307,0
2,27308,0
2,28000,1138
2,28101,1138
2,31001,24148
2,31002,0
2,32001,0
2,32002,0
2,32101,0
2,33001,24148
2,33002,0
101,01000,137864
101,02000,0
101,10000,1912455
101,10001,909450
101,10002,1001235
101,10003,1770
101,11000,214126
101,11100,38427
101,11101,0
101,11102,0
101,11103,0
101,11104,0
101,11105,0
101,11106,0
101,11107,0
101,11108,0
101,11109,1159
101,11110,0
101,11111,0
101,11112,31697
101,11113,0
101,11114,39
101,11115,1780
101,11116,0
101,11117,0
101,11118,3752
101,11119,0
101,11200,356
101,11201,0
101,11202,0
101,11203,0
101,11204,0
101,11205,0
101,11206,0
101,11207,0
101,11208,0
101,11209,0
101,11210,0
101,11211,356
101,11212,0
101,11213,0
101,11214,0
101,11215,0
101,11216,0
101,11217,0
101,11300,301
