"REGN,N,4,0","PLAN,C,1","NUM_SC,C,5","ITOGO,N,33,4","A_P,C,1","DT,D"
1326,А,20309,756836.0000,2,01/01/17
1326,А,30220,738088.0000,2,01/01/17
1326,А,30221,306620.0000,1,01/01/17
1326,А,30236,1181439.0000,2,01/01/17
1326,А,30413,3943326.0000,1,01/01/17
1326,А,30424,3496881.0000,1,01/01/17
1326,А,31305,12131380.0000,2,01/01/17
1326,А,31402,0.0000,2,01/01/17
1326,А,31406,127622.0000,2,01/01/17
1326,А,31505,10685660.0000,2,01/01/17
1326,А,32006,0.0000,1,01/01/17
1326,А,32104,108316.0000,1,01/01/17
1326,А,32105,938111.0000,1,01/01/17
1326,А,32106,6703801.0000,1,01/01/17
1326,А,32204,93329641.0000,1,01/01/17
1326,А,32308,1340284.0000,1,01/01/17
1326,А,408.2,390571819.0000,2,01/01/17
1326,А,40903,22252.0000,2,01/01/17
1326,А,41402,109182.0000,2,01/01/17
1326,А,42002,1627722.0000,2,01/01/17
1326,А,42007,7371648.0000,2,01/01/17
1326,А,42102,53258007.0000,2,01/01/17
1326,А,42104,8582158.0000,2,01/01/17
1326,А,42106,4070173.0000,2,01/01/17
1326,А,42108,34448.0000,2,01/01/17
1326,А,42304,12339885.0000,2,01/01/17
1326,А,42305,195700142.0000,2,01/01/17
1326,А,42315,10296.0000,2,01/01/17
1326,А,43701,218336.0000,2,01/01/17
1326,А,43703,0.0000,2,01/01/17
1326,А,45105,538865.0000,1,01/01/17
1326,А,45106,3588584.0000,1,01/01/17
1326,А,45201,3081490.0000,1,01/01/17
1326,А,45502,12467.0000,1,01/01/17
1326,А,45504,306607.0000,1,01/01/17
1326,А,45509,11689701.0000,1,01/01/17
1326,А,45615,25305254.0000,2,01/01/17
1326,А,45707,9797.0000,1,01/01/17
1326,А,45715,3463.0000,2,01/01/17
1326,А,45906,0.0000,1,01/01/17
1326,А,47801,944.0000,1,01/01/17
1326,А,50308,23545320.0000,1,01/01/17
1326,А,50905,0.0000,1,01/01/17
