"REGN,N,4,0","CODE,C,5","SIM_R,N,16,0","SIM_V,N,16,0","SIM_ITOGO,N,16,0","DT,D"
2799,11000,,,2127073,01/01/26
21,11000,,,391225,01/01/26
2755,11000,,,4973844,01/01/26
3546,11000,,,354202,01/01/26
538,11000,,,560652,01/01/26
1343,11000,,,22669287,01/01/26
3116,11000,,,74129,01/01/26
3512,11000,,,454492,01/01/26
3333,11000,,,4858792,01/01/26
3328,11000,,,9056171,01/01/26
2914,11000,,,6580749,01/01/26
236,11000,,,187668,01/01/26
2103,11000,,,374341,01/01/26
609,11000,,,1669878,01/01/26
2876,11000,,,1021039,01/01/26
2900,11000,,,1482609,01/01/26
2846,11000,,,555555,01/01/26
537,11000,,,360382,01/01/26
3553,11000,,,6486,01/01/26
3247,11000,,,838766,01/01/26
3403,11000,,,3209197,01/01/26
503,11000,,,34529,01/01/26
2584,11000,,,8291265,01/01/26
3296,11000,,,656301,01/01/26
77,11000,,,3244109,01/01/26
2499,11000,,,261951,01/01/26
3539,11000,,,1425213,01/01/26
1352,11000,,,1418561,01/01/26
2789,11000,,,7907302,01/01/26
3077,11000,,,830638,01/01/26
3257,11000,,,417259,01/01/26
3341,11000,,,486714,01/01/26
3396,11000,,,5848562,01/01/26
328,11000,,,204560737,01/01/26
702,11000,,,1640458,01/01/26
2879,11000,,,12930309,01/01/26
1114,11000,,,189915,01/01/26
3185,11000,,,4413224,01/01/26
1978,11000,,,703462886,01/01/26
1781,11000,,,241399,01/01/26
3027,11000,,,43641206,01/01/26
2402,11000,,,7331130,01/01/26
3318,11000,,,14917,01/01/26
3524,11000,,,1609593,01/01/26
3532,11000,,,17425,01/01/26
2275,11000,,,133752599,01/01/26
3550,11000,,,90745,01/01/26
1966,11000,,,7565358,01/01/26
3540,11000,,,1422905,01/01/26
3294,11000,,,18855369,01/01/26
933,11000,,,158016,01/01/26
1151,11000,,,281311,01/01/26
2390,11000,,,2083239,01/01/26
902,11000,,,3241126,01/01/26
3255,11000,,,44513521,01/01/26
3470,11000,,,7643932,01/01/26
3184,11000,,,66788,01/01/26
1049,11000,,,1631144,01/01/26
2796,11000,,,123989,01/01/26
2119,11000,,,3012459,01/01/26
492,11000,,,529200,01/01/26
779,11000,,,295232,01/01/26
3436,11000,,,652923,01/01/26
3522,11000,,,8042814,01/01/26
3556,11000,,,4041,01/01/26
3527,11000,,,1407985,01/01/26
2440,11000,,,33473562,01/01/26
