"REGN,N,4,0","CODE,C,5","SIM_R,N,16,0","SIM_V,N,16,0","SIM_ITOGO,N,16,0"
1,10000,320866833,30517476,351384309
1,10001,46566612,13978077,60544689
1,10002,274071548,16504647,290576195
1,10003,228673,34752,263425
1,11000,24106288,13527577,37633865
1,11100,19844478,12373117,32217595
1,11101,0,0,0
1,11102,13751,0,13751
1,11103,0,0,0
1,11104,0,0,0
1,11105,0,0,0
1,11106,11969,4784,16753
1,11107,0,0,0
1,11108,0,0,0
1,11109,12046,0,12046
1,11110,0,0,0
1,11111,43212,8945,52157
1,11112,15027276,8154159,23181435
1,11113,16671,0,16671
1,11114,67431,5002,72433
1,11115,3947814,3235935,7183749
1,11116,36747,622294,659041
1,11117,3332,33665,36997
1,11118,571530,89253,660783
1,11119,92699,219080,311779
1,11200,1488632,9088,1497720
1,11201,0,0,0
1,11202,0,0,0
1,11203,0,0,0
1,11204,0,0,0
1,11205,0,0,0
1,11206,0,0,0
1,11207,0,0,0
1,11208,0,0,0
1,11209,0,0,0
1,11210,0,0,0
1,11211,30337,0,30337
1,11212,847766,0,847766
1,11213,0,0,0
1,11214,35,7807,7842
1,11215,610448,8,610456
1,11216,46,1273,1319
1,11217,0,0,0
1,11300,7335,88417,95752
1,11301,0,0,0
1,11302,7335,0,7335
1,11303,0,88417,88417
1,11400,835622,891648,1727270
1,11401,62500,0,62500
1,11402,1219,0,1219
1,11403,771903,891648,1663551
1,11500,1930221,165307,2095528
1,11501,17728,6989,24717
1,11502,113626,0,113626
1,11503,0,0,0
1,11504,263138,0,263138
1,11505,1214222,0,1214222
1,11506,0,0,0
1,11507,313450,38107,351557
1,11508,8057,120211,128268
1,11600,0,0,0
1,11601,0,0,0
1,11602,0,0,0
1,11603,0,0,0
1,11604,0,0,0
1,11605,0,0,0
1,11606,0,0,0
1,11607,0,0,0
1,11608,0,0,0
1,12000,22460324,450500,22910824
1,12100,1498416,371591,1870007
1,12101,86420,26127,112547
1,12102,1411996,345464,1757460
1,12200,20621297,,20621297
1,12201,20621297,,20621297
1,12300,314573,73766,388339
1,12301,314573,73766,388339
1,12400,26038,5143,31181
1,12401,3363,,3363
1,12402,0,26,26
1,12403,0,,0
1,12404,22138,0,22138
1,12405,0,0,0
1,12406,537,5117,5654
1,13000,228088,0,228088
1,13100,228088,,228088
1,13101,18112,,18112
1,13102,9920,,9920
1,13103,1852,,1852
1,13104,8670,,8670
1,13105,47891,,47891
1,13106,0,,0
1,13107,32918,,32918
1,13108,108725,,108725
1,13200,0,0,0
1,13201,0,0,0
1,14000,34188,307,34495
1,14100,34188,307,34495
1,14101,0,0,0
1,14102,34187,0,34187
1,14103,0,0,0
1,14104,1,307,308
1,14200,0,0,0
1,14201,0,0,0
1,14202,0,0,0
1,14203,0,0,0
1,14204,0,0,0
1,14300,0,0,0
1,14301,0,0,0
1,14302,0,0,0
1,14303,0,0,0
1,14304,0,0,0
1,14400,0,0,0
1,14401,0,0,0
1,14402,0,0,0
1,14403,0,0,0
1,14404,0,0,0
1,15000,226284346,,226284346
1,15100,226284324,,226284324
1,15101,265802,,265802
1,15102,226018522,,226018522
1,15103,0,,0
1,15200,22,,22
1,15201,0,,0
1,15202,22,,22
1,15203,0,,0
1,15204,0,,0
1,16000,47524926,16504340,64029266
1,16100,24295070,15737788,40032858
1,16101,6568205,1916059,8484264
1,16102,0,2458,2458
1,16103,17726865,13819271,31546136
1,16104,0,0,0
1,16105,0,0,0
1,16200,2218068,761296,2979364
1,16201,138,285,423
1,16202,153773,18165,171938
1,16203,2064157,742846,2807003
1,16300,21011788,5256,21017044
1,16301,0,0,0
1,16302,9083,,9083
1,16303,0,,0
1,16304,0,0,0
1,16305,18493862,,18493862
1,16306,2508843,5256,2514099
1,17000,228673,34752,263425
1,17100,68673,19548,88221
1,17101,50111,19447,69558
1,17102,18562,101,18663
1,17103,0,0,0
1,17200,150431,13951,164382
1,17201,2580,1039,3619
1,17202,15757,12612,28369
1,17203,132094,300,132394
1,17300,9569,1253,10822
1,17301,0,0,0
1,17302,2058,0,2058
1,17303,0,0,0
1,17304,880,96,976
1,17305,0,479,479
1,17306,6631,678,7309
1,20000,309997374,29455618,339452992
1,20001,35337573,8211676,43549249
1,20002,274360521,21224688,295585209
1,20003,299280,19254,318534
1,21000,12856251,8211676,21067927
