"REGN,N,4,0","PLAN,C,1","NUM_SC,C,5","ITOGO,N,21,4","A_P,C,1","DT,D"
2,А,10207,71000.0000,2,10/01/07
2,А,10601,918.0000,2,10/01/07
2,А,10602,269000.0000,2,10/01/07
2,А,10701,12003.0000,2,10/01/07
2,А,10702,4852.0000,2,10/01/07
2,А,10703,47789.0000,2,10/01/07
2,А,10704,874.0000,2,10/01/07
2,А,20202,31100.0000,1,10/01/07
2,А,20203,214.0000,1,10/01/07
2,А,20206,0.0000,1,10/01/07
2,А,20209,11310.0000,1,10/01/07
2,А,20210,2.0000,1,10/01/07
2,А,30102,27481.0000,1,10/01/07
2,А,30110,12664.0000,1,10/01/07
2,А,30114,26551.0000,1,10/01/07
2,А,30202,15988.0000,1,10/01/07
2,А,30204,2565.0000,1,10/01/07
2,А,30220,0.0000,2,10/01/07
2,А,30223,22823.0000,2,10/01/07
2,А,30232,652.0000,2,10/01/07
2,А,30233,399.0000,1,10/01/07
2,А,30301,13215.0000,2,10/01/07
2,А,30302,13215.0000,1,10/01/07
2,А,30305,16000.0000,2,10/01/07
2,А,30306,16000.0000,1,10/01/07
2,А,30402,35.0000,1,10/01/07
2,А,30602,3199.0000,1,10/01/07
2,А,32002,0.0000,1,10/01/07
2,А,32003,0.0000,1,10/01/07
2,А,32201,8465.0000,1,10/01/07
2,А,40501,79.0000,2,10/01/07
2,А,40601,2.0000,2,10/01/07
2,А,40602,1.0000,2,10/01/07
2,А,40701,2.0000,2,10/01/07
2,А,40702,202707.0000,2,10/01/07
2,А,40703,3661.0000,2,10/01/07
2,А,40802,5062.0000,2,10/01/07
2,А,40804,1.0000,2,10/01/07
2,А,40807,866.0000,2,10/01/07
2,А,40814,27.0000,2,10/01/07
2,А,40817,24823.0000,2,10/01/07
2,А,40820,305.0000,2,10/01/07
2,А,40901,127177.0000,2,10/01/07
2,А,40905,430.0000,2,10/01/07
2,А,40909,144.0000,2,10/01/07
2,А,40910,0.0000,2,10/01/07
2,А,40911,96.0000,2,10/01/07
2,А,40912,35.0000,2,10/01/07
2,А,40913,42.0000,2,10/01/07
2,А,42105,47700.0000,2,10/01/07
2,А,42106,1208.0000,2,10/01/07
2,А,42206,3000.0000,2,10/01/07
2,А,42207,3500.0000,2,10/01/07
2,А,42301,3542.0000,2,10/01/07
2,А,42302,0.0000,2,10/01/07
2,А,42303,5091.0000,2,10/01/07
2,А,42304,18716.0000,2,10/01/07
2,А,42305,51812.0000,2,10/01/07
2,А,42306,22512.0000,2,10/01/07
2,А,42601,98.0000,2,10/01/07
2,А,42604,0.0000,2,10/01/07
2,А,42605,0.0000,2,10/01/07
2,А,45204,0.0000,1,10/01/07
2,А,45205,9750.0000,1,10/01/07
2,А,45206,273151.0000,1,10/01/07
2,А,45207,548129.0000,1,10/01/07
2,А,45208,196000.0000,1,10/01/07
2,А,45209,83564.0000,1,10/01/07
2,А,45215,282974.0000,2,10/01/07
2,А,45504,32.0000,1,10/01/07
2,А,45505,1200.0000,1,10/01/07
2,А,45506,2050.0000,1,10/01/07
2,А,45507,7550.0000,1,10/01/07
2,А,45515,1768.0000,2,10/01/07
2,А,45706,0.0000,1,10/01/07
2,А,45715,0.0000,2,10/01/07
2,А,45812,80775.0000,1,10/01/07
2,А,45815,1953.0000,1,10/01/07
2,А,45818,82722.0000,2,10/01/07
2,А,47404,508.0000,1,10/01/07
2,А,47405,0.0000,2,10/01/07
2,А,47407,0.0000,2,10/01/07
2,А,47408,0.0000,1,10/01/07
2,А,47411,1066.0000,2,10/01/07
2,А,47416,195.0000,2,10/01/07
2,А,47422,1230.0000,2,10/01/07
2,А,47423,2182.0000,1,10/01/07
2,А,47425,6762.0000,2,10/01/07
2,А,47426,1219.0000,2,10/01/07
2,А,47427,0.0000,1,10/01/07
2,А,47501,0.0000,2,10/01/07
2,А,47502,2285.0000,1,10/01/07
2,А,50606,0.0000,1,10/01/07
2,А,50706,1876.0000,1,10/01/07
2,А,50709,19.0000,2,10/01/07
2,А,50905,0.0000,1,10/01/07
2,А,52006,12000.0000,2,10/01/07
2,А,52407,99.0000,2,10/01/07
2,А,52501,0.0000,2,10/01/07
2,А,52502,99.0000,1,10/01/07
2,А,60301,121.0000,2,10/01/07
2,А,60302,102.0000,1,10/01/07
2,А,60303,180.0000,2,10/01/07
2,А,60304,37.0000,1,10/01/07
2,А,60305,163.0000,2,10/01/07
2,А,60306,0.0000,1,10/01/07
2,А,60307,0.0000,2,10/01/07
2,А,60308,288.0000,1,10/01/07
2,А,60309,0.0000,2,10/01/07
2,А,60310,0.0000,1,10/01/07
2,А,60311,182.0000,2,10/01/07
2,А,60312,3367.0000,1,10/01/07
2,А,60314,0.0000,1,10/01/07
2,А,60322,0.0000,2,10/01/07
2,А,60323,19.0000,1,10/01/07
2,А,60324,158.0000,2,10/01/07
2,А,60401,7332.0000,1,10/01/07
2,А,60601,3419.0000,2,10/01/07
2,А,60701,0.0000,1,10/01/07
2,А,60901,1.0000,1,10/01/07
2,А,61002,68.0000,1,10/01/07
2,А,61008,122.0000,1,10/01/07
2,А,61009,95.0000,1,10/01/07
2,А,61201,0.0000,2,10/01/07
2,А,61204,0.0000,1,10/01/07
2,А,61304,65.0000,2,10/01/07
2,А,61306,0.0000,2,10/01/07
2,А,61403,4091.0000,1,10/01/07
2,А,61406,0.0000,1,10/01/07
2,А,70101,0.0000,2,10/01/07
2,А,70102,0.0000,2,10/01/07
2,А,70103,0.0000,2,10/01/07
2,А,70106,0.0000,2,10/01/07
2,А,70107,0.0000,2,10/01/07
2,А,70201,0.0000,1,10/01/07
2,А,70202,0.0000,1,10/01/07
2,А,70203,0.0000,1,10/01/07
2,А,70204,0.0000,1,10/01/07
2,А,70205,0.0000,1,10/01/07
2,А,70206,0.0000,1,10/01/07
2,А,70209,0.0000,1,10/01/07
2,А,70301,26257.0000,2,10/01/07
2,А,70501,6550.0000,1,10/01/07
2,В,90701,2.0000,1,10/01/07
2,В,90803,3046.0000,1,10/01/07
2,В,90901,157.0000,1,10/01/07
2,В,90902,85318.0000,1,10/01/07
2,В,90907,127177.0000,1,10/01/07
2,В,91202,77.0000,1,10/01/07
2,В,91203,5.0000,1,10/01/07
2,В,91207,3.0000,1,10/01/07
2,В,91302,2894.0000,2,10/01/07
2,В,91303,7755.0000,1,10/01/07
2,В,91305,225563.0000,1,10/01/07
2,В,91307,427922.0000,1,10/01/07
2,В,91309,58596.0000,2,10/01/07
2,В,91404,2200.0000,2,10/01/07
2,В,91501,155.0000,1,10/01/07
2,В,91503,11567.0000,1,10/01/07
2,В,91604,69149.0000,1,10/01/07
2,В,91704,22496.0000,1,10/01/07
2,В,91802,64942.0000,1,10/01/07
2,В,91803,1.0000,1,10/01/07
2,Г,93001,7479.0000,1,10/01/07
2,Г,93801,6.0000,1,10/01/07
2,Г,96001,7485.0000,2,10/01/07
2,Г,96801,0.0000,2,10/01/07
2,Д,98010,2251449.0000,1,10/01/07
2,Д,98040,26180.0000,2,10/01/07
2,Д,98050,463690.0000,2,10/01/07
2,Д,98070,1761579.0000,2,10/01/07
2,В,99998,63690.0000,1,10/01/07
2,В,99999,1045335.0000,2,10/01/07
5,А,10207,72000.0000,2,10/01/07
5,А,10601,278.0000,2,10/01/07
5,А,10602,198239.0000,2,10/01/07
5,А,10701,59472.0000,2,10/01/07
5,А,10702,6734.0000,2,10/01/07
5,А,10703,9490.0000,2,10/01/07
5,А,20202,69711.0000,1,10/01/07
5,А,20209,0.0000,1,10/01/07
5,А,30102,410816.0000,1,10/01/07
5,А,30109,3842.0000,2,10/01/07
5,А,30110,6016.0000,1,10/01/07
5,А,30114,41066.0000,1,10/01/07
5,А,30202,52389.0000,1,10/01/07
5,А,30204,9137.0000,1,10/01/07
5,А,30220,0.0000,2,10/01/07
5,А,30221,1423.0000,1,10/01/07
5,А,30223,0.0000,2,10/01/07
5,А,30232,1240.0000,2,10/01/07
5,А,30233,192.0000,1,10/01/07
5,А,30301,74183.0000,2,10/01/07
5,А,30302,74183.0000,1,10/01/07
5,А,30402,11022.0000,1,10/01/07
5,А,30404,0.0000,1,10/01/07
5,А,30406,67.0000,1,10/01/07
5,А,30408,0.0000,2,10/01/07
5,А,30409,0.0000,1,10/01/07
5,А,30601,7667.0000,2,10/01/07
5,А,30602,0.0000,1,10/01/07
5,А,31302,0.0000,2,10/01/07
5,А,31303,10000.0000,2,10/01/07
5,А,31304,0.0000,2,10/01/07
5,А,31508,7900.0000,2,10/01/07
5,А,32002,0.0000,1,10/01/07
5,А,32003,0.0000,1,10/01/07
5,А,32015,0.0000,2,10/01/07
5,А,32207,200.0000,1,10/01/07
5,А,32301,20469.0000,1,10/01/07
5,А,32802,193.0000,1,10/01/07
5,А,40502,2363.0000,2,10/01/07
5,А,40503,957.0000,2,10/01/07
5,А,40602,81344.0000,2,10/01/07
5,А,40701,2563.0000,2,10/01/07
