"REGN,N,4,0","CODE,C,5","SIM_R,N,16,0","SIM_V,N,16,0","SIM_ITOGO,N,16,0","DT,D"
3333,11000,,,3690616,10/01/25
1049,11000,,,1234568,10/01/25
1370,11000,,,346795,10/01/25
2673,11000,,,656129669,10/01/25
3403,11000,,,2457523,10/01/25
3468,11000,,,589821,10/01/25
1481,11000,,,5976652827,10/01/25
2268,11000,,,87787002,10/01/25
328,11000,,,154933906,10/01/25
330,11000,,,331343,10/01/25
2964,11000,,,464447,10/01/25
1720,11000,,,1145860,10/01/25
2790,11000,,,34190293,10/01/25
481,11000,,,2900060,10/01/25
3421,11000,,,5524059,10/01/25
1810,11000,,,36749372,10/01/25
3545,11000,,,46319958,10/01/25
3543,11000,,,1059268,10/01/25
842,11000,,,986841,10/01/25
2726,11000,,,15764,10/01/25
3324,11000,,,266052,10/01/25
650,11000,,,75472614,10/01/25
1319,11000,,,3647918,10/01/25
2443,11000,,,14015729,10/01/25
2659,11000,,,664347,10/01/25
2998,11000,,,44244226,10/01/25
2707,11000,,,29993353,10/01/25
356,11000,,,888176,10/01/25
2816,11000,,,10575072,10/01/25
2682,11000,,,887433,10/01/25
2609,11000,,,118237,10/01/25
3136,11000,,,102836,10/01/25
567,11000,,,3096025,10/01/25
2494,11000,,,2499176,10/01/25
3479,11000,,,2507897,10/01/25
3544,11000,,,92835,10/01/25
646,11000,,,2478147,10/01/25
3303,11000,,,4067148,10/01/25
492,11000,,,410331,10/01/25
1818,11000,,,94557,10/01/25
695,11000,,,179240,10/01/25
1376,11000,,,1245898,10/01/25
1291,11000,,,253939,10/01/25
1581,11000,,,5736254,10/01/25
1896,11000,,,785357,10/01/25
3224,11000,,,1443875,10/01/25
3231,11000,,,154574,10/01/25
2722,11000,,,100190,10/01/25
2438,11000,,,466236,10/01/25
254,11000,,,5992709,10/01/25
2208,11000,,,1101378,10/01/25
3542,11000,,,48114887,10/01/25
2982,11000,,,766875,10/01/25
3390,11000,,,944346,10/01/25
2584,11000,,,6198623,10/01/25
2506,11000,,,4468669,10/01/25
1326,11000,,,1430375545,10/01/25
2807,11000,,,1791931,10/01/25
2995,11000,,,807492,10/01/25
2587,11000,,,2846759,10/01/25
2252,11000,,,831857,10/01/25
256,11000,,,1295483,10/01/25
503,11000,,,30200,10/01/25
2034,11000,,,181219,10/01/25
1067,11000,,,8173040,10/01/25
3095,11000,,,177902,10/01/25
2881,11000,,,1054405,10/01/25
1307,11000,,,4040332,10/01/25
3271,11000,,,449438,10/01/25
3548,11000,,,290561,10/01/25
2168,11000,,,13758016,10/01/25
2789,11000,,,6034720,10/01/25
3235,11000,,,2049090,10/01/25
3330,11000,,,6650776,10/01/25
2802,11000,,,283660,10/01/25
236,11000,,,133882,10/01/25
538,11000,,,408576,10/01/25
3175,11000,,,725288,10/01/25
3523,11000,,,380256,10/01/25
3194,11000,,,667802,10/01/25
3517,11000,,,0,07/01/25
2499,11000,,,196965,10/01/25
2,11000,,,195715,10/01/25
2289,11000,,,23598797,10/01/25
2530,11000,,,1052584,10/01/25
3473,11000,,,1904964,10/01/25
902,11000,,,2390697,10/01/25
429,11000,,,31568443,10/01/25
3553,11000,,,2368,10/01/25
3318,11000,,,11008,10/01/25
2772,11000,,,2062475,10/01/25
1573,11000,,,5727799,10/01/25
2645,11000,,,1105528,10/01/25
2611,11000,,,5777467,10/01/25
1927,11000,,,6104561,10/01/25
