"REGN,N,4,0","CODE,C,5","SIM_R,N,16,0","SIM_V,N,16,0","SIM_ITOGO,N,16,0","DT,D"
1144,11000,,,590054,01/01/25
2402,11000,,,5707723,01/01/25
2443,11000,,,12649568,01/01/25
3520,11000,,,28158,01/01/25
3522,11000,,,6403582,01/01/25
2407,11000,,,68978,01/01/25
3099,11000,,,3423769,01/01/25
1352,11000,,,1214409,01/01/25
429,11000,,,39460000,01/01/25
2306,11000,,,33501973,01/01/25
3257,11000,,,323687,01/01/25
875,11000,,,442613,01/01/25
1370,11000,,,650907,01/01/25
2559,11000,,,3704085,01/01/25
3175,11000,,,732741,01/01/25
705,11000,,,19034979,01/01/25
3271,11000,,,404925,01/01/25
2208,11000,,,1451988,01/01/25
3538,11000,,,1042453,01/01/25
212,11000,,,4074101,01/01/25
3446,11000,,,13767195,01/01/25
3095,11000,,,297963,01/01/25
415,11000,,,25510991,01/01/25
554,11000,,,9352171,01/01/25
2853,11000,,,360796,01/01/25
2438,11000,,,436167,01/01/25
1818,11000,,,107043,01/01/25
2490,11000,,,7827454,01/01/25
2103,11000,,,681769,01/01/25
2638,11000,,,1420207,01/01/25
2048,11000,,,1445476,01/01/25
3466,11000,,,1228228880,01/01/25
3515,11000,,,11735030,01/01/25
2796,11000,,,116992,01/01/25
2789,11000,,,6337635,01/01/25
3337,11000,,,4586329,01/01/25
2721,11000,,,631746,01/01/25
1114,11000,,,134724,01/01/25
170,11000,,,23975323,01/01/25
3172,11000,,,692991,01/01/25
2755,11000,,,4250077,01/01/25
903,11000,,,1042522,01/01/25
3416,11000,,,918180,01/01/25
3415,11000,,,194278,01/01/25
2289,11000,,,30068592,01/01/25
1747,11000,,,182413,01/01/25
2609,11000,,,190482,01/01/25
1399,11000,,,499580,01/01/25
3548,11000,,,125991,01/01/25
1659,11000,,,586123,01/01/25
2790,11000,,,41221120,01/01/25
3202,11000,,,1154783,01/01/25
3529,11000,,,2911199,01/01/25
1966,11000,,,5550518,01/01/25
1151,11000,,,175729,01/01/25
3294,11000,,,34504736,01/01/25
3550,11000,,,18326,01/01/25
2518,11000,,,27670808,01/01/25
2368,11000,,,1443115,01/01/25
1326,11000,,,1378764844,01/01/25
2,11000,,,261381,01/01/25
650,11000,,,92272239,01/01/25
538,11000,,,382289,01/01/25
480,11000,,,3583850,01/01/25
3318,11000,,,17178,01/01/25
2802,11000,,,340273,01/01/25
77,11000,,,3540577,01/01/25
965,11000,,,1781712,01/01/25
1319,11000,,,2773466,01/01/25
3390,11000,,,887512,01/01/25
990,11000,,,273127,01/01/25
3511,11000,,,372523,01/01/25
575,11000,,,305379,01/01/25
503,11000,,,60971,01/01/25
3242,11000,,,50288,01/01/25
1376,11000,,,1550792,01/01/25
1948,11000,,,782098,01/01/25
567,11000,,,3295788,01/01/25
53,11000,,,2633626,01/01/25
2374,11000,,,280127,01/01/25
2846,11000,,,315474,01/01/25
902,11000,,,2621692,01/01/25
2390,11000,,,1795021,01/01/25
1,11000,,,103777069,01/01/25
444,11000,,,147975,01/01/25
2682,11000,,,786247,01/01/25
3252,11000,,,17800592,01/01/25
3500,11000,,,3667174,01/01/25
2900,11000,,,1190867,01/01/25
3473,11000,,,2447664,01/01/25
3403,11000,,,2706515,01/01/25
3176,11000,,,443430,01/01/25
101,11000,,,17107491,01/01/25
646,11000,,,2538553,01/01/25
478,11000,,,784657,01/01/25
2272,11000,,,237938177,01/01/25
2868,11000,,,320878,01/01/25
316,11000,,,52502327,01/01/25
524,11000,,,1202665,01/01/25
