"REGN,N,4,0","CODE,C,5","ITOGO,N,16,0"
101,01000,128281
101,02000,0
101,10000,3712062
101,10001,1419682
101,10002,2291989
101,10003,391
101,11000,324202
101,11100,41618
101,11101,0
101,11102,0
101,11103,0
101,11104,0
101,11105,0
101,11106,0
101,11107,0
101,11108,0
101,11109,0
101,11110,0
101,11111,0
101,11112,15034
101,11113,0
101,11114,0
101,11115,4343
101,11116,0
101,11117,0
101,11118,22241
101,11119,0
101,11200,6607
101,11201,0
101,11202,0
101,11203,0
101,11204,0
101,11205,0
101,11206,0
101,11207,0
101,11208,0
101,11209,0
101,11210,0
101,11211,2412
101,11212,0
101,11213,0
101,11214,3241
101,11215,954
101,11216,0
101,11217,0
101,11300,109
101,11301,0
101,11302,109
101,11303,0
101,11400,41421
101,11401,41421
101,11402,0
101,11403,0
101,11500,234447
101,11501,0
101,11502,26457
101,11503,0
101,11504,69109
101,11505,41032
101,11506,2700
101,11507,98
101,11508,95051
101,11600,0
101,11601,0
101,11602,0
101,11603,0
101,11604,0
101,11605,0
101,11606,0
101,11607,0
101,11608,0
101,12000,1095480
101,12100,20136
101,12101,13584
101,12102,6552
101,12200,1075344
101,12201,1075344
101,12300,0
101,12301,0
101,12400,0
101,12401,0
101,12402,0
101,12403,0
101,12404,0
101,12405,0
101,12406,0
101,13000,205375
101,13100,205375
101,13101,3785
101,13102,138
101,13103,0
101,13104,56645
101,13105,31433
101,13106,11827
101,13107,133
101,13108,101414
101,13200,0
101,13201,0
101,14000,28
101,14100,28
101,14101,28
101,14102,0
101,14103,0
101,14104,0
101,14200,0
101,14201,0
101,14202,0
101,14203,0
101,14204,0
101,14300,0
101,14301,0
101,14302,0
101,14303,0
101,14304,0
101,14400,0
101,14401,0
101,14402,0
101,14403,0
101,14404,0
101,15000,1618360
101,15100,1618360
101,15101,40615
101,15102,1577745
101,15103,0
101,15200,0
101,15201,0
101,15202,0
101,15203,0
101,15204,0
101,16000,468226
101,16100,126081
101,16101,0
101,16102,0
101,16103,126081
101,16104,0
101,16105,0
101,16200,24
101,16201,0
101,16202,0
101,16203,24
101,16300,342121
101,16301,4141
101,16302,0
101,16303,0
101,16304,0
101,16305,336990
101,16306,990
101,17000,391
101,17100,30
101,17101,30
101,17102,0
101,17103,0
101,17200,99
101,17201,59
101,17202,36
101,17203,4
101,17300,262
101,17301,0
101,17302,0
101,17303,239
101,17304,0
101,17305,0
101,17306,23
101,17307,0
101,20000,3642331
101,20001,1050980
101,20002,2531233
101,20003,1568
101,20100,3583781
101,21000,95779
101,21100,1365
101,21101,53
101,21102,1312
101,21103,0
101,21104,0
101,21200,60864
101,21201,0
101,21202,0
101,21203,0
101,21204,0
101,21205,0
101,21206,0
101,21207,60864
101,21208,0
101,21209,0
101,21210,0
101,21211,0
101,21212,0
101,21213,0
101,21214,0
101,21300,12964
101,21301,0
101,21302,0
101,21303,0
101,21304,0
101,21305,0
101,21306,0
101,21307,0
101,21308,0
101,21309,0
101,21310,0
101,21311,12962
101,21312,2
101,21313,0
101,21314,0
101,21315,0
101,21316,0
101,21317,0
101,21400,13264
101,21401,0
101,21402,0
101,21403,0
101,21404,0
101,21405,0
101,21406,0
101,21407,0
101,21408,0
101,21409,0
101,21410,0
101,21411,32
101,21412,0
101,21413,0
101,21414,1049
101,21415,11412
101,21416,0
101,21417,771
101,21500,0
101,21501,0
101,21502,0
101,21600,7322
101,21601,7322
101,21602,0
101,21700,0
101,21701,0
101,21702,0
101,21800,0
101,21801,0
101,21802,0
101,21803,0
101,21804,0
101,22000,955201
101,22100,955201
101,22101,955201
101,22200,0
101,22201,0
101,22202,0
101,22203,0
101,23000,123160
101,23100,123160
101,23101,3374
101,23102,0
101,23103,0
101,23104,51697
101,23105,10377
101,23106,3339
101,23107,66
101,23108,54307
101,23109,0
101,23200,0
101,23201,0
101,24000,1808939
101,24100,1808939
101,24101,223897
101,24102,1585042
101,24103,0
101,24200,0
101,24201,0
101,24202,0
101,24203,0
101,24204,0
101,25000,407045
101,25100,63920
101,25101,0
101,25102,0
101,25103,63897
101,25104,23
101,25105,0
101,25200,18085
101,25201,0
101,25202,641
101,25203,7659
101,25204,0
101,25205,9202
101,25206,583
101,25300,325040
101,25301,0
101,25302,324372
101,25303,668
101,26000,192089
101,26100,109086
101,26101,88309
101,26102,20030
101,26103,0
101,26104,747
101,26200,20187
101,26201,20187
101,26202,0
101,26203,0
101,26300,27542
101,26301,1797
101,26302,1695
101,26303,8543
101,26304,11874
101,26305,3633
101,26306,0
101,26307,0
101,26400,35274
101,26401,103
101,26402,1246
101,26403,4011
101,26404,126
101,26405,0
101,26406,12635
101,26407,0
101,26408,595
101,26409,43
101,26410,719
101,26411,12700
101,26412,3096
101,27000,1568
101,27100,16
101,27101,0
101,27102,2
101,27103,14
101,27200,1371
101,27201,0
101,27202,34
101,27203,1337
101,27300,181
101,27301,0
101,27302,0
101,27303,0
101,27304,0
101,27305,0
101,27306,0
101,27307,0
101,27308,181
101,27309,0
101,28000,58550
101,28101,58550
101,31001,69731
101,31002,0
101,32001,0
101,32002,0
101,32101,0
101,33001,69731
101,33002,0
103,01000,222400
103,02000,0
103,10000,3681748
103,10001,509166
103,10002,3172248
103,10003,334
103,11000,404620
103,11100,269410
103,11101,0
103,11102,0
103,11103,0
103,11104,0
103,11105,0
103,11106,0
103,11107,0
103,11108,0
103,11109,3308
103,11110,0
103,11111,0
103,11112,145669
103,11113,0
103,11114,0
103,11115,106107
103,11116,0
103,11117,473
103,11118,13853
103,11119,0
103,11200,0
103,11201,0
103,11202,0
103,11203,0
103,11204,0
103,11205,0
103,11206,0
103,11207,0
103,11208,0
103,11209,0
103,11210,0
103,11211,0
103,11212,0
103,11213,0
103,11214,0
103,11215,0
103,11216,0
103,11217,0
103,11300,9888
103,11301,0
103,11302,0
103,11303,9888
103,11400,0
