"REGN,N,4,0","CODE,C,5","SIM_R,N,16,0","SIM_V,N,16,0","SIM_ITOGO,N,16,0"
1,10000,175334052,18631019,193965071
1,10001,29466246,9328710,38794956
1,10002,145794345,9276297,155070642
1,10003,73461,26012,99473
1,11000,15300930,9013052,24313982
1,11100,12362342,8309206,20671548
1,11101,0,0,0
1,11102,11045,0,11045
1,11103,0,0,0
1,11104,0,0,0
1,11105,0,0,0
1,11106,7352,2641,9993
1,11107,0,0,0
1,11108,0,0,0
1,11109,8296,0,8296
1,11110,0,0,0
1,11111,29108,6478,35586
1,11112,9335666,5272915,14608581
1,11113,12710,0,12710
1,11114,48874,4030,52904
1,11115,2612080,2329684,4941764
1,11116,25662,445232,470894
1,11117,1936,22087,24023
1,11118,195087,77817,272904
1,11119,74526,148322,222848
1,11200,1455192,5385,1460577
1,11201,0,0,0
1,11202,0,0,0
1,11203,0,0,0
1,11204,0,0,0
1,11205,0,0,0
1,11206,0,0,0
1,11207,0,0,0
1,11208,0,0,0
1,11209,0,0,0
1,11210,0,0,0
1,11211,30092,0,30092
1,11212,816653,0,816653
1,11213,0,0,0
1,11214,35,4337,4372
1,11215,608369,5,608374
1,11216,43,1043,1086
1,11217,0,0,0
1,11300,4955,76158,81113
1,11301,0,0,0
1,11302,4955,0,4955
1,11303,0,76158,76158
1,11400,55547,509223,564770
1,11401,2152,0,2152
1,11402,1219,0,1219
1,11403,52176,509223,561399
1,11500,1422894,113080,1535974
1,11501,2111,4357,6468
1,11502,70308,0,70308
1,11503,0,0,0
1,11504,201695,0,201695
1,11505,944384,0,944384
1,11506,0,0,0
1,11507,200284,12623,212907
1,11508,4112,96100,100212
1,11600,0,0,0
1,11601,0,0,0
1,11602,0,0,0
1,11603,0,0,0
1,11604,0,0,0
1,11605,0,0,0
1,11606,0,0,0
1,11607,0,0,0
1,11608,0,0,0
1,12000,14165316,315658,14480974
1,12100,1126384,265218,1391602
1,12101,67822,19667,87489
1,12102,1058562,245551,1304113
1,12200,12787847,,12787847
1,12201,12787847,,12787847
1,12300,223902,50019,273921
1,12301,223902,50019,273921
1,12400,27183,421,27604
1,12401,2548,,2548
1,12402,0,19,19
1,12403,0,,0
1,12404,24218,0,24218
1,12405,0,0,0
1,12406,417,402,819
1,13000,148621,0,148621
1,13100,148621,,148621
1,13101,7453,,7453
1,13102,1865,,1865
1,13103,1852,,1852
1,13104,5918,,5918
1,13105,37481,,37481
1,13106,0,,0
1,13107,66,,66
1,13108,93986,,93986
1,13200,0,0,0
1,13201,0,0,0
1,14000,31513,157,31670
1,14100,31513,157,31670
1,14101,0,0,0
1,14102,31512,0,31512
1,14103,0,0,0
1,14104,1,157,158
1,14200,0,0,0
1,14201,0,0,0
1,14202,0,0,0
1,14203,0,0,0
1,14204,0,0,0
1,14300,0,0,0
1,14301,0,0,0
1,14302,0,0,0
1,14303,0,0,0
1,14304,0,0,0
1,14400,0,0,0
1,14401,0,0,0
1,14402,0,0,0
1,14403,0,0,0
1,14404,0,0,0
1,15000,119517259,,119517259
1,15100,119517237,,119517237
1,15101,96116,,96116
1,15102,119421121,,119421121
1,15103,0,,0
1,15200,22,,22
1,15201,0,,0
1,15202,22,,22
1,15203,0,,0
1,15204,0,,0
1,16000,26096952,9276140,35373092
1,16100,10156466,8688297,18844763
1,16101,3109232,1205382,4314614
1,16102,0,1790,1790
1,16103,7047234,7481125,14528359
1,16104,0,0,0
1,16105,0,0,0
1,16200,1763034,582587,2345621
1,16201,127,221,348
1,16202,135487,17056,152543
1,16203,1627420,565310,2192730
1,16300,14177452,5256,14182708
1,16301,0,0,0
1,16302,4569,,4569
1,16303,0,,0
1,16304,0,0,0
1,16305,14172883,,14172883
1,16306,0,5256,5256
1,17000,73461,26012,99473
1,17100,46380,11987,58367
1,17101,33139,11894,45033
1,17102,13241,93,13334
1,17103,0,0,0
1,17200,18366,13450,31816
1,17201,1478,540,2018
1,17202,15528,12610,28138
1,17203,1360,300,1660
1,17300,8715,575,9290
1,17301,0,0,0
1,17302,1620,0,1620
1,17303,0,0,0
1,17304,653,96,749
1,17305,0,0,0
1,17306,6442,479,6921
1,20000,168658645,16172408,184831053
1,20001,21474853,5656495,27131348
1,20002,146961278,10504426,157465704
1,20003,222514,11487,234001
1,21000,7341737,5656495,12998232
1,21100,856025,1668027,2524052
1,21101,5837,0,5837
1,21102,710547,40879,751426
1,21103,139641,1612258,1751899
1,21104,0,14890,14890
1,21200,29583,5005,34588
1,21201,0,0,0
1,21202,15,17,32
1,21203,0,42,42
1,21204,0,0,0
1,21205,2,0,2
1,21206,0,0,0
1,21207,122,416,538
1,21208,24344,3000,27344
1,21209,389,9,398
1,21210,0,1070,1070
1,21211,3499,79,3578
1,21212,102,6,108
1,21213,0,0,0
1,21214,1110,366,1476
1,21300,5817844,3486545,9304389
1,21301,25808,0,25808
1,21302,31175,0,31175
1,21303,0,0,0
1,21304,0,0,0
1,21305,0,0,0
1,21306,246,9607,9853
1,21307,0,0,0
1,21308,0,0,0
1,21309,0,0,0
1,21310,0,0,0
1,21311,61451,2741,64192
1,21312,2591246,3316620,5907866
1,21313,7852,893,8745
1,21314,35528,37383,72911
1,21315,27,0,27
1,21316,3064511,119301,3183812
1,21317,0,0,0
1,21400,81357,354264,435621
1,21401,0,0,0
1,21402,0,0,0
1,21403,0,0,0
1,21404,0,0,0
1,21405,0,0,0
1,21406,0,2,2
1,21407,0,0,0
1,21408,0,0,0
1,21409,0,0,0
1,21410,0,0,0
1,21411,0,0,0
1,21412,64225,291184,355409
1,21413,0,0,0
1,21414,2473,62368,64841
1,21415,62,31,93
1,21416,14,679,693
1,21417,14583,0,14583
1,21500,31585,2744,34329
1,21501,29557,2230,31787
1,21502,2028,514,2542
1,21600,493140,139565,632705
1,21601,481494,132282,613776
1,21602,11646,7283,18929
1,21700,0,0,0
1,21701,0,0,0
1,21702,0,0,0
1,21800,32203,345,32548
1,21801,28409,0,28409
1,21802,0,0,0
1,21803,0,0,0
1,21804,3794,345,4139
1,22000,14133116,0,14133116
1,22100,14131458,,14131458
1,22101,14131458,,14131458
1,22200,1658,0,1658
1,22201,1658,,1658
1,22202,0,0,0
1,22203,0,,0
1,23000,224301,0,224301
1,23100,224198,0,224198
1,23101,11866,,11866
1,23102,101996,,101996
1,23103,254,,254
1,23104,17846,,17846
1,23105,83150,,83150
1,23106,0,,0
1,23107,2069,,2069
1,23108,7017,,7017
1,23109,0,0,0
1,23200,103,0,103
1,23201,103,0,103
1,24000,115332504,,115332504
1,24100,115332475,,115332475
1,24101,567042,,567042
1,24102,114765433,,114765433
1,24103,0,,0
1,24200,29,,29
1,24201,0,,0
1,24202,29,,29
1,24203,0,,0
1,24204,0,,0
1,25000,26553595,10452195,37005790
1,25100,11050874,10110926,21161800
1,25101,3164490,1398116,4562606
1,25102,0,1453,1453
1,25103,7886384,8711357,16597741
1,25104,0,0,0
1,25105,0,0,0
1,25200,439006,338710,777716
1,25201,0,8769,8769
1,25202,59764,3922,63686
1,25203,59979,83308,143287
1,25204,2186,1834,4020
1,25205,303963,25702,329665
1,25206,13114,215175,228289
1,25300,15063715,2559,15066274
1,25301,0,0,0
1,25302,15062619,,15062619
1,25303,1096,2559,3655
1,26000,4850878,52231,4903109
1,26100,2116629,24,2116653
1,26101,1651274,0,1651274
1,26102,293731,0,293731
1,26103,405,0,405
1,26104,171219,24,171243
1,26200,418792,,418792
1,26201,418792,,418792
1,26202,0,,0
1,26203,0,,0
1,26300,1018112,22,1018134
1,26301,130687,0,130687
1,26302,194742,22,194764
1,26303,632879,0,632879
1,26304,0,0,0
1,26305,55475,,55475
1,26306,0,,0
1,26307,4329,,4329
1,26400,1297345,52185,1349530
1,26401,4985,4837,9822
1,26402,67300,1186,68486
1,26403,80064,0,80064
1,26404,153498,2479,155977
1,26405,18989,221,19210
1,26406,244836,23090,267926
1,26407,36,0,36
1,26408,8943,0,8943
1,26409,1656,0,1656
