"REGN,N,4,0","CODE,C,5","SIM_R,N,16,0","SIM_V,N,16,0","SIM_ITOGO,N,16,0","DT,D"
3395,11000,,,993992,10/01/23
1343,11000,,,7598093,10/01/23
1046,11000,,,48467,10/01/23
330,11000,,,145258,10/01/23
3531,11000,,,930868,10/01/23
2103,11000,,,317643,10/01/23
2932,11000,,,154379,10/01/23
3300,11000,,,1331901,10/01/23
1376,11000,,,746077,10/01/23
1720,11000,,,664195,10/01/23
1354,11000,,,26302824,10/01/23
3518,11000,,,80,10/01/23
1000,11000,,,1248021560,10/01/23
2557,11000,,,17859974,10/01/23
2518,11000,,,10831386,10/01/23
1370,11000,,,207342,10/01/23
493,11000,,,4628183,10/01/23
990,11000,,,137304,10/01/23
2309,11000,,,12469671,10/01/23
2748,11000,,,24165121,10/01/23
3340,11000,,,6222902,10/01/23
2584,11000,,,2584101,10/01/23
2611,11000,,,2811945,10/01/23
567,11000,,,1471140,10/01/23
2659,11000,,,312596,10/01/23
2776,11000,,,925358,10/01/23
356,11000,,,686677,10/01/23
1810,11000,,,14384879,10/01/23
3337,11000,,,2258557,10/01/23
438,11000,,,296930,10/01/23
2530,11000,,,72571,10/01/23
3298,11000,,,76010,10/01/23
3525,11000,,,2340676,10/01/23
3454,11000,,,1282920,10/01/23
101,11000,,,6155846,10/01/23
3546,11000,,,0,10/01/23
415,11000,,,8982543,10/01/23
2443,11000,,,4846110,10/01/23
3446,11000,,,3166996,10/01/23
574,11000,,,269089,10/01/23
2312,11000,,,99132948,10/01/23
2440,11000,,,11172152,10/01/23
783,11000,,,177789,10/01/23
2707,11000,,,11774096,10/01/23
2914,11000,,,2322933,10/01/23
779,11000,,,112610,10/01/23
646,11000,,,1063169,10/01/23
843,11000,,,2647259,10/01/23
1312,11000,,,116523,10/01/23
1978,11000,,,275033273,10/01/23
2879,11000,,,5645289,10/01/23
3290,11000,,,1680590,10/01/23
354,11000,,,742525813,10/01/23
2645,11000,,,510023,10/01/23
1,11000,,,63986163,10/01/23
2438,11000,,,225330,10/01/23
2618,11000,,,2764728,10/01/23
435,11000,,,985844,10/01/23
2225,11000,,,7084078,10/01/23
2868,11000,,,190062,10/01/23
2664,11000,,,569017,10/01/23
965,11000,,,675741,10/01/23
3417,11000,,,565261,10/01/23
804,11000,,,52029,10/01/23
760,11000,,,372022,10/01/23
3184,11000,,,35440,10/01/23
1581,11000,,,2863765,10/01/23
2015,11000,,,516947,10/01/23
3231,11000,,,75714,10/01/23
3255,11000,,,16125414,10/01/23
3379,11000,,,73599,10/01/23
3545,11000,,,6702778,10/01/23
2304,11000,,,4157910,10/01/23
2407,11000,,,39281,10/01/23
3252,11000,,,10393780,10/01/23
106,11000,,,157355,10/01/23
3507,11000,,,30357,10/01/23
3365,11000,,,1512125,10/01/23
492,11000,,,206324,10/01/23
3482,11000,,,3434264,10/01/23
695,11000,,,79932,10/01/23
1747,11000,,,74114,10/01/23
2673,11000,,,186298186,10/01/23
3269,11000,,,1273956,10/01/23
842,11000,,,336071,10/01/23
3013,11000,,,1299090,10/01/23
538,11000,,,84959,10/01/23
2252,11000,,,323013,10/01/23
503,11000,,,12324,10/01/23
2241,11000,,,3745059,10/01/23
3296,11000,,,244948,10/01/23
3460,11000,,,88577,10/01/23
2726,11000,,,4293,10/01/23
3166,11000,,,2025344,10/01/23
3314,11000,,,47428,10/01/23
3245,11000,,,839766,10/01/23
857,11000,,,300167,10/01/23
1115,11000,,,190254,10/01/23
2796,11000,,,73681,10/01/23
604,11000,,,300018,10/01/23
3235,11000,,,1813228,10/01/23
3416,11000,,,352104,10/01/23
2268,11000,,,36570808,10/01/23
3522,11000,,,1643060,10/01/23
3306,11000,,,18362,10/01/23
3450,11000,,,2440497,10/01/23
554,11000,,,5369882,10/01/23
3176,11000,,,363808,10/01/23
3247,11000,,,392184,10/01/23
3328,11000,,,4341354,10/01/23
2650,11000,,,175370,10/01/23
2789,11000,,,2713817,10/01/23
3396,11000,,,1217734,10/01/23
3500,11000,,,2418622,10/01/23
2490,11000,,,3580783,10/01/23
2551,11000,,,2623400,10/01/23
3303,11000,,,1817112,10/01/23
3257,11000,,,124310,10/01/23
2853,11000,,,142973,10/01/23
2507,11000,,,1818873,10/01/23
2830,11000,,,77042,10/01/23
2763,11000,,,10076535,10/01/23
2495,11000,,,7732270,10/01/23
2306,11000,,,17723759,10/01/23
2880,11000,,,1407761,10/01/23
2568,11000,,,100566,10/01/23
236,11000,,,76320,10/01/23
3473,11000,,,1247735,10/01/23
85,11000,,,77975,10/01/23
1896,11000,,,445359,10/01/23
3224,11000,,,540639,10/01/23
3524,11000,,,361682,10/01/23
685,11000,,,98624,10/01/23
1637,11000,,,4325163,10/01/23
3466,11000,,,341209084,10/01/23
1291,11000,,,102331,10/01/23
3542,11000,,,1164806,10/01/23
588,11000,,,5717558,10/01/23
1765,11000,,,92374,10/01/23
1288,11000,,,550859,10/01/23
2065,11000,,,235583,10/01/23
2982,11000,,,355983,10/01/23
1352,11000,,,592522,10/01/23
3077,11000,,,485747,10/01/23
3452,11000,,,10051,10/01/23
1973,11000,,,200092,10/01/23
2722,11000,,,65404,10/01/23
3529,11000,,,1298041,10/01/23
2790,11000,,,16061205,10/01/23
2119,11000,,,1039816,10/01/23
1927,11000,,,2670931,10/01/23
3095,11000,,,32686,10/01/23
3279,11000,,,13248270,10/01/23
478,11000,,,299298,10/01/23
2609,11000,,,175365,10/01/23
3242,11000,,,7439,10/01/23
3505,11000,,,27993,10/01/23
1329,11000,,,894086,10/01/23
481,11000,,,1368061,10/01/23
1788,11000,,,78874,10/01/23
2534,11000,,,2290669,10/01/23
1144,11000,,,277448,10/01/23
3349,11000,,,203122417,10/01/23
2034,11000,,,61741,10/01/23
3541,11000,,,26695,10/01/23
598,11000,,,130793,10/01/23
702,11000,,,994114,10/01/23
2721,11000,,,338903,10/01/23
3468,11000,,,201690,10/01/23
316,11000,,,25986399,10/01/23
875,11000,,,171164,10/01/23
2761,11000,,,8179,10/01/23
817,11000,,,155232,10/01/23
3138,11000,,,1777793,10/01/23
2272,11000,,,102004994,10/01/23
2564,11000,,,242240,10/01/23
328,11000,,,75012635,10/01/23
1680,11000,,,977300,10/01/23
3515,11000,,,1477381,10/01/23
1455,11000,,,347742,10/01/23
1966,11000,,,2452023,10/01/23
1818,11000,,,44123,10/01/23
