"REGN,N,4,0","CODE,C,5","ITOGO,N,16,0","DT,D"
103,01000,144587,04/01/15
103,02000,0,04/01/15
103,10000,7379163,04/01/15
103,10001,421984,04/01/15
103,10002,6957064,04/01/15
103,10003,115,04/01/15
103,11000,355675,04/01/15
103,11100,310767,04/01/15
103,11101,0,04/01/15
103,11102,0,04/01/15
103,11103,0,04/01/15
103,11104,0,04/01/15
103,11105,0,04/01/15
103,11106,0,04/01/15
103,11107,0,04/01/15
103,11108,0,04/01/15
103,11109,0,04/01/15
103,11110,0,04/01/15
103,11111,0,04/01/15
103,11112,222961,04/01/15
103,11113,0,04/01/15
103,11114,0,04/01/15
103,11115,57261,04/01/15
103,11116,0,04/01/15
103,11117,6,04/01/15
103,11118,30539,04/01/15
103,11119,0,04/01/15
103,11200,0,04/01/15
103,11201,0,04/01/15
103,11202,0,04/01/15
103,11203,0,04/01/15
103,11204,0,04/01/15
103,11205,0,04/01/15
103,11206,0,04/01/15
103,11207,0,04/01/15
103,11208,0,04/01/15
103,11209,0,04/01/15
103,11210,0,04/01/15
103,11211,0,04/01/15
103,11212,0,04/01/15
103,11213,0,04/01/15
103,11214,0,04/01/15
103,11215,0,04/01/15
103,11216,0,04/01/15
103,11217,0,04/01/15
103,11300,2040,04/01/15
103,11301,0,04/01/15
103,11302,1966,04/01/15
103,11303,74,04/01/15
103,11400,0,04/01/15
103,11401,0,04/01/15
103,11402,0,04/01/15
103,11403,0,04/01/15
103,11500,12445,04/01/15
103,11501,0,04/01/15
103,11502,0,04/01/15
103,11503,0,04/01/15
103,11504,9345,04/01/15
103,11505,3100,04/01/15
103,11506,0,04/01/15
103,11507,0,04/01/15
103,11508,0,04/01/15
103,11600,30423,04/01/15
103,11601,0,04/01/15
103,11602,0,04/01/15
103,11603,30423,04/01/15
103,11604,0,04/01/15
103,11605,0,04/01/15
103,11606,0,04/01/15
103,11607,0,04/01/15
103,11608,0,04/01/15
103,12000,66309,04/01/15
103,12100,12314,04/01/15
103,12101,65,04/01/15
103,12102,12249,04/01/15
103,12200,44857,04/01/15
103,12201,44857,04/01/15
103,12300,8748,04/01/15
