"REGN,N,4,0","PLAN,C,1","NUM_SC,C,5","ITOGO,N,21,4","A_P,C,1","DT,D"
2,А,10207,71000.0000,2,04/01/08
2,А,10601,379.0000,2,04/01/08
2,А,10602,269000.0000,2,04/01/08
2,А,10701,12003.0000,2,04/01/08
2,А,10801,50255.0000,2,04/01/08
2,А,20202,33461.0000,1,04/01/08
2,А,20203,282.0000,1,04/01/08
2,А,20206,0.0000,1,04/01/08
2,А,20209,3367.0000,1,04/01/08
2,А,20210,7.0000,1,04/01/08
2,А,30102,25049.0000,1,04/01/08
2,А,30110,11697.0000,1,04/01/08
2,А,30114,16951.0000,1,04/01/08
2,А,30202,22077.0000,1,04/01/08
2,А,30204,1986.0000,1,04/01/08
2,А,30220,215.0000,2,04/01/08
2,А,30223,15586.0000,2,04/01/08
2,А,30232,1500.0000,2,04/01/08
2,А,30233,208.0000,1,04/01/08
2,А,30301,70686.0000,2,04/01/08
2,А,30302,70686.0000,1,04/01/08
2,А,30305,67820.0000,2,04/01/08
2,А,30306,67820.0000,1,04/01/08
2,А,30402,35.0000,1,04/01/08
2,А,30602,3109.0000,1,04/01/08
2,А,31302,0.0000,2,04/01/08
2,А,31303,0.0000,2,04/01/08
2,А,31305,0.0000,2,04/01/08
2,А,32010,9332.0000,1,04/01/08
2,А,40601,2.0000,2,04/01/08
2,А,40602,1.0000,2,04/01/08
2,А,40701,5.0000,2,04/01/08
2,А,40702,249788.0000,2,04/01/08
2,А,40703,7802.0000,2,04/01/08
2,А,40802,2864.0000,2,04/01/08
2,А,40804,1.0000,2,04/01/08
2,А,40807,5817.0000,2,04/01/08
2,А,40814,27.0000,2,04/01/08
2,А,40817,17811.0000,2,04/01/08
2,А,40820,524.0000,2,04/01/08
2,А,40905,444.0000,2,04/01/08
2,А,40909,377.0000,2,04/01/08
2,А,40910,0.0000,2,04/01/08
2,А,40911,39.0000,2,04/01/08
2,А,40912,0.0000,2,04/01/08
2,А,40913,24.0000,2,04/01/08
2,А,42103,7000.0000,2,04/01/08
2,А,42104,132100.0000,2,04/01/08
2,А,42106,11208.0000,2,04/01/08
2,А,42206,3000.0000,2,04/01/08
2,А,42207,3500.0000,2,04/01/08
2,А,42301,3955.0000,2,04/01/08
2,А,42303,5473.0000,2,04/01/08
2,А,42304,20600.0000,2,04/01/08
2,А,42305,71247.0000,2,04/01/08
2,А,42306,90519.0000,2,04/01/08
2,А,42601,93.0000,2,04/01/08
2,А,45203,0.0000,1,04/01/08
2,А,45204,40000.0000,1,04/01/08
2,А,45205,6242.0000,1,04/01/08
2,А,45206,299421.0000,1,04/01/08
2,А,45207,469946.0000,1,04/01/08
2,А,45208,349525.0000,1,04/01/08
2,А,45209,83564.0000,1,04/01/08
2,А,45215,278664.0000,2,04/01/08
2,А,45504,42.0000,1,04/01/08
2,А,45505,977.0000,1,04/01/08
2,А,45506,1011.0000,1,04/01/08
2,А,45507,5973.0000,1,04/01/08
2,А,45515,101.0000,2,04/01/08
2,А,45812,79582.0000,1,04/01/08
2,А,45815,1724.0000,1,04/01/08
2,А,45818,81299.0000,2,04/01/08
2,А,47404,0.0000,1,04/01/08
2,А,47407,0.0000,2,04/01/08
2,А,47408,0.0000,1,04/01/08
2,А,47411,1263.0000,2,04/01/08
2,А,47416,206.0000,2,04/01/08
2,А,47422,509.0000,2,04/01/08
2,А,47423,2229.0000,1,04/01/08
2,А,47425,11882.0000,2,04/01/08
2,А,47426,1056.0000,2,04/01/08
2,А,47427,292.0000,1,04/01/08
2,А,50706,1876.0000,1,04/01/08
2,А,50719,1876.0000,2,04/01/08
2,А,52006,12000.0000,2,04/01/08
2,А,52407,104.0000,2,04/01/08
2,А,52501,0.0000,2,04/01/08
2,А,60301,1502.0000,2,04/01/08
2,А,60302,58.0000,1,04/01/08
2,А,60305,3233.0000,2,04/01/08
2,А,60306,0.0000,1,04/01/08
2,А,60307,0.0000,2,04/01/08
2,А,60308,182.0000,1,04/01/08
2,А,60309,0.0000,2,04/01/08
2,А,60310,0.0000,1,04/01/08
2,А,60311,229.0000,2,04/01/08
2,А,60312,2540.0000,1,04/01/08
2,А,60313,29.0000,2,04/01/08
2,А,60314,0.0000,1,04/01/08
2,А,60322,23.0000,2,04/01/08
2,А,60323,38.0000,1,04/01/08
2,А,60324,140.0000,2,04/01/08
2,А,60401,7021.0000,1,04/01/08
2,А,60601,3359.0000,2,04/01/08
2,А,60901,1.0000,1,04/01/08
2,А,61002,121.0000,1,04/01/08
2,А,61008,131.0000,1,04/01/08
2,А,61009,66.0000,1,04/01/08
2,А,61209,0.0000,1,04/01/08
2,А,61304,104.0000,2,04/01/08
2,А,61403,4536.0000,1,04/01/08
2,А,70302,35422.0000,2,04/01/08
2,А,70501,1647.0000,1,04/01/08
2,А,70502,10528.0000,1,04/01/08
2,А,70601,188875.0000,2,04/01/08
2,А,70603,13550.0000,2,04/01/08
2,А,70606,177325.0000,1,04/01/08
2,А,70608,15426.0000,1,04/01/08
2,В,90701,2.0000,1,04/01/08
2,В,90803,3046.0000,1,04/01/08
2,В,90901,916.0000,1,04/01/08
2,В,90902,86928.0000,1,04/01/08
2,В,91003,0.0000,2,04/01/08
2,В,91202,76.0000,1,04/01/08
2,В,91203,2.0000,1,04/01/08
2,В,91207,3.0000,1,04/01/08
2,В,91311,6363.0000,2,04/01/08
2,В,91312,446234.0000,2,04/01/08
2,В,91315,11773.0000,2,04/01/08
2,В,91317,104067.0000,2,04/01/08
2,В,91414,252183.0000,1,04/01/08
2,В,91501,155.0000,1,04/01/08
2,В,91507,18868.0000,2,04/01/08
2,В,91604,69481.0000,1,04/01/08
2,В,91704,22109.0000,1,04/01/08
2,В,91802,64942.0000,1,04/01/08
2,В,91803,1.0000,1,04/01/08
2,Г,93001,0.0000,1,04/01/08
2,Г,96001,0.0000,2,04/01/08
2,Г,96801,0.0000,2,04/01/08
2,Д,98010,2336956.0000,1,04/01/08
2,Д,98040,26180.0000,2,04/01/08
2,Д,98070,2310776.0000,2,04/01/08
2,В,99998,587305.0000,1,04/01/08
2,В,99999,499844.0000,2,04/01/08
5,А,10207,72000.0000,2,04/01/08
5,А,10601,70591.0000,2,04/01/08
5,А,10602,198239.0000,2,04/01/08
5,А,10701,59472.0000,2,04/01/08
5,А,10801,16057.0000,2,04/01/08
5,А,20202,70845.0000,1,04/01/08
5,А,20209,0.0000,1,04/01/08
5,А,30102,216321.0000,1,04/01/08
5,А,30109,311.0000,2,04/01/08
5,А,30110,4820.0000,1,04/01/08
5,А,30114,45958.0000,1,04/01/08
5,А,30202,59733.0000,1,04/01/08
5,А,30204,8530.0000,1,04/01/08
5,А,30220,0.0000,2,04/01/08
5,А,30221,3114.0000,1,04/01/08
5,А,30223,0.0000,2,04/01/08
5,А,30232,3090.0000,2,04/01/08
5,А,30233,957.0000,1,04/01/08
5,А,30301,118244.0000,2,04/01/08
5,А,30302,118244.0000,1,04/01/08
5,А,30402,840.0000,1,04/01/08
5,А,30404,0.0000,1,04/01/08
5,А,30406,67.0000,1,04/01/08
5,А,30408,0.0000,2,04/01/08
5,А,30409,0.0000,1,04/01/08
5,А,30601,26674.0000,2,04/01/08
5,А,30602,876.0000,1,04/01/08
5,А,31302,0.0000,2,04/01/08
5,А,31303,0.0000,2,04/01/08
5,А,31304,0.0000,2,04/01/08
5,А,31308,1317.0000,2,04/01/08
5,А,31401,0.0000,2,04/01/08
5,А,32003,0.0000,1,04/01/08
5,А,32202,0.0000,1,04/01/08
5,А,32203,0.0000,1,04/01/08
5,А,32301,19283.0000,1,04/01/08
5,А,32901,0.0000,2,04/01/08
5,А,40502,3038.0000,2,04/01/08
5,А,40503,31.0000,2,04/01/08
5,А,40602,67720.0000,2,04/01/08
5,А,40701,6117.0000,2,04/01/08
5,А,40702,1289704.0000,2,04/01/08
5,А,40703,22800.0000,2,04/01/08
5,А,40802,23805.0000,2,04/01/08
5,А,40804,166.0000,2,04/01/08
5,А,40805,16.0000,2,04/01/08
5,А,40807,8221.0000,2,04/01/08
5,А,40814,1.0000,2,04/01/08
5,А,40817,168398.0000,2,04/01/08
5,А,40820,2955.0000,2,04/01/08
5,А,40901,55290.0000,2,04/01/08
5,А,40905,85.0000,2,04/01/08
5,А,40909,120.0000,2,04/01/08
5,А,40910,1.0000,2,04/01/08
5,А,40911,0.0000,2,04/01/08
5,А,40912,8.0000,2,04/01/08
5,А,40913,24.0000,2,04/01/08
5,А,42005,100000.0000,2,04/01/08
5,А,42006,456.0000,2,04/01/08
5,А,42102,70500.0000,2,04/01/08
5,А,42103,0.0000,2,04/01/08
5,А,42104,38287.0000,2,04/01/08
5,А,42105,74400.0000,2,04/01/08
5,А,42106,171419.0000,2,04/01/08
5,А,42206,45000.0000,2,04/01/08
5,А,42302,5474.0000,2,04/01/08
5,А,42303,25040.0000,2,04/01/08
5,А,42304,10472.0000,2,04/01/08
5,А,42305,34992.0000,2,04/01/08
5,А,42306,402730.0000,2,04/01/08
5,А,42601,2.0000,2,04/01/08
5,А,42603,0.0000,2,04/01/08
5,А,42604,350.0000,2,04/01/08
5,А,42605,234.0000,2,04/01/08
5,А,42606,3821.0000,2,04/01/08
5,А,44604,0.0000,1,04/01/08
5,А,44615,0.0000,2,04/01/08
5,А,45203,84143.0000,1,04/01/08
5,А,45204,7011.0000,1,04/01/08
5,А,45205,1705.0000,1,04/01/08
5,А,45206,349639.0000,1,04/01/08
5,А,45207,559650.0000,1,04/01/08
5,А,45208,121867.0000,1,04/01/08
5,А,45209,7500.0000,1,04/01/08
5,А,45215,11854.0000,2,04/01/08
5,А,45303,1000.0000,1,04/01/08
5,А,45315,10.0000,2,04/01/08
5,А,45406,10547.0000,1,04/01/08
5,А,45407,77446.0000,1,04/01/08
5,А,45408,4069.0000,1,04/01/08
5,А,45415,916.0000,2,04/01/08
5,А,45505,30522.0000,1,04/01/08
5,А,45506,30213.0000,1,04/01/08
5,А,45507,47258.0000,1,04/01/08
5,А,45515,698.0000,2,04/01/08
5,А,45705,30.0000,1,04/01/08
