"REGN,N,4,0","PLAN,C,1","NUM_SC,C,5","ITOGO,N,33,4","A_P,C,1","DT,D"
101,А,10207,1558500.0000,2,04/01/11
101,А,10602,60200.0000,2,04/01/11
101,А,10701,17953.0000,2,04/01/11
101,А,10801,253510.0000,2,04/01/11
101,А,20202,247571.0000,1,04/01/11
101,А,20208,1226.0000,1,04/01/11
101,А,20209,0.0000,1,04/01/11
101,А,30102,193233.0000,1,04/01/11
101,А,30110,10038.0000,1,04/01/11
101,А,30114,33044.0000,1,04/01/11
101,А,30202,50793.0000,1,04/01/11
101,А,30204,9338.0000,1,04/01/11
101,А,30221,0.0000,1,04/01/11
101,А,30233,0.0000,1,04/01/11
101,А,30301,2839913.0000,2,04/01/11
101,А,30302,2839913.0000,1,04/01/11
101,А,30402,210967.0000,1,04/01/11
101,А,30601,0.0000,2,04/01/11
101,А,30602,2.0000,1,04/01/11
101,А,30607,0.0000,2,04/01/11
101,А,31302,0.0000,2,04/01/11
101,А,31901,0.0000,1,04/01/11
101,А,31902,2200000.0000,1,04/01/11
101,А,31903,0.0000,1,04/01/11
101,А,32002,350000.0000,1,04/01/11
101,А,32003,985000.0000,1,04/01/11
101,А,32004,70000.0000,1,04/01/11
101,А,40503,0.0000,2,04/01/11
101,А,40602,2.0000,2,04/01/11
101,А,40701,6656572.0000,2,04/01/11
101,А,40702,350289.0000,2,04/01/11
101,А,40703,3550.0000,2,04/01/11
101,А,40802,4550.0000,2,04/01/11
101,А,40807,300942.0000,2,04/01/11
101,А,40817,63530.0000,2,04/01/11
101,А,40820,188.0000,2,04/01/11
101,А,40901,37500.0000,2,04/01/11
101,А,40911,8.0000,2,04/01/11
101,А,42005,221000.0000,2,04/01/11
101,А,42006,56000.0000,2,04/01/11
101,А,42104,0.0000,2,04/01/11
101,А,42301,49967.0000,2,04/01/11
101,А,42304,8366.0000,2,04/01/11
101,А,42305,62549.0000,2,04/01/11
101,А,42306,74485.0000,2,04/01/11
101,А,45201,0.0000,1,04/01/11
101,А,45205,78000.0000,1,04/01/11
101,А,45206,110000.0000,1,04/01/11
101,А,45207,9000.0000,1,04/01/11
101,А,45215,36893.0000,2,04/01/11
101,А,45506,55536.0000,1,04/01/11
101,А,45507,4439.0000,1,04/01/11
101,А,45509,0.0000,1,04/01/11
101,А,45515,4674.0000,2,04/01/11
101,А,45812,7999.0000,1,04/01/11
101,А,45815,187.0000,1,04/01/11
101,А,45818,8145.0000,2,04/01/11
101,А,45915,10.0000,1,04/01/11
101,А,47002,36381.0000,1,04/01/11
101,А,47302,160973.0000,1,04/01/11
101,А,47308,1610.0000,2,04/01/11
101,А,47403,0.0000,2,04/01/11
101,А,47404,264571.0000,1,04/01/11
101,А,47407,0.0000,2,04/01/11
101,А,47408,0.0000,1,04/01/11
101,А,47411,7299.0000,2,04/01/11
101,А,47416,137.0000,2,04/01/11
101,А,47417,0.0000,1,04/01/11
101,А,47422,6089.0000,2,04/01/11
101,А,47423,1553.0000,1,04/01/11
101,А,47425,361.0000,2,04/01/11
101,А,47426,7361.0000,2,04/01/11
101,А,47427,1595.0000,1,04/01/11
101,А,50104,0.0000,1,04/01/11
101,А,50105,523238.0000,1,04/01/11
101,А,50106,899326.0000,1,04/01/11
101,А,50107,403903.0000,1,04/01/11
101,А,50108,168766.0000,1,04/01/11
101,А,50110,2400876.0000,1,04/01/11
101,А,50120,5003.0000,2,04/01/11
101,А,50121,68471.0000,1,04/01/11
101,А,50605,2232.0000,1,04/01/11
101,А,50606,162919.0000,1,04/01/11
101,А,50621,69434.0000,1,04/01/11
101,А,50706,10.0000,1,04/01/11
101,А,50719,10.0000,2,04/01/11
101,А,60301,3889.0000,2,04/01/11
101,А,60302,12009.0000,1,04/01/11
101,А,60305,209.0000,2,04/01/11
101,А,60306,0.0000,1,04/01/11
101,А,60307,0.0000,2,04/01/11
101,А,60308,50.0000,1,04/01/11
