"REGN,N,4,0","CODE,C,5","SIM_R,N,16,0","SIM_V,N,16,0","SIM_ITOGO,N,16,0","DT,D"
2997,11000,,,249718,04/01/24
3517,11000,,,4880,01/01/24
3460,11000,,,56543,04/01/24
1376,11000,,,336078,04/01/24
1948,11000,,,172567,04/01/24
2807,11000,,,274659,04/01/24
2707,11000,,,5231804,04/01/24
2495,11000,,,2599663,04/01/24
1920,11000,,,750517,04/01/24
2390,11000,,,419157,04/01/24
444,11000,,,29720,04/01/24
3518,11000,,,5167,04/01/24
2982,11000,,,208975,04/01/24
1143,11000,,,455683,04/01/24
2721,11000,,,145824,04/01/24
783,11000,,,99743,04/01/24
2881,11000,,,186880,04/01/24
3533,11000,,,11943,04/01/24
705,11000,,,3798339,04/01/24
2860,11000,,,336515,04/01/24
3061,11000,,,525882,04/01/24
438,11000,,,254665,04/01/24
254,11000,,,1205687,04/01/24
3172,11000,,,150318,04/01/24
3269,11000,,,528888,04/01/24
3202,11000,,,231991,04/01/24
2929,11000,,,7154601,04/01/24
575,11000,,,60734,04/01/24
2602,11000,,,1250032,04/01/24
2684,11000,,,150324,04/01/24
3013,11000,,,605800,04/01/24
3505,11000,,,14822,04/01/24
3535,11000,,,16135,01/01/24
524,11000,,,279017,04/01/24
1049,11000,,,319527,04/01/24
2306,11000,,,7453713,04/01/24
3245,11000,,,259766,04/01/24
3421,11000,,,1220474,04/01/24
3235,11000,,,651270,04/01/24
3500,11000,,,815409,04/01/24
2618,11000,,,1179931,04/01/24
1745,11000,,,1116275,04/01/24
2576,11000,,,371245,04/01/24
3543,11000,,,19718,04/01/24
857,11000,,,221436,04/01/24
3468,11000,,,132431,04/01/24
538,11000,,,62568,04/01/24
53,11000,,,565047,04/01/24
2868,11000,,,68429,04/01/24
3508,11000,,,31801,04/01/24
2766,11000,,,15517830,04/01/24
2789,11000,,,1379245,04/01/24
3166,11000,,,1404965,04/01/24
2557,11000,,,7274802,04/01/24
3124,11000,,,693271,04/01/24
2998,11000,,,6572686,04/01/24
3512,11000,,,60393,04/01/24
3293,11000,,,408901,04/01/24
2374,11000,,,65847,04/01/24
588,11000,,,2693891,04/01/24
2880,11000,,,764941,04/01/24
3379,11000,,,45734,04/01/24
598,11000,,,60887,04/01/24
1319,11000,,,611464,04/01/24
3311,11000,,,6450130,04/01/24
609,11000,,,272597,04/01/24
1281,11000,,,78206,04/01/24
249,11000,,,577677,04/01/24
567,11000,,,769690,04/01/24
503,11000,,,3881,04/01/24
2443,11000,,,2873681,04/01/24
3470,11000,,,2244195,04/01/24
170,11000,,,4779566,04/01/24
2914,11000,,,1572457,04/01/24
2722,11000,,,30679,04/01/24
1829,11000,,,663508,04/01/24
1115,11000,,,105240,04/01/24
3452,11000,,,4027,04/01/24
702,11000,,,383614,04/01/24
1312,11000,,,57897,04/01/24
2490,11000,,,1661079,04/01/24
3510,11000,,,549896,04/01/24
2304,11000,,,1691210,04/01/24
1581,11000,,,1437746,04/01/24
842,11000,,,169105,04/01/24
2252,11000,,,136044,04/01/24
2755,11000,,,804745,04/01/24
2065,11000,,,105810,04/01/24
3001,11000,,,1822245,04/01/24
3017,11000,,,86035,04/01/24
3403,11000,,,536779,04/01/24
3395,11000,,,629428,04/01/24
1352,11000,,,251703,04/01/24
2790,11000,,,8822403,04/01/24
3257,11000,,,59171,04/01/24
3279,11000,,,2373562,04/01/24
3247,11000,,,110548,04/01/24
3463,11000,,,145141,04/01/24
3548,11000,,,0,04/01/24
415,11000,,,5182488,04/01/24
21,11000,,,75950,04/01/24
2216,11000,,,3541173,04/01/24
328,11000,,,38432495,04/01/24
2796,11000,,,26282,04/01/24
2268,11000,,,16261011,04/01/24
1307,11000,,,809599,04/01/24
1455,11000,,,158557,04/01/24
3330,11000,,,939341,04/01/24
875,11000,,,99620,04/01/24
1399,11000,,,113602,04/01/24
990,11000,,,41522,04/01/24
429,11000,,,9407193,04/01/24
2209,11000,,,94781846,04/01/24
2611,11000,,,1761493,04/01/24
1291,11000,,,65663,04/01/24
2659,11000,,,151513,04/01/24
933,11000,,,37675,04/01/24
903,11000,,,218186,04/01/24
3416,11000,,,181098,04/01/24
1818,11000,,,24321,04/01/24
2275,11000,,,20332288,04/01/24
3365,11000,,,905440,04/01/24
1896,11000,,,205248,04/01/24
537,11000,,,68882,04/01/24
2900,11000,,,274524,04/01/24
3173,11000,,,11684,04/01/24
2738,11000,,,1917367,04/01/24
3255,11000,,,8641560,04/01/24
3294,11000,,,6143926,04/01/24
2506,11000,,,747311,04/01/24
354,11000,,,446621839,04/01/24
650,11000,,,22675146,04/01/24
2853,11000,,,62726,04/01/24
3473,11000,,,597897,04/01/24
2590,11000,,,22796601,04/01/24
3077,11000,,,154535,04/01/24
3184,11000,,,14800,04/01/24
3185,11000,,,848092,04/01/24
3529,11000,,,537230,04/01/24
3390,11000,,,196614,04/01/24
685,11000,,,53057,04/01/24
2034,11000,,,35083,04/01/24
2070,11000,,,73703,04/01/24
