"REGN,N,4,0","PLAN,C,1","NUM_SC,C,5","ITOGO,N,33,4","A_P,C,1","DT,D"
2726,А,30213,9205.0000,1,01/01/16
2726,А,47407,0.0000,2,01/01/16
2726,А,47416,0.0000,2,01/01/16
2726,А,60312,39891.0000,1,01/01/16
2726,А,60313,208.0000,2,01/01/16
2726,А,60323,196.0000,1,01/01/16
2726,А,70606,2356158.0000,1,01/01/16
2726,В,91004,0.0000,2,01/01/16
2249,А,30110,35000.0000,1,01/01/16
2249,А,30118,43.0000,1,01/01/16
2249,А,30126,43.0000,2,01/01/16
2249,А,31902,0.0000,1,01/01/16
2249,А,32003,0.0000,1,01/01/16
2249,А,407,952282.0000,2,01/01/16
2249,А,40911,0.0000,2,01/01/16
2249,А,43805,8469.0000,2,01/01/16
2249,А,45208,105184.0000,1,01/01/16
2249,А,45415,683.0000,2,01/01/16
2249,А,45812,13105.0000,1,01/01/16
2249,А,45912,49.0000,1,01/01/16
2249,А,45914,29.0000,1,01/01/16
2249,А,45915,46.0000,1,01/01/16
2249,А,60307,0.0000,2,01/01/16
2249,А,60312,261.0000,1,01/01/16
2249,А,70609,15933.0000,1,01/01/16
2249,В,91317,191118.0000,2,01/01/16
2249,В,91508,912.0000,2,01/01/16
1326,А,20309,829637.0000,2,01/01/16
1326,А,30122,0.0000,2,01/01/16
1326,А,30220,134234.0000,2,01/01/16
1326,А,30221,0.0000,1,01/01/16
1326,А,30236,827414.0000,2,01/01/16
1326,А,30413,63598.0000,1,01/01/16
1326,А,30424,3681034.0000,1,01/01/16
1326,А,31305,4620084.0000,2,01/01/16
1326,А,31402,0.0000,2,01/01/16
1326,А,31406,1603419.0000,2,01/01/16
1326,А,32006,10000000.0000,1,01/01/16
1326,А,32104,14000.0000,1,01/01/16
1326,А,32106,1743944.0000,1,01/01/16
1326,А,32109,6934241.0000,1,01/01/16
1326,А,32204,17629768.0000,1,01/01/16
1326,А,32308,4831282.0000,1,01/01/16
1326,А,408.2,306662348.0000,2,01/01/16
1326,А,40903,13333.0000,2,01/01/16
1326,А,41402,583000.0000,2,01/01/16
1326,А,41403,12088000.0000,2,01/01/16
1326,А,42002,4331158.0000,2,01/01/16
1326,А,42007,9126539.0000,2,01/01/16
1326,А,42102,33094465.0000,2,01/01/16
1326,А,42104,14972421.0000,2,01/01/16
1326,А,42106,30054584.0000,2,01/01/16
1326,А,42304,6825371.0000,2,01/01/16
1326,А,42305,220414276.0000,2,01/01/16
1326,А,42315,11439.0000,2,01/01/16
1326,А,43701,60105.0000,2,01/01/16
1326,А,44003,0.0000,2,01/01/16
1326,А,45105,7484920.0000,1,01/01/16
1326,А,45106,1520541.0000,1,01/01/16
1326,А,45201,1268639.0000,1,01/01/16
1326,А,45502,23065.0000,1,01/01/16
1326,А,45504,100782.0000,1,01/01/16
1326,А,45509,12200735.0000,1,01/01/16
1326,А,45615,32052620.0000,2,01/01/16
1326,А,45707,6268.0000,1,01/01/16
1326,А,45715,428.0000,2,01/01/16
1326,А,45906,0.0000,1,01/01/16
1326,А,45916,0.0000,1,01/01/16
1326,А,47801,1065.0000,1,01/01/16
1326,А,50308,3898007.0000,1,01/01/16
1326,А,50905,0.0000,1,01/01/16
1326,А,52303,1064322.0000,2,01/01/16
1326,А,52305,4996571.0000,2,01/01/16
1326,А,52602,53578125.0000,2,01/01/16
1326,А,60202,1552877.0000,1,01/01/16
1326,А,60306,10964.0000,1,01/01/16
1326,А,60307,335.0000,2,01/01/16
1326,А,61002,17108.0000,1,01/01/16
1326,А,61210,0.0000,1,01/01/16
1326,А,61212,0.0000,1,01/01/16
1326,В,90702,16.0000,1,01/01/16
1326,В,91203,538.0000,1,01/01/16
1326,В,91316,51321874.0000,2,01/01/16
1326,В,91412,36577215.0000,1,01/01/16
1326,Г,93301,0.0000,1,01/01/16
1326,Г,93403,93389.0000,1,01/01/16
1326,Г,93411,0.0000,1,01/01/16
1326,Г,93502,0.0000,1,01/01/16
