"REGN,N,4,0","CODE,C,5","SIM_R,N,16,0","SIM_V,N,16,0","SIM_ITOGO,N,16,0","DT,D"
567,11000,,,920257,07/01/23
212,11000,,,973274,07/01/23
1,11000,,,39757343,07/01/23
3520,11000,,,3199,07/01/23
316,11000,,,17207815,07/01/23
3176,11000,,,287296,07/01/23
2766,11000,,,14370499,07/01/23
3450,11000,,,1479992,07/01/23
1481,11000,,,1691631465,07/01/23
2506,11000,,,902288,07/01/23
3172,11000,,,153049,07/01/23
254,11000,,,1522437,07/01/23
2312,11000,,,59813514,07/01/23
3202,11000,,,314822,07/01/23
3446,11000,,,1770932,07/01/23
2611,11000,,,1680944,07/01/23
2883,11000,,,162487,07/01/23
1143,11000,,,369787,07/01/23
1352,11000,,,381825,07/01/23
1052,11000,,,240774,07/01/23
3318,11000,,,3144,07/01/23
328,11000,,,45941289,07/01/23
436,11000,,,33641098,07/01/23
965,11000,,,435004,07/01/23
2609,11000,,,110390,07/01/23
3224,11000,,,332107,07/01/23
2275,11000,,,28399503,07/01/23
493,11000,,,2829249,07/01/23
444,11000,,,40450,07/01/23
3324,11000,,,45149,07/01/23
3279,11000,,,9453335,07/01/23
575,11000,,,55806,07/01/23
2650,11000,,,110672,07/01/23
3292,11000,,,52030629,07/01/23
3303,11000,,,1036560,07/01/23
2443,11000,,,2827744,07/01/23
685,11000,,,46144,07/01/23
3293,11000,,,369639,07/01/23
963,11000,,,107373079,07/01/23
875,11000,,,107517,07/01/23
1049,11000,,,437401,07/01/23
2546,11000,,,28078334,07/01/23
1637,11000,,,2733335,07/01/23
236,11000,,,46155,07/01/23
3505,11000,,,16920,07/01/23
3298,11000,,,49160,07/01/23
1319,11000,,,828930,07/01/23
3095,11000,,,20601,07/01/23
106,11000,,,96692,07/01/23
1720,11000,,,431669,07/01/23
2964,11000,,,144755,07/01/23
2584,11000,,,1627518,07/01/23
1455,11000,,,217196,07/01/23
2799,11000,,,309286,07/01/23
3390,11000,,,243688,07/01/23
2830,11000,,,53474,07/01/23
3185,11000,,,651005,07/01/23
3300,11000,,,865315,07/01/23
2304,11000,,,2575908,07/01/23
2867,11000,,,794136,07/01/23
1949,11000,,,92384,07/01/23
354,11000,,,448098105,07/01/23
3518,11000,,,46,07/01/23
3136,11000,,,31129,07/01/23
783,11000,,,100245,07/01/23
2789,11000,,,1687685,07/01/23
3340,11000,,,4037186,07/01/23
2407,11000,,,25468,07/01/23
3494,11000,,,3576130,07/01/23
