"REGN,N,4,0","PLAN,C,1","NUM_SC,C,5","ITOGO,N,33,4","A_P,C,1","DT,D"
1326,А,20309,861638.0000,2,07/01/16
1326,А,30220,2207102.0000,2,07/01/16
1326,А,30221,107398.0000,1,07/01/16
1326,А,30236,2882264.0000,2,07/01/16
1326,А,30413,772483.0000,1,07/01/16
1326,А,30424,2503997.0000,1,07/01/16
1326,А,31305,1650000.0000,2,07/01/16
1326,А,31402,2228000.0000,2,07/01/16
1326,А,31406,469806.0000,2,07/01/16
1326,А,31505,3606733.0000,2,07/01/16
1326,А,32006,10300000.0000,1,07/01/16
1326,А,32104,0.0000,1,07/01/16
1326,А,32106,13104360.0000,1,07/01/16
1326,А,32109,0.0000,1,07/01/16
1326,А,32204,3850786.0000,1,07/01/16
1326,А,32308,2839687.0000,1,07/01/16
1326,А,32501,0.0000,1,07/01/16
1326,А,408.2,315855146.0000,2,07/01/16
1326,А,40903,11292.0000,2,07/01/16
1326,А,41402,0.0000,2,07/01/16
1326,А,42002,588003.0000,2,07/01/16
1326,А,42007,8348512.0000,2,07/01/16
1326,А,42102,29374611.0000,2,07/01/16
1326,А,42104,6218778.0000,2,07/01/16
1326,А,42106,10450761.0000,2,07/01/16
1326,А,42304,8692379.0000,2,07/01/16
1326,А,42305,212368779.0000,2,07/01/16
1326,А,42315,11472.0000,2,07/01/16
1326,А,43701,775034.0000,2,07/01/16
1326,А,45105,112856.0000,1,07/01/16
1326,А,45106,1421099.0000,1,07/01/16
1326,А,45201,1841884.0000,1,07/01/16
1326,А,45502,86823.0000,1,07/01/16
1326,А,45504,460689.0000,1,07/01/16
1326,А,45509,11495611.0000,1,07/01/16
1326,А,45615,23466212.0000,2,07/01/16
1326,А,45707,6293.0000,1,07/01/16
1326,А,45715,4574.0000,2,07/01/16
1326,А,47801,1006.0000,1,07/01/16
1326,А,50105,493889.0000,1,07/01/16
1326,А,50308,2691328.0000,1,07/01/16
1326,А,50905,9.0000,1,07/01/16
1326,А,52303,270520.0000,2,07/01/16
1326,А,52305,11835929.0000,2,07/01/16
1326,А,52602,38981215.0000,2,07/01/16
1326,А,60202,1619884.0000,1,07/01/16
1326,А,60306,58086.0000,1,07/01/16
1326,А,60307,348.0000,2,07/01/16
1326,А,61002,459.0000,1,07/01/16
1326,А,61210,0.0000,1,07/01/16
1326,А,61212,0.0000,1,07/01/16
1326,А,62001,131614.0000,1,07/01/16
1326,В,90702,16.0000,1,07/01/16
1326,В,91203,439.0000,1,07/01/16
1326,В,91316,53367168.0000,2,07/01/16
1326,В,91412,3780000.0000,1,07/01/16
1326,Г,93301,34120735.0000,1,07/01/16
1326,Г,93403,0.0000,1,07/01/16
1326,Г,93502,546423.0000,1,07/01/16
1326,Г,96302,78779301.0000,2,07/01/16
1326,Г,96312,349669585.0000,2,07/01/16
1326,Г,96408,0.0000,2,07/01/16
1326,Г,96507,1073682.0000,2,07/01/16
1326,Д,98020,0.0000,1,07/01/16
1326,Д,98040,1013850982.2700,2,07/01/16
1326,Д,98053,0.0000,2,07/01/16
2249,А,30110,19835.0000,1,07/01/16
2249,А,30118,43.0000,1,07/01/16
2249,А,30126,114.0000,2,07/01/16
2249,А,31902,465000.0000,1,07/01/16
2249,А,407,665781.0000,2,07/01/16
2249,А,40911,0.0000,2,07/01/16
2249,А,42102,0.0000,2,07/01/16
2249,А,43805,8079.0000,2,07/01/16
2249,А,45208,46878.0000,1,07/01/16
2249,А,45415,505.0000,2,07/01/16
2249,А,45812,11682.0000,1,07/01/16
2249,А,45915,42.0000,1,07/01/16
2249,А,60307,0.0000,2,07/01/16
2249,А,60312,1128.0000,1,07/01/16
2249,А,60336,0.0000,1,07/01/16
2249,А,60903,919.0000,2,07/01/16
2249,А,61907,11192.0000,1,07/01/16
2249,А,70609,10211.0000,1,07/01/16
2249,В,91317,37928.0000,2,07/01/16
2249,В,91508,912.0000,2,07/01/16
2726,А,30213,15169.0000,1,07/01/16
2726,А,47407,0.0000,2,07/01/16
2726,А,47416,0.0000,2,07/01/16
2726,А,60312,2866.0000,1,07/01/16
2726,А,60313,0.0000,2,07/01/16
2726,А,60323,228.0000,1,07/01/16
2726,А,60414,119219.0000,2,07/01/16
2726,А,70606,1286426.0000,1,07/01/16
2726,В,91004,0.0000,2,07/01/16
1326,А,20208,36190312.0000,1,07/01/16
1326,А,30110,3857776.0000,1,07/01/16
1326,А,30204,6569819.0000,1,07/01/16
1326,А,30232,12326795.0000,2,07/01/16
1326,А,30233,3736740.0000,1,07/01/16
1326,А,30306,2670322390.0000,1,07/01/16
1326,А,31207,3564000.0000,2,07/01/16
1326,А,31303,18640000.0000,2,07/01/16
1326,А,31403,950000.0000,2,07/01/16
1326,А,31501,9670697.0000,2,07/01/16
1326,А,31503,21621015.0000,2,07/01/16
1326,А,40901,793972.0000,2,07/01/16
1326,А,41502,0.0000,2,07/01/16
1326,А,41503,0.0000,2,07/01/16
1326,А,42107,699600.0000,2,07/01/16
1326,А,42307,0.0000,2,07/01/16
1326,А,42504,1614150.0000,2,07/01/16
1326,А,42505,512009.0000,2,07/01/16
1326,А,42601,133552.0000,2,07/01/16
1326,А,44607,8798797.0000,1,07/01/16
1326,А,45205,29023281.0000,1,07/01/16
1326,А,45704,3561.0000,1,07/01/16
1326,А,45911,12421.0000,1,07/01/16
1326,А,47001,0.0000,1,07/01/16
1326,А,47008,1186.0000,2,07/01/16
1326,А,47103,5337459.0000,1,07/01/16
1326,А,47423,19442370.0000,1,07/01/16
1326,А,47425,28594928.0000,2,07/01/16
1326,А,47427,3759797.0000,1,07/01/16
1326,А,47431,2854660.0000,1,07/01/16
1326,А,50207,845697.0000,1,07/01/16
1326,А,50208,22835447.0000,1,07/01/16
1326,А,50209,70738377.0000,1,07/01/16
1326,А,50211,54089662.0000,1,07/01/16
1326,А,50218,0.0000,1,07/01/16
1326,А,50605,0.0000,1,07/01/16
1326,А,50606,110705.0000,1,07/01/16
1326,А,50620,156221.0000,2,07/01/16
1326,А,50719,141.0000,2,07/01/16
1326,А,52304,415089.0000,2,07/01/16
1326,А,60103,15466034.0000,1,07/01/16
1326,А,60106,447000.0000,1,07/01/16
1326,А,60312,2519248.0000,1,07/01/16
1326,А,60414,11265114.0000,2,07/01/16
1326,А,61008,6238.0000,1,07/01/16
1326,А,61209,0.0000,1,07/01/16
1326,А,61213,0.0000,1,07/01/16
1326,А,61601,0.0000,1,07/01/16
1326,А,62103,1491.0000,2,07/01/16
1326,А,70603,2163711442.0000,2,07/01/16
1326,В,90701,60.0000,1,07/01/16
1326,В,91202,2005.0000,1,07/01/16
1326,В,91501,508230.0000,1,07/01/16
1326,В,91508,1793.0000,2,07/01/16
1326,В,91803,1020779.0000,1,07/01/16
1326,В,99999,5708860404.0000,2,07/01/16
1326,Г,93302,78081314.0000,1,07/01/16
1326,Г,93404,0.0000,1,07/01/16
1326,Г,96311,1303511.0000,2,07/01/16
1326,Г,99996,1604417632.0000,1,07/01/16
1326,Г,99997,1614917075.0000,2,07/01/16
1326,Д,98050,664931056361240.0000,2,07/01/16
2249,А,10701,14100.0000,2,07/01/16
2249,А,20209,0.0000,1,07/01/16
2249,А,30210,0.0000,1,07/01/16
2249,А,30305,1197705.0000,2,07/01/16
2249,А,408.1,13377.0000,2,07/01/16
2249,А,45815,7121.0000,1,07/01/16
2249,А,45918,42.0000,2,07/01/16
2249,А,47407,0.0000,2,07/01/16
2249,А,47411,2820.0000,2,07/01/16
2249,А,47415,9869.0000,1,07/01/16
2249,А,47422,1944.0000,2,07/01/16
2249,А,47425,79736.0000,2,07/01/16
2249,А,47427,0.0000,1,07/01/16
2249,А,52406,0.0000,2,07/01/16
2249,А,60301,1005.0000,2,07/01/16
2249,А,60306,0.0000,1,07/01/16
2249,А,60314,147.0000,1,07/01/16
2249,А,60401,32554.0000,1,07/01/16
2249,А,70606,262543.0000,1,07/01/16
2249,В,90901,809154.0000,1,07/01/16
2726,А,30221,0.0000,1,07/01/16
2726,А,47427,285.0000,1,07/01/16
2726,А,60901,66354.0000,1,07/01/16
2726,А,61403,37857.0000,1,07/01/16
1326,А,10605,153362.0000,1,07/01/16
1326,А,31409,386442.0000,2,07/01/16
1326,А,31702,0.0000,2,07/01/16
1326,А,32102,19303412.0000,1,07/01/16
1326,А,32211,894020.0000,2,07/01/16
1326,А,408.1,33306372.0000,2,07/01/16
1326,А,40902,27325482.0000,2,07/01/16
1326,А,41102,4500000.0000,2,07/01/16
1326,А,42001,11606.0000,2,07/01/16
1326,А,42004,401300.0000,2,07/01/16
1326,А,42105,49565405.0000,2,07/01/16
1326,А,42301,4370627.0000,2,07/01/16
1326,А,42309,374981.0000,2,07/01/16
1326,А,42314,19461.0000,2,07/01/16
1326,А,42604,197448.0000,2,07/01/16
1326,А,42612,19.0000,2,07/01/16
1326,А,42613,603.0000,2,07/01/16
1326,А,44001,0.0000,2,07/01/16
1326,А,44908,1157980.0000,1,07/01/16
1326,А,45204,11778777.0000,1,07/01/16
1326,А,45207,204202538.0000,1,07/01/16
1326,А,45507,56076523.0000,1,07/01/16
1326,А,45603,12143400.0000,1,07/01/16
1326,А,45604,6457922.0000,1,07/01/16
1326,А,45606,108035535.0000,1,07/01/16
1326,А,45811,7440153.0000,1,07/01/16
1326,А,45817,21620.0000,1,07/01/16
1326,А,47303,0.0000,1,07/01/16
1326,А,47404,13168833.0000,1,07/01/16
1326,А,47405,15.0000,2,07/01/16
1326,А,50106,680827.0000,1,07/01/16
1326,А,50110,14592630.0000,1,07/01/16
1326,А,50121,615027.0000,1,07/01/16
1326,А,50318,0.0000,1,07/01/16
1326,А,50507,47394.0000,2,07/01/16
1326,А,50709,15595920.0000,1,07/01/16
1326,А,51505,0.0000,1,07/01/16
1326,А,52006,52088135.0000,2,07/01/16
1326,А,52407,0.0000,2,07/01/16
1326,А,60311,125115.0000,2,07/01/16
1326,А,60315,0.0000,1,07/01/16
1326,А,60324,1643186.0000,2,07/01/16
1326,А,60336,112699.0000,1,07/01/16
1326,А,61010,0.0000,1,07/01/16
