"REGN,N,4,0","PLAN,C,1","NUM_SC,C,5","ITOGO,N,21,4","A_P,C,1","DT,D"
2,А,10204,34277.0000,2,04/01/07
2,А,10205,34723.0000,2,04/01/07
2,А,10304,1149.0000,2,04/01/07
2,А,10305,851.0000,2,04/01/07
2,А,10601,918.0000,2,04/01/07
2,А,10602,269000.0000,2,04/01/07
2,А,10701,12003.0000,2,04/01/07
2,А,10702,4787.0000,2,04/01/07
2,А,10703,28789.0000,2,04/01/07
2,А,10704,874.0000,2,04/01/07
2,А,20202,25873.0000,1,04/01/07
2,А,20203,121.0000,1,04/01/07
2,А,20206,0.0000,1,04/01/07
2,А,20209,8737.0000,1,04/01/07
2,А,20210,0.0000,1,04/01/07
2,А,30102,18913.0000,1,04/01/07
2,А,30110,5601.0000,1,04/01/07
2,А,30114,3064.0000,1,04/01/07
2,А,30202,12614.0000,1,04/01/07
2,А,30204,2961.0000,1,04/01/07
2,А,30220,0.0000,2,04/01/07
2,А,30221,0.0000,1,04/01/07
2,А,30223,27520.0000,2,04/01/07
2,А,30232,363.0000,2,04/01/07
2,А,30233,186.0000,1,04/01/07
2,А,30301,10474.0000,2,04/01/07
2,А,30302,10474.0000,1,04/01/07
2,А,30305,9500.0000,2,04/01/07
2,А,30306,9500.0000,1,04/01/07
2,А,30402,35.0000,1,04/01/07
2,А,30602,3224.0000,1,04/01/07
2,А,31302,0.0000,2,04/01/07
2,А,31303,0.0000,2,04/01/07
2,А,31304,13006.0000,2,04/01/07
2,А,31305,10406.0000,2,04/01/07
2,А,32201,4500.0000,1,04/01/07
2,А,40601,2.0000,2,04/01/07
2,А,40602,1.0000,2,04/01/07
2,А,40701,6.0000,2,04/01/07
2,А,40702,160642.0000,2,04/01/07
2,А,40703,10508.0000,2,04/01/07
2,А,40802,3771.0000,2,04/01/07
2,А,40804,1.0000,2,04/01/07
2,А,40807,868.0000,2,04/01/07
2,А,40814,27.0000,2,04/01/07
2,А,40817,14874.0000,2,04/01/07
2,А,40820,269.0000,2,04/01/07
2,А,40901,0.0000,2,04/01/07
