"REGN,N,4,0","PLAN,C,1","NUM_SC,C,5","ITOGO,N,33,4","A_P,C,1","DT,D"
101,А,10207,1558500.0000,2,07/01/13
101,А,10602,60200.0000,2,07/01/13
101,А,10603,68344.0000,2,07/01/13
101,А,10605,21253.0000,1,07/01/13
101,А,10701,36946.0000,2,07/01/13
101,А,10801,519681.0000,2,07/01/13
101,А,20202,2084595.0000,1,07/01/13
101,А,20208,76092.0000,1,07/01/13
101,А,20209,223249.0000,1,07/01/13
101,А,30102,165116.0000,1,07/01/13
101,А,30110,41448.0000,1,07/01/13
101,А,30114,651040.0000,1,07/01/13
101,А,30126,268.0000,2,07/01/13
101,А,30202,82386.0000,1,07/01/13
101,А,30204,61040.0000,1,07/01/13
101,А,30210,0.0000,1,07/01/13
101,А,30221,0.0000,1,07/01/13
101,А,30226,916.0000,2,07/01/13
101,А,30232,0.0000,2,07/01/13
101,А,30233,1324.0000,1,07/01/13
101,А,30301,4225394.0000,2,07/01/13
101,А,30302,4225394.0000,1,07/01/13
101,А,30305,0.0000,2,07/01/13
101,А,30306,0.0000,1,07/01/13
101,А,30413,10704.0000,1,07/01/13
101,А,30424,49849.0000,1,07/01/13
101,А,30425,7617.0000,1,07/01/13
101,А,30602,0.0000,1,07/01/13
101,А,30606,10599.0000,2,07/01/13
101,А,30607,0.0000,2,07/01/13
101,А,31302,0.0000,2,07/01/13
101,А,31303,40000.0000,2,07/01/13
101,А,31304,0.0000,2,07/01/13
101,А,31501,20432.0000,2,07/01/13
101,А,31502,0.0000,2,07/01/13
101,А,31503,14483.0000,2,07/01/13
101,А,31903,2800000.0000,1,07/01/13
101,А,32007,430000.0000,1,07/01/13
101,А,32201,17483.0000,1,07/01/13
101,А,32202,0.0000,1,07/01/13
101,А,32203,17200.0000,1,07/01/13
101,А,32211,0.0000,2,07/01/13
101,А,32901,337602.0000,2,07/01/13
101,А,32902,0.0000,1,07/01/13
101,А,40502,54.0000,2,07/01/13
101,А,40602,1.0000,2,07/01/13
101,А,40701,5281875.0000,2,07/01/13
101,А,40702,563137.0000,2,07/01/13
101,А,40703,8061.0000,2,07/01/13
101,А,40802,17396.0000,2,07/01/13
101,А,40807,2795021.0000,2,07/01/13
101,А,40817,1124142.0000,2,07/01/13
101,А,40820,14031.0000,2,07/01/13
101,А,40903,0.0000,2,07/01/13
