"REGN,N,4,0","PLAN,C,1","NUM_SC,C,5","ITOGO,N,33,4","A_P,C,1","DT,D"
3298,А,20209,0.0000,1,04/01/14
3298,А,30102,52409.0000,1,04/01/14
3298,А,30232,0.0000,2,04/01/14
3298,А,40702,72450.0000,2,04/01/14
3298,А,40703,352.0000,2,04/01/14
3298,А,45207,466664.0000,1,04/01/14
3298,А,45505,2430.0000,1,04/01/14
3298,А,45515,23439.0000,2,04/01/14
3298,А,47423,6.0000,1,04/01/14
3298,А,61011,9092.0000,1,04/01/14
3298,А,70603,7301.0000,2,04/01/14
3298,В,99998,576174.0000,1,04/01/14
3166,А,10801,2752277.0000,2,04/01/14
3166,А,30109,4977188.0000,2,04/01/14
3166,А,30223,0.0000,2,04/01/14
3166,А,30602,0.0000,1,04/01/14
3166,А,31903,0.0000,1,04/01/14
3166,А,32303,0.0000,1,04/01/14
3166,А,40701,5376.0000,2,04/01/14
3166,А,47403,0.0000,2,04/01/14
3166,А,60305,0.0000,2,04/01/14
3166,А,60901,2175.0000,1,04/01/14
3166,В,91508,1051.0000,2,04/01/14
1281,А,40502,294.0000,2,04/01/14
1281,А,40703,18900.0000,2,04/01/14
1281,А,40913,0.0000,2,04/01/14
1281,А,42107,105000.0000,2,04/01/14
1281,А,42205,1995.0000,2,04/01/14
1281,А,45408,99665.0000,1,04/01/14
1281,А,45505,3346.0000,1,04/01/14
1281,А,45818,10577.0000,2,04/01/14
1281,А,45912,81.0000,1,04/01/14
1281,А,60305,0.0000,2,04/01/14
1281,А,60309,15.0000,2,04/01/14
1281,А,60404,21820.0000,1,04/01/14
1281,В,91315,2223.0000,2,04/01/14
1281,В,99998,1766719.0000,1,04/01/14
2309,А,10605,287.0000,1,04/01/14
2309,А,30305,6237668.0000,2,04/01/14
2309,А,31307,7473.0000,2,04/01/14
2309,А,31903,0.0000,1,04/01/14
2309,А,32205,28167.0000,1,04/01/14
2309,А,42102,685687.0000,2,04/01/14
2309,А,45208,0.0000,1,04/01/14
2309,А,45507,10807.0000,1,04/01/14
2309,А,47411,2518.0000,2,04/01/14
2309,А,47418,0.0000,2,04/01/14
2309,А,47425,13824.0000,2,04/01/14
2309,А,60313,0.0000,2,04/01/14
2309,А,70601,1026518.0000,2,04/01/14
2309,А,70701,1296711.0000,2,04/01/14
2309,В,90701,1.0000,1,04/01/14
2309,В,91003,0.0000,2,04/01/14
2309,В,91316,0.0000,2,04/01/14
2309,В,91317,637666.0000,2,04/01/14
