"REGN,N,4,0","CODE,C,5","SIM_R,N,16,0","SIM_V,N,16,0","SIM_ITOGO,N,16,0","DT,D"
2830,11000,,,178385,07/01/25
1151,11000,,,118933,07/01/25
3176,11000,,,462626,07/01/25
3512,11000,,,252133,07/01/25
2210,11000,,,33060805,07/01/25
2799,11000,,,1062118,07/01/25
2802,11000,,,195719,07/01/25
2568,11000,,,120262,07/01/25
1067,11000,,,5456928,07/01/25
2995,11000,,,534597,07/01/25
3124,11000,,,1369394,07/01/25
3318,11000,,,7808,07/01/25
2611,11000,,,4154233,07/01/25
3337,11000,,,3070577,07/01/25
503,11000,,,23403,07/01/25
2682,11000,,,644210,07/01/25
3354,11000,,,10781490,07/01/25
554,11000,,,4907296,07/01/25
2587,11000,,,1941329,07/01/25
2860,11000,,,809077,07/01/25
3172,11000,,,419971,07/01/25
665,11000,,,590814,07/01/25
2557,11000,,,11986257,07/01/25
990,11000,,,239372,07/01/25
3500,11000,,,1996538,07/01/25
1829,11000,,,1664876,07/01/25
2776,11000,,,1336503,07/01/25
3271,11000,,,291710,07/01/25
1966,11000,,,3653276,07/01/25
1481,11000,,,3977653011,07/01/25
3554,11000,,,0,07/01/25
2590,11000,,,63340892,07/01/25
429,11000,,,21807303,07/01/25
1788,11000,,,94223,07/01/25
2738,11000,,,4505643,07/01/25
1326,11000,,,961324995,07/01/25
843,11000,,,4247365,07/01/25
685,11000,,,91869,07/01/25
3173,11000,,,38922,07/01/25
2312,11000,,,231545415,07/01/25
3533,11000,,,111863,07/01/25
2609,11000,,,78729,07/01/25
3547,11000,,,68619,07/01/25
2867,11000,,,3798438,07/01/25
77,11000,,,1844317,07/01/25
817,11000,,,154249,07/01/25
1720,11000,,,774605,07/01/25
3136,11000,,,70871,07/01/25
3557,11000,,,0,07/01/25
3463,11000,,,372139,07/01/25
2853,11000,,,192213,07/01/25
963,11000,,,299228205,07/01/25
2629,11000,,,2657534,07/01/25
3417,11000,,,996865,07/01/25
2494,11000,,,1699081,07/01/25
3396,11000,,,2879877,07/01/25
3523,11000,,,268167,07/01/25
67,11000,,,2270987,07/01/25
2216,11000,,,10101949,07/01/25
3473,11000,,,1296265,07/01/25
2881,11000,,,710372,07/01/25
2929,11000,,,16266813,07/01/25
933,11000,,,83706,07/01/25
3185,11000,,,2329884,07/01/25
3255,11000,,,23499744,07/01/25
538,11000,,,284666,07/01/25
3525,11000,,,2970188,07/01/25
2407,11000,,,45197,07/01/25
3013,11000,,,2125945,07/01/25
875,11000,,,261777,07/01/25
2574,11000,,,216578,07/01/25
1920,11000,,,1849312,07/01/25
3292,11000,,,100355992,07/01/25
604,11000,,,778265,07/01/25
3333,11000,,,2496399,07/01/25
1949,11000,,,706054,07/01/25
1810,11000,,,23867289,07/01/25
3548,11000,,,207757,07/01/25
3452,11000,,,19950,07/01/25
2763,11000,,,10277021,07/01/25
2721,11000,,,396739,07/01/25
3517,11000,,,0,07/01/25
3550,11000,,,45599,07/01/25
702,11000,,,840899,07/01/25
2506,11000,,,2974813,07/01/25
2868,11000,,,313910,07/01/25
1143,11000,,,1822130,07/01/25
2518,11000,,,18182891,07/01/25
2390,11000,,,1110669,07/01/25
2990,11000,,,76023,07/01/25
438,11000,,,1008021,07/01/25
2880,11000,,,2060640,07/01/25
2245,11000,,,84899,07/01/25
256,11000,,,893843,07/01/25
3166,11000,,,3659830,07/01/25
2748,11000,,,135497378,07/01/25
3535,11000,,,21658,07/01/25
3544,11000,,,64963,07/01/25
3416,11000,,,856631,07/01/25
3330,11000,,,4017028,07/01/25
2659,11000,,,444766,07/01/25
2838,11000,,,544375,07/01/25
3395,11000,,,2780510,07/01/25
