"REGN,N,4,0","CODE,C,5","SIM_R,N,16,0","SIM_V,N,16,0","SIM_ITOGO,N,16,0","DT,D"
3522,11000,,,2615990,01/01/24
1343,11000,,,11033582,01/01/24
1052,11000,,,550510,01/01/24
2914,11000,,,3644872,01/01/24
2506,11000,,,2149775,01/01/24
1046,11000,,,67796,01/01/24
2995,11000,,,606577,01/01/24
3413,11000,,,284764,01/01/24
3454,11000,,,2049079,01/01/24
817,11000,,,220115,01/01/24
3547,11000,,,0,01/01/24
1144,11000,,,405825,01/01/24
2103,11000,,,445833,01/01/24
1745,11000,,,3886028,01/01/24
1788,11000,,,114621,01/01/24
1291,11000,,,163028,01/01/24
2618,11000,,,3920764,01/01/24
567,11000,,,2150481,01/01/24
3452,11000,,,11596,01/01/24
254,11000,,,3481060,01/01/24
1143,11000,,,989205,01/01/24
2611,11000,,,4383300,01/01/24
2929,11000,,,14904364,01/01/24
3252,11000,,,14835479,01/01/24
650,11000,,,73079505,01/01/24
708,11000,,,1554376,01/01/24
3333,11000,,,4978365,01/01/24
1810,11000,,,20331368,01/01/24
2312,11000,,,150546759,01/01/24
3538,11000,,,262887,01/01/24
903,11000,,,637886,01/01/24
2990,11000,,,102742,01/01/24
841,11000,,,85675,01/01/24
3194,11000,,,562487,01/01/24
3542,11000,,,2743282,01/01/24
2996,11000,,,159838,01/01/24
3539,11000,,,969660,01/01/24
2551,11000,,,3931738,01/01/24
3396,11000,,,1965379,01/01/24
2638,11000,,,1182462,01/01/24
2546,11000,,,70227017,01/01/24
3176,11000,,,458584,01/01/24
2245,11000,,,74262,01/01/24
3518,11000,,,2936,01/01/24
3540,11000,,,1029114,01/01/24
1049,11000,,,988536,01/01/24
575,11000,,,147224,01/01/24
415,11000,,,13663886,01/01/24
3479,11000,,,1556986,01/01/24
2645,11000,,,742147,01/01/24
3473,11000,,,1810079,01/01/24
3354,11000,,,23256147,01/01/24
67,11000,,,2592842,01/01/24
2876,11000,,,129240,01/01/24
3541,11000,,,42097,01/01/24
3468,11000,,,307938,01/01/24
3460,11000,,,140289,01/01/24
354,11000,,,1125777838,01/01/24
3500,11000,,,3364130,01/01/24
1,11000,,,91206161,01/01/24
2559,11000,,,1302805,01/01/24
1966,11000,,,3492185,01/01/24
3077,11000,,,636041,01/01/24
1329,11000,,,1307153,01/01/24
2853,11000,,,199653,01/01/24
3290,11000,,,2633471,01/01/24
2208,11000,,,1248542,01/01/24
256,11000,,,779652,01/01/24
3185,11000,,,1834147,01/01/24
2490,11000,,,5070118,01/01/24
2766,11000,,,37248771,01/01/24
2,11000,,,194273,01/01/24
2789,11000,,,3988724,01/01/24
3520,11000,,,8204,01/01/24
3529,11000,,,2087031,01/01/24
316,11000,,,35672841,01/01/24
2564,11000,,,368987,01/01/24
2272,11000,,,150649059,01/01/24
3524,11000,,,609223,01/01/24
2587,11000,,,1977703,01/01/24
1354,11000,,,38543559,01/01/24
2576,11000,,,1261194,01/01/24
2306,11000,,,24804876,01/01/24
1557,11000,,,13171641,01/01/24
2530,11000,,,116155,01/01/24
2905,11000,,,178432,01/01/24
3517,11000,,,4880,01/01/24
2584,11000,,,3720649,01/01/24
2877,11000,,,170602,01/01/24
1927,11000,,,4246922,01/01/24
702,11000,,,1372404,01/01/24
1312,11000,,,168293,01/01/24
2499,11000,,,171117,01/01/24
2268,11000,,,50905499,01/01/24
3407,11000,,,2720457,01/01/24
1481,11000,,,3953577853,01/01/24
1732,11000,,,94573,01/01/24
2034,11000,,,92174,01/01/24
1573,11000,,,3917796,01/01/24
481,11000,,,1685076,01/01/24
598,11000,,,191914,01/01/24
3061,11000,,,1346214,01/01/24
2998,11000,,,44783170,01/01/24
3463,11000,,,360365,01/01/24
3543,11000,,,44602,01/01/24
2443,11000,,,7531920,01/01/24
554,11000,,,7710403,01/01/24
3235,11000,,,2534836,01/01/24
3436,11000,,,411748,01/01/24
2602,11000,,,3665507,01/01/24
2209,11000,,,327615020,01/01/24
3175,11000,,,449052,01/01/24
2763,11000,,,14521370,01/01/24
2574,11000,,,229306,01/01/24
3512,11000,,,124744,01/01/24
1326,11000,,,658056291,01/01/24
963,11000,,,257577702,01/01/24
3340,11000,,,8875811,01/01/24
1067,11000,,,3773899,01/01/24
1818,11000,,,66496,01/01/24
3533,11000,,,15904,01/01/24
2802,11000,,,173824,01/01/24
3242,11000,,,12917,01/01/24
1978,11000,,,411005107,01/01/24
524,11000,,,1146620,01/01/24
2721,11000,,,483166,01/01/24
2065,11000,,,330561,01/01/24
2440,11000,,,16979259,01/01/24
3136,11000,,,69990,01/01/24
1370,11000,,,328772,01/01/24
1885,11000,,,8054334,01/01/24
121,11000,,,7667220,01/01/24
3507,11000,,,40915,01/01/24
3166,11000,,,3220917,01/01/24
3161,11000,,,689149,01/01/24
857,11000,,,494044,01/01/24
3298,11000,,,103516,01/01/24
3365,11000,,,2541135,01/01/24
2761,11000,,,13205,01/01/24
2997,11000,,,2107114,01/01/24
2557,11000,,,23199551,01/01/24
2494,11000,,,498563,01/01/24
1581,11000,,,4175697,01/01/24
2590,11000,,,64507042,01/01/24
2726,11000,,,5640,01/01/24
609,11000,,,769034,01/01/24
2722,11000,,,93415,01/01/24
1809,11000,,,167467,01/01/24
1829,11000,,,2284366,01/01/24
2170,11000,,,4509569,01/01/24
3467,11000,,,210521,01/01/24
3293,11000,,,993413,01/01/24
2119,11000,,,1469450,01/01/24
2390,11000,,,1048414,01/01/24
2772,11000,,,1500267,01/01/24
2707,11000,,,17675049,01/01/24
2168,11000,,,32845280,01/01/24
1747,11000,,,109065,01/01/24
3535,11000,,,16135,01/01/24
1659,11000,,,616783,01/01/24
3172,11000,,,397754,01/01/24
1319,11000,,,1906799,01/01/24
3306,11000,,,36136,01/01/24
249,11000,,,2243755,01/01/24
1281,11000,,,227299,01/01/24
236,11000,,,110169,01/01/24
2650,11000,,,254615,01/01/24
2816,11000,,,6424430,01/01/24
53,11000,,,1802185,01/01/24
21,11000,,,238997,01/01/24
2216,11000,,,9071205,01/01/24
170,11000,,,10196819,01/01/24
1000,11000,,,1894000357,01/01/24
3511,11000,,,203774,01/01/24
3388,11000,,,10076355,01/01/24
3247,11000,,,514875,01/01/24
2796,11000,,,102643,01/01/24
3324,11000,,,111738,01/01/24
2252,11000,,,450086,01/01/24
1896,11000,,,636438,01/01/24
2799,11000,,,951484,01/01/24
902,11000,,,2409977,01/01/24
3525,11000,,,3518358,01/01/24
537,11000,,,189245,01/01/24
2673,11000,,,267556111,01/01/24
2755,11000,,,1740785,01/01/24
2682,11000,,,424839,01/01/24
3223,11000,,,475202,01/01/24
2438,11000,,,339521,01/01/24
3482,11000,,,5103095,01/01/24
3490,11000,,,154408,01/01/24
330,11000,,,209521,01/01/24
3202,11000,,,672822,01/01/24
2846,11000,,,286993,01/01/24
3470,11000,,,7422667,01/01/24
588,11000,,,8232565,01/01/24
760,11000,,,533927,01/01/24
2534,11000,,,3030176,01/01/24
429,11000,,,31788989,01/01/24
3300,11000,,,1914435,01/01/24
85,11000,,,111292,01/01/24
2790,11000,,,24332200,01/01/24
779,11000,,,161925,01/01/24
503,11000,,,15625,01/01/24
2407,11000,,,53668,01/01/24
1455,11000,,,492229,01/01/24
2738,11000,,,6925261,01/01/24
3546,11000,,,16806,01/01/24
3450,11000,,,3587091,01/01/24
212,11000,,,2333793,01/01/24
2374,11000,,,102062,01/01/24
3294,11000,,,21435639,01/01/24
600,11000,,,5114949,01/01/24
3255,11000,,,23932971,01/01/24
3027,11000,,,1572518,01/01/24
2659,11000,,,449065,01/01/24
480,11000,,,2564919,01/01/24
1399,11000,,,328424,01/01/24
3245,11000,,,1093989,01/01/24
2609,11000,,,226745,01/01/24
1948,11000,,,404882,01/01/24
3337,11000,,,3313741,01/01/24
2776,11000,,,1393833,01/01/24
2085,11000,,,33905,01/01/24
685,11000,,,145216,01/01/24
3465,11000,,,4893354,01/01/24
2289,11000,,,30280843,01/01/24
3532,11000,,,3714,01/01/24
1115,11000,,,280451,01/01/24
3296,11000,,,368419,01/01/24
2684,11000,,,553471,01/01/24
2982,11000,,,537456,01/01/24
2883,11000,,,382094,01/01/24
3231,11000,,,118916,01/01/24
3544,11000,,,6474,01/01/24
