"REGN,N,4,0","CODE,C,5","ITOGO,N,16,0"
101,01000,42651
101,02000,0
101,10000,7064099
101,10001,918128
101,10002,6144751
101,10003,1220
101,11000,150556
101,11100,5831
101,11101,0
101,11102,0
101,11103,0
101,11104,0
101,11105,0
101,11106,0
101,11107,0
101,11108,0
101,11109,0
101,11110,0
101,11111,0
101,11112,0
101,11113,0
101,11114,0
101,11115,5777
101,11116,0
101,11117,0
101,11118,54
101,11119,0
101,11200,21427
101,11201,0
101,11202,0
101,11203,0
101,11204,0
101,11205,0
101,11206,0
101,11207,0
101,11208,0
101,11209,0
101,11210,0
101,11211,15024
101,11212,2131
101,11213,0
101,11214,0
101,11215,4272
101,11216,0
101,11217,0
101,11300,161
101,11301,0
101,11302,161
101,11303,0
101,11400,456
101,11401,456
101,11402,0
101,11403,0
101,11500,122681
101,11501,737
101,11502,6259
101,11503,0
101,11504,44816
101,11505,61663
101,11506,0
101,11507,583
101,11508,8623
101,11600,0
101,11601,0
101,11602,0
101,11603,0
101,11604,0
101,11605,0
101,11606,0
101,11607,0
101,11608,0
101,12000,767572
101,12100,9440
101,12101,2496
101,12102,6944
101,12200,758093
101,12201,758093
101,12300,0
101,12301,0
101,12400,39
101,12401,0
101,12402,0
101,12403,0
101,12404,39
101,12405,0
101,12406,0
101,13000,2022747
101,13100,2022747
101,13101,102345
101,13102,6049
101,13103,0
101,13104,1017499
101,13105,866757
101,13106,0
101,13107,552
101,13108,29545
101,13200,0
101,13201,0
101,14000,0
101,14100,0
101,14101,0
101,14102,0
101,14103,0
101,14104,0
101,14200,0
101,14201,0
101,14202,0
101,14203,0
101,14204,0
101,14300,0
101,14301,0
101,14302,0
101,14303,0
101,14304,0
101,14400,0
101,14401,0
101,14402,0
101,14403,0
101,14404,0
101,15000,625535
101,15100,625535
101,15101,2546
101,15102,622989
101,15103,0
101,15200,0
101,15201,0
101,15202,0
101,15203,0
101,15204,0
101,16000,3496469
101,16100,345
101,16101,345
101,16200,6504
101,16201,9
101,16202,6480
101,16203,15
101,16300,3489620
101,16301,2947
101,16302,0
101,16303,0
101,16304,0
101,16305,3486673
101,16306,0
101,17000,1220
101,17100,3
101,17101,3
101,17102,0
101,17103,0
101,17200,1147
101,17201,27
101,17202,0
101,17203,1120
101,17300,70
101,17301,0
101,17302,0
101,17303,0
101,17304,15
101,17305,0
101,17306,55
101,17307,0
101,20000,7024392
101,20001,834944
101,20002,6176876
101,20003,9628
101,20100,7021448
101,21000,95480
101,21100,7850
101,21101,0
101,21102,7850
101,21103,0
101,21104,0
101,21200,23635
101,21201,0
101,21202,0
101,21203,0
101,21204,0
101,21205,0
101,21206,0
101,21207,23635
101,21208,0
101,21209,0
101,21210,0
101,21211,0
101,21212,0
101,21213,0
101,21214,0
101,21300,8778
101,21301,0
101,21302,0
101,21303,0
101,21304,0
101,21305,0
101,21306,0
101,21307,0
101,21308,0
101,21309,0
101,21310,0
101,21311,7922
101,21312,856
101,21313,0
101,21314,0
101,21315,0
101,21316,0
101,21317,0
101,21400,42044
101,21401,0
101,21402,0
101,21403,0
101,21404,0
101,21405,0
101,21406,0
101,21407,0
101,21408,0
101,21409,0
101,21410,0
101,21411,2420
101,21412,173
101,21413,0
101,21414,54
101,21415,5093
101,21416,0
101,21417,34304
101,21500,45
101,21501,45
101,21502,0
101,21600,13128
101,21601,13096
101,21602,32
101,21700,0
101,21701,0
101,21702,0
101,21800,0
101,21801,0
101,21802,0
101,21803,0
101,21804,0
101,22000,739464
101,22100,739464
101,22101,739464
101,22200,0
101,22201,0
101,22202,0
101,22203,0
101,23000,1864113
101,23100,1864113
101,23101,50193
101,23102,707
101,23103,0
101,23104,989913
101,23105,814177
101,23106,0
101,23107,50
101,23108,9073
101,23109,0
101,23200,0
101,23201,0
101,24000,626355
101,24100,626355
101,24101,0
101,24102,626355
101,24103,0
101,24200,0
101,24201,0
101,24202,0
101,24203,0
101,24204,0
101,25000,3597702
101,25100,214
101,25101,214
101,25200,34027
101,25201,0
101,25202,1218
101,25203,8806
101,25204,0
101,25205,22487
101,25206,1516
101,25300,3563461
101,25301,0
101,25302,3562870
101,25303,591
101,26000,88706
101,26100,51133
101,26101,39825
101,26102,11179
101,26103,0
101,26104,129
101,26200,5180
101,26201,5100
101,26202,0
101,26203,0
101,26204,80
101,26300,15802
101,26301,64
101,26302,519
101,26303,6651
101,26304,6599
101,26305,1475
101,26306,0
101,26307,494
