"REGN,N,4,0","CODE,C,5","ITOGO,N,16,0"
2,01000,32927
2,02000,0
2,10000,927341
2,10001,200631
2,10002,726609
2,10003,101
2,11000,141527
2,11100,140408
2,11101,0
2,11102,0
2,11103,0
2,11104,0
2,11105,0
2,11106,0
2,11107,0
2,11108,0
2,11109,0
2,11110,0
2,11111,0
2,11112,139980
2,11113,0
2,11114,0
2,11115,72
2,11116,0
2,11117,0
2,11118,324
2,11119,32
2,11200,759
2,11201,0
2,11202,0
2,11203,0
2,11204,0
2,11205,0
2,11206,0
2,11207,0
2,11208,0
2,11209,0
2,11210,759
2,11211,0
2,11212,0
2,11213,0
2,11214,0
2,11215,0
2,11216,0
2,11217,0
2,11300,54
2,11301,0
2,11302,15
2,11303,39
2,11400,306
2,11401,0
2,11402,306
2,11403,0
2,11500,0
2,11501,0
2,11502,0
2,11503,0
2,11504,0
2,11505,0
2,11506,0
2,11507,0
2,11508,0
2,11600,0
2,11601,0
2,11602,0
2,11603,0
2,11604,0
2,11605,0
2,11606,0
2,11607,0
2,11608,0
2,12000,59104
2,12100,31752
2,12101,4233
2,12102,27519
2,12200,27032
2,12201,27032
2,12300,125
2,12301,125
2,12400,195
2,12401,0
2,12402,0
2,12403,0
2,12404,163
2,12405,0
2,12406,32
2,13000,0
2,13100,0
2,13101,0
2,13102,0
2,13103,0
2,13104,0
2,13105,0
2,13106,0
2,13107,0
2,13108,0
2,13200,0
2,13201,0
2,14000,6399
2,14100,6399
2,14101,0
2,14102,6399
2,14103,0
2,14104,0
2,14200,0
2,14201,0
2,14202,0
2,14203,0
2,14204,0
2,14300,0
2,14301,0
2,14302,0
2,14303,0
2,14304,0
2,14400,0
2,14401,0
2,14402,0
2,14403,0
2,14404,0
2,15000,377931
2,15100,377914
2,15101,0
2,15102,377914
2,15103,0
2,15200,17
2,15201,0
2,15202,17
2,15203,0
2,15204,0
2,16000,342279
2,16100,0
2,16101,0
2,16102,0
2,16103,0
2,16104,0
2,16105,0
2,16200,598
2,16201,0
2,16202,0
2,16203,598
2,16300,341681
2,16301,1151
2,16302,13
2,16303,0
2,16304,0
2,16305,340517
2,16306,0
2,17000,101
2,17100,79
2,17101,0
2,17102,31
2,17103,48
2,17200,16
2,17201,5
2,17202,0
2,17203,11
2,17300,6
2,17301,0
2,17302,0
2,17303,0
2,17304,1
2,17305,0
2,17306,5
2,20000,903879
2,20001,28497
2,20002,865172
2,20003,745
2,20100,894414
2,21000,16993
2,21100,191
2,21101,0
2,21102,191
2,21103,0
2,21104,0
2,21200,0
2,21201,0
2,21202,0
2,21203,0
2,21204,0
2,21205,0
2,21206,0
2,21207,0
2,21208,0
2,21209,0
2,21210,0
2,21211,0
2,21212,0
2,21213,0
2,21214,0
2,21300,770
2,21301,0
2,21302,0
2,21303,0
2,21304,0
2,21305,0
2,21306,0
2,21307,0
2,21308,0
2,21309,0
2,21310,0
2,21311,0
2,21312,508
2,21313,262
2,21314,0
2,21315,0
2,21316,0
2,21317,0
2,21400,0
2,21401,0
2,21402,0
2,21403,0
2,21404,0
2,21405,0
2,21406,0
2,21407,0
2,21408,0
2,21409,0
2,21410,0
2,21411,0
2,21412,0
2,21413,0
2,21414,0
2,21415,0
2,21416,0
2,21417,0
2,21500,0
2,21501,0
2,21502,0
2,21600,15090
2,21601,15090
2,21602,0
2,21700,0
2,21701,0
2,21702,0
2,21800,942
2,21801,598
2,21802,0
2,21803,0
2,21804,344
2,22000,11504
2,22100,11504
2,22101,11504
2,22200,0
2,22201,0
2,22202,0
2,22203,0
2,23000,0
2,23100,0
2,23101,0
2,23102,0
2,23103,0
2,23104,0
2,23105,0
2,23106,0
2,23107,0
2,23108,0
2,23109,0
2,23200,0
2,23201,0
2,24000,384676
2,24100,384669
2,24101,0
2,24102,384669
2,24103,0
2,24200,7
2,24201,0
2,24202,7
2,24203,0
2,24204,0
2,25000,369283
2,25100,0
2,25101,0
2,25102,0
2,25103,0
2,25104,0
2,25105,0
2,25200,13044
2,25201,21
2,25202,5993
2,25203,6935
2,25204,0
2,25205,0
2,25206,95
2,25300,356239
2,25301,0
2,25302,356207
2,25303,32
2,26000,111213
2,26100,45701
2,26101,36918
2,26102,8738
2,26103,0
2,26104,45
2,26200,532
2,26201,532
2,26202,0
2,26203,0
2,26300,25884
2,26301,68
2,26302,1417
2,26303,22059
2,26304,1569
2,26305,763
2,26306,0
2,26307,8
2,26400,39096
2,26401,43
2,26402,72
2,26403,9565
2,26404,580
2,26405,20
2,26406,1772
2,26407,0
2,26408,200
2,26409,0
2,26410,1473
2,26411,2012
2,26412,23359
2,27000,745
2,27100,0
2,27101,0
2,27102,0
2,27103,0
2,27200,0
2,27201,0
2,27202,0
2,27203,0
2,27300,745
2,27301,0
2,27302,0
